constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Exhaustive , Random-normalized optimality [%]
Optimizer(): config:  [[0.4, 0.02, 21], [0.1, 0.1, 30]]
Optimizer(): selective:  0.000000  1.000000
Optimizer(): evals/step: 1
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct
MABsolver_config: params: numInputs:  0  0  0  0
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10
BanditTestBatch: numCases: 11
BanditTestBatch: maxim sum reward: 4919.0
BanditTestBatch: random reward: 3305.0

    67.90     0.520000  0.500000
    68.31     0.520000  0.600000
    70.21     0.520000  0.700000
    70.16     0.520000  0.800000
    68.82     0.520000  0.900000
    68.82     0.520000  1.000000
    68.80     0.520000  1.100000
    68.80     0.520000  1.200000
    69.64     0.520000  1.300000
    69.64     0.520000  1.400000
    69.63     0.520000  1.500000
    69.62     0.520000  1.600000
    69.71     0.520000  1.700000
    69.70     0.520000  1.800000
    69.69     0.520000  1.900000
    69.69     0.520000  2.000000
    69.66     0.520000  2.100000
    69.65     0.520000  2.200000
    69.65     0.520000  2.300000
    69.64     0.520000  2.400000
    69.64     0.520000  2.500000
    69.63     0.520000  2.600000
    69.62     0.520000  2.700000
    69.61     0.520000  2.800000
    69.58     0.520000  2.900000
    69.58     0.520000  3.000000
    67.55     0.540000  0.100000
    67.49     0.540000  0.200000
    67.44     0.540000  0.300000
    67.37     0.540000  0.400000
    67.31     0.540000  0.500000
    67.70     0.540000  0.600000
    69.52     0.540000  0.700000
    69.48     0.540000  0.800000
    67.98     0.540000  0.900000
    67.93     0.540000  1.000000
    67.89     0.540000  1.100000
    67.84     0.540000  1.200000
    68.91     0.540000  1.300000
    68.91     0.540000  1.400000
    68.90     0.540000  1.500000
    68.89     0.540000  1.600000
    68.98     0.540000  1.700000
    68.97     0.540000  1.800000
    68.97     0.540000  1.900000
    68.96     0.540000  2.000000
    68.94     0.540000  2.100000
    68.93     0.540000  2.200000
    68.92     0.540000  2.300000
    68.91     0.540000  2.400000
    68.91     0.540000  2.500000
    68.90     0.540000  2.600000
    68.89     0.540000  2.700000
    68.88     0.540000  2.800000
    68.86     0.540000  2.900000
    68.85     0.540000  3.000000
    67.02     0.560000  0.100000
    66.96     0.560000  0.200000
    66.90     0.560000  0.300000
    66.84     0.560000  0.400000
    66.98     0.560000  0.500000
    67.37     0.560000  0.600000
    69.16     0.560000  0.700000
    69.14     0.560000  0.800000
    67.72     0.560000  0.900000
    67.72     0.560000  1.000000
    67.70     0.560000  1.100000
    67.70     0.560000  1.200000
    68.70     0.560000  1.300000
    68.69     0.560000  1.400000
    68.68     0.560000  1.500000
    68.68     0.560000  1.600000
    68.67     0.560000  1.700000
    68.77     0.560000  1.800000
    68.77     0.560000  1.900000
    68.76     0.560000  2.000000
    68.73     0.560000  2.100000
    68.73     0.560000  2.200000
    68.72     0.560000  2.300000
    68.72     0.560000  2.400000
    68.70     0.560000  2.500000
    68.69     0.560000  2.600000
    68.69     0.560000  2.700000
    68.68     0.560000  2.800000
    68.65     0.560000  2.900000
    68.65     0.560000  3.000000
    66.42     0.580000  0.100000
    66.36     0.580000  0.200000
    66.30     0.580000  0.300000
    66.24     0.580000  0.400000
    66.19     0.580000  0.500000
    66.52     0.580000  0.600000
    68.20     0.580000  0.700000
    68.16     0.580000  0.800000
    66.95     0.580000  0.900000
    66.94     0.580000  1.000000
    66.93     0.580000  1.100000
    66.92     0.580000  1.200000
    68.00     0.580000  1.300000
    67.99     0.580000  1.400000
    67.99     0.580000  1.500000
    67.98     0.580000  1.600000
    67.97     0.580000  1.700000
    68.08     0.580000  1.800000
    68.08     0.580000  1.900000
    68.07     0.580000  2.000000
    68.05     0.580000  2.100000
    68.04     0.580000  2.200000
    68.03     0.580000  2.300000
    68.02     0.580000  2.400000
    68.01     0.580000  2.500000
    68.01     0.580000  2.600000
    68.00     0.580000  2.700000
    68.00     0.580000  2.800000
    67.97     0.580000  2.900000
    67.96     0.580000  3.000000
    65.91     0.600000  0.100000
    65.88     0.600000  0.200000
    65.84     0.600000  0.300000
    65.86     0.600000  0.400000
    65.84     0.600000  0.500000
    66.24     0.600000  0.600000
    67.88     0.600000  0.700000
    67.87     0.600000  0.800000
    66.53     0.600000  0.900000
    66.52     0.600000  1.000000
    66.50     0.600000  1.100000
    66.50     0.600000  1.200000
    67.65     0.600000  1.300000
