constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       57.08     0.770000  2.000000  1.000000  50.000000        95.80     74.80     67.00    -17.33     10.00     76.80     35.00     81.49     91.97     55.25 
     2       55.60     1.180000  1.350000  0.970000  100.000000        95.40     76.93     61.00     29.33    -37.22     73.60     46.90     69.45     91.61     48.95 
     3       52.05     1.010000  2.450000  0.900000  80.000000        90.80     51.33     74.20    -17.33      3.33     64.90     62.70     81.71     92.38     16.48 
     4       63.99     0.520000  0.750000  0.910000  130.000000       105.60     91.73     71.40     42.40     11.67     27.30     67.70     67.64     82.63     71.85 
     5       62.05     0.730000  1.350000  0.920000  90.000000        93.20     77.87     67.00      8.27     32.22     67.60     60.71     77.24     85.67     50.68 
     6       60.38     0.490000  0.550000  0.830000  110.000000        65.00     86.13     84.00     42.13     18.33     -3.50     79.52     72.00     95.37     64.75 
     7       51.86     0.610000  2.850000  0.820000  140.000000        71.20     66.93     67.00     22.13      6.11     39.70     47.62     70.00     86.58     41.30 
     8       45.40     0.090000  0.400000  0.990000  30.000000        94.20     78.00     39.20     14.93    -20.56      6.10     39.44     65.31     84.99     52.35 
     9       30.84     0.070000  0.950000  0.940000  130.000000        40.20     66.53     56.80    -10.67    -15.00      6.70     18.89     34.65     87.53     22.72 
    10       61.02     0.690000  0.850000  0.910000  90.000000        94.80     81.87     87.20     16.80    -12.22     77.20     46.19     73.75     87.07     57.59 
    11       46.48     0.240000  3.250000  0.770000  140.000000        62.80     80.00     42.80     49.87      3.89     15.60     24.92     46.58     81.72     56.67 
    12       46.82     0.840000  5.100000  0.880000  100.000000        96.60     56.53     74.80     12.27    -40.56     34.00     41.59     69.27     94.65     29.07 
    13       40.70     0.100000  5.500000  0.750000  90.000000        92.00     95.87     77.20     55.47    -17.22      3.70    -13.73      9.60     98.23      5.93 
    14       53.94     0.750000  6.000000  0.770000  120.000000        95.80     68.80     76.80     25.60    -12.78     37.50     57.54     73.71     83.17     33.27 
    15       50.16     0.700000  5.600000  0.620000  170.000000        87.60     76.53     86.00     28.80    -27.22     27.70     38.73     62.47     84.67     36.36 
    16       48.96     1.420000  4.300000  0.560000  100.000000        79.60     61.73     59.20      0.80      9.44     69.10     55.24     65.75     79.95      8.77 
    17       46.49     1.640000  1.950000  0.490000  130.000000        79.60     47.33     43.80     -6.67     13.33     66.60     42.94     78.65     86.12     13.21 
    18       47.91     1.210000  6.300000  0.460000  50.000000        90.20     55.20     50.60     13.60    -33.89     65.60     59.21     62.95     95.42     20.19 
    19       42.11     1.930000  7.200000  0.480000  80.000000        84.60     33.60     25.60     -0.80     16.67     66.10     41.03     57.78     82.90     13.64 
    20       46.47     1.920000  6.600000  0.490000  100.000000        78.20     54.53     32.60     16.27     24.44     71.50     28.89     57.42     82.81     18.09 
    21       37.19     2.560000  5.550000  0.540000  60.000000        62.20     44.40     31.00      1.33      6.11     52.40     24.60     66.07     76.28      7.53 
    22       39.80     2.400000  5.500000  0.500000  40.000000        76.80     31.47     39.20      2.67     -1.11     68.50     40.16     59.38     70.57     10.37 
    23       40.80     1.900000  5.350000  0.630000  100.000000        74.40     42.00     42.80      8.27    -10.00     72.60     25.95     64.58     79.64      7.72 
    24       50.78     1.190000  5.200000  0.540000  70.000000        90.20     61.73     63.20      5.87      2.78     67.40     48.57     53.67     87.07     27.35 
    25       51.16     1.200000  7.000000  0.550000  110.000000        86.00     56.40     60.20      4.27     -0.00     68.50     53.02     56.47     97.10     29.63 
