constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    39       49.12     1.970000  5.750000  0.690000  10.000000        77.80     60.13     39.60     13.87     14.44     68.00     49.37     65.56     87.66     14.75 
    40       47.50     1.570000  7.300000  0.780000  10.000000        83.20     56.67     38.80     16.27     -5.56     66.40     43.25     61.38     99.09     15.49 
    41       47.65     1.130000  6.750000  0.900000  40.000000        92.40     52.40     62.20     -5.33    -17.78     54.00     51.90     66.33     94.20     26.17 
    42       56.74     0.770000  5.300000  0.950000  80.000000        89.20     71.60     81.60     20.80     20.56     45.10     52.70     75.38     87.71     22.72 
    43       54.65     0.850000  6.850000  0.970000  100.000000        84.40     66.27     72.20     20.53      3.33     45.60     60.79     71.13     90.20     32.04 
    44       55.05     0.590000  4.850000  0.870000  40.000000        94.20     71.33     60.20      5.87     27.22     42.50     54.37     66.80     92.29     35.74 
    45       42.55     0.160000  4.300000  0.950000  40.000000        69.80     96.67     -8.40     33.07     32.22     14.40     18.17     44.25     82.95     42.35 
    46       34.76     0.170000  6.750000  0.750000  80.000000        17.60     84.13     23.00     59.20     16.11     -2.50     13.41     17.53     80.18     38.89 
    47       51.61     1.200000  2.900000  0.870000  60.000000        84.40     54.27     46.20      3.73      5.56     83.20     55.79     80.98     86.49     15.49 
    48       60.40     0.850000  3.600000  0.780000  20.000000        79.80     62.80     78.20     33.60     28.33     49.20     70.00     77.20     94.51     30.37 
    49       58.24     0.840000  2.400000  0.730000  70.000000       103.60     60.27     82.40     14.67    -25.56     80.60     56.90     80.33     93.97     35.25 
    50       48.52     0.300000  3.750000  0.760000  50.000000        66.80     89.73     67.00     28.00      2.78     -0.60     42.14     48.25     88.21     52.90 
    51       55.87     1.110000  2.000000  0.800000  50.000000        95.00     52.67     65.60     11.47      7.78     91.10     58.65     74.51     86.39     15.49 
    52       56.28     1.380000  0.350000  0.880000  70.000000        86.00     91.87     51.00     -5.33     -7.78     91.80     46.03     78.25     91.52     39.44 
    53       52.62     1.130000  0.950000  0.780000  20.000000        81.60     69.20     53.60     17.07     -0.56     77.60     39.60     83.53     86.12     18.40 
    54       55.94     0.580000  1.900000  0.700000  10.000000        52.40     70.53     78.80     46.13     42.78     15.80     52.14     73.02     88.89     38.89 
    55       50.70     0.740000  3.950000  0.590000  60.000000        75.40     84.00     77.40     13.60    -26.67     42.80     53.33     69.78     85.08     32.28 
