constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       60.05     0.770000  2.000000  1.000000  50.000000        96.40     41.87     77.20     38.67      3.89     86.40     26.43     83.96     83.49     62.16 
     2       54.07     1.460000  1.800000  0.850000  70.000000        90.20     46.40     56.40     13.33     10.00     84.70     36.35     84.18     93.74     25.43 
     3       55.41     0.900000  1.100000  0.900000  140.000000        91.80     75.73     44.60     17.07    -10.00     54.80     61.19     77.53     86.49     54.88 
     4       56.59     0.630000  2.850000  0.930000  100.000000        82.40     82.00     82.80     16.00     -9.44     43.00     62.46     74.55     91.52     40.62 
     5       53.66     1.350000  4.000000  0.880000  130.000000        96.40     50.67     47.00     11.47     13.33     72.50     52.70     72.55     92.15     27.84 
     6       51.31     0.990000  5.600000  0.880000  90.000000        87.00     69.20     48.80     14.13     -4.44     54.10     56.98     76.25     94.29     16.79 
     7       50.22     1.300000  2.500000  0.800000  140.000000        84.00     52.13     42.60      1.87     16.67     78.20     44.21     72.91     90.75     18.83 
     8       49.61     1.480000  4.600000  0.780000  140.000000        89.40     56.93     62.20     18.13    -28.33     70.50     47.30     76.95     90.07     12.96 
     9       46.38     1.540000  3.350000  0.630000  140.000000        88.00     59.07     48.80      1.87    -38.33     78.40     53.89     69.13     93.51      9.51 
    10       46.49     1.940000  1.000000  0.510000  160.000000        80.40     43.47     42.40     20.53    -14.44     65.50     51.98     69.16     91.70     14.20 
    11       40.30     2.380000  1.300000  0.550000  190.000000        56.60     30.13     28.60      5.07     27.78     72.70     39.13     61.56     72.83      8.58 
    12       43.01     2.040000  2.250000  0.510000  250.000000        81.80     44.13     35.60      0.53     10.56     63.90     42.94     60.07     85.35      5.19 
    13       46.03     1.670000  4.000000  0.550000  230.000000        74.20     56.93     40.00      3.47     -2.22     72.30     41.83     60.07     96.01     17.72 
    14       49.79     1.700000  1.700000  0.510000  200.000000        71.80     69.07     47.60     21.87    -12.78     77.90     43.81     64.84     95.69     18.15 
    15       46.44     1.490000  4.000000  0.510000  200.000000        92.00     56.00     53.60      6.40    -15.00     66.20     47.70     60.07     85.49     11.91 
    16       56.08     1.100000  0.800000  0.640000  190.000000        83.00     52.13     53.40      2.40     45.56     66.40     59.29     75.71     88.62     34.32 
    17       46.73     0.700000  2.200000  0.550000  200.000000       100.40     58.80     62.20    -12.80     -3.33     34.90     43.25     63.24     87.57     33.02 
    18       53.79     1.570000  3.000000  0.520000  260.000000       102.00     54.00     70.20     10.40      5.56     83.20     34.60     65.05     93.79     19.14 
    19       48.55     1.380000  2.900000  0.560000  200.000000        85.20     48.00     46.80     14.40    -13.89     74.10     53.89     74.80     87.89     14.32 
    20       51.96     1.010000  3.350000  0.520000  240.000000        85.40     58.80     51.60      5.07     20.56     68.80     41.98     70.84     87.07     29.51 
    21       47.60     0.570000  3.600000  0.430000  240.000000        93.40     82.80     54.40      8.80    -13.33     12.80     55.16     52.51     88.21     41.23 
    22       40.75     0.260000  2.500000  0.480000  270.000000        -2.40     79.73     63.40     47.47     -8.89     16.80     25.48     41.60     85.94     58.33 
    23       48.05     0.540000  2.500000  0.580000  270.000000        46.00     76.40     58.00     27.47      2.22     12.80     60.16     66.95     83.17     47.35 
    24       51.02     0.980000  1.900000  0.660000  260.000000        87.60     63.33     51.60     14.13     12.22     39.40     58.33     70.55     89.02     24.01 
    25       56.91     0.590000  0.950000  0.650000  220.000000        83.40     79.33     72.40     16.27     13.33     48.90     59.84     73.16     83.85     38.58 
