constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       59.24     0.770000  2.000000  1.000000  50.000000        97.00     78.13     78.00     10.13    -15.00     65.00     55.87     87.35     95.83     40.06 
     2       62.74     0.480000  1.750000  0.860000  30.000000        80.60     87.07     40.60     50.13     43.33     53.40     52.38     78.55     86.76     54.57 
     3       54.92     0.910000  2.400000  0.950000  50.000000        81.00     87.20     71.80     -2.93    -20.00     76.40     46.59     79.96     87.17     41.98 
     4       56.14     0.450000  3.150000  0.880000  80.000000        59.20     73.47     90.40     38.40     22.78     31.40     60.24     55.38     86.67     43.52 
     5       58.31     0.550000  3.150000  0.980000  50.000000        58.80     74.93     82.20     16.80     41.67     57.10     50.48     63.35     92.93     44.81 
     6       60.81     0.810000  1.300000  0.840000  40.000000       107.80     87.07     40.20     27.20      8.89     74.50     41.90     78.33     85.71     56.48 
     7       50.47     1.300000  1.100000  0.800000  40.000000        96.80     48.80     53.20      9.33    -28.89     81.80     49.05     74.25     81.72     38.64 
     8       54.51     0.990000  2.400000  0.840000  40.000000        84.40     54.40     60.40      5.87     -5.56     90.70     61.75     80.07     84.13     28.95 
     9       58.37     1.480000  0.400000  0.760000  80.000000        85.60     70.80     70.60     10.67      7.22     75.20     38.02     83.27     94.38     47.90 
    10       55.15     0.780000  1.500000  0.660000  80.000000        96.60     65.60     69.00     14.13    -10.56     66.80     57.94     79.60     84.58     27.78 
    11       59.58     0.960000  0.550000  0.700000  30.000000        90.40     79.20     56.40     -2.40     -8.89     77.70     63.17     87.24     90.79     62.22 
    12       60.70     0.410000  2.200000  0.730000  60.000000        91.60     91.07     70.00     36.27     17.22     41.40     46.43     66.65     90.29     56.11 
    13       51.15     0.960000  0.600000  0.730000  10.000000        61.20     58.13     46.00     41.60     -3.33     62.20     41.59     77.02     89.89     37.22 
    14       55.79     0.780000  2.700000  0.730000  10.000000        75.20     72.27     84.00     19.20    -21.67     75.90     53.65     71.67     89.84     37.84 
    15       50.29     1.290000  1.050000  0.670000  70.000000        83.40     56.00     35.00     23.20    -13.33     75.10     53.65     76.98     94.88     18.02 
    16       59.20     0.910000  0.450000  0.650000  20.000000       102.40    100.80     41.00     19.47     -7.22     71.90     58.25     73.64     81.63     50.12 
    17       58.36     0.710000  2.050000  0.690000  50.000000        93.00     87.33     75.60     16.80     -6.67     65.00     55.63     75.42     90.29     31.23 
    18       52.72     0.380000  1.900000  0.830000  20.000000        57.20     78.40     57.80     47.73      6.11     31.60     38.73     58.44     87.44     63.70 
    19       57.55     0.420000  2.950000  0.750000  20.000000        60.60     92.93    101.80     12.53     21.11     28.20     46.27     63.78     89.16     59.14 
    20       46.67     0.170000  1.200000  0.680000  10.000000        28.20     73.87     28.80     61.60     -7.22     41.20     36.51     49.78     89.52     64.44 
    21       56.44     0.950000  4.100000  0.900000  40.000000        93.60     70.00     67.40     14.67    -12.78     74.90     60.87     83.93     83.58     28.27 
    22       48.66     1.610000  3.700000  0.960000  50.000000        81.40     51.87     53.80      1.87      2.78     77.60     44.05     78.80     83.22     11.17 
    23       48.37     0.450000  6.100000  0.860000  60.000000        44.00     92.53     78.20     26.40    -18.89     26.10     38.17     70.58     77.37     49.20 
    24       50.13     0.160000  4.050000  0.980000  20.000000        55.80    104.00     75.00     38.93      1.67     12.40     10.63     62.00     90.52     50.31 
    25       37.79     0.180000  4.800000  0.840000  30.000000        14.00    106.53     42.80     18.93    -12.22     12.50     12.78     41.16     92.93     48.46 
