constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 1170.0
BanditTestBatch: random reward: 939.5

    23.91     1.000000 
    38.78     0.567040 
    50.45     0.102677 
    28.63     1.229159 
    14.38     2.616295 
    16.45     3.000000 
     0.07     3.000000 
    19.97     1.516973 
    19.92     2.035697 
     7.10     2.518909 
     5.64     2.846895 
    15.18     2.103430 
    13.89     2.229900 
    14.27     3.000000 
    11.34     1.878325 
    28.26     1.113244 
    18.81     2.204880 
    30.98     0.972783 
    42.07     0.121950 
    34.73     0.000000 
    12.97     0.000000 
    49.91     0.000000 
    11.48     0.000000 
    -1.14     0.000000 
    23.80     1.022780 
    48.30     0.000000 
    25.78     0.000000 
    50.13     0.261692 
    43.52     0.044756 
    38.51     0.508500 
    33.60     0.000000 
    33.80     0.000000 
    55.53     0.238185 
    54.24     0.121684 
    37.09     0.000000 
    47.20     0.268579 
    47.60     0.103744 
    34.36     0.000000 
    47.20     0.076220 
    42.23     0.324005 
    36.98     0.476378 
    20.78     1.094967 
    32.00     0.864628 
    42.92     0.522449 
    37.95     0.796361 
    26.74     1.209515 
    23.44     0.981107 
    34.89     0.109607 
    23.21     0.979463 
    19.19     1.146748 
    41.15     0.547591 
    28.85     0.000000 
    34.98     0.460962 
    40.77     0.679432 
    27.35     1.340882 
    48.13     0.345072 
    29.65     0.000000 
    33.19     0.000000 
    21.91     1.027879 
    23.42     0.000000 
    25.82     0.000000 
    46.42     0.254566 
    51.85     0.310848 
    45.23     0.297519 
    37.08     0.184799 
    43.82     0.323011 
    35.18     0.587883 
    42.54     0.000000 
    26.73     0.000000 
    61.15     0.145494 
    18.53     0.000000 
    54.66     0.238682 
    42.81     0.403428 
    63.23     0.064576 
    32.90     0.000000 
    38.27     0.000000 
    56.28     0.193717 
    52.29     0.306143 
    44.92     0.146966 
    22.25     0.000000 
    13.51     0.000000 
    56.50     0.229103 
    19.67     0.000000 
    59.72     0.183811 
    29.76     0.015633 
     9.16     0.007045 
    42.12     0.365455 
    63.00     0.224735 
    43.14     0.247494 
    53.41     0.126528 
    52.48     0.197931 
    46.37     0.251743 
    46.60     0.252401 
    56.83     0.213716 
    50.21     0.234623 
    66.30     0.196491 
    54.74     0.224161 
    35.90     0.202846 
    44.70     0.193265 
    59.92     0.225314 
    52.86     0.220598 
    51.53     0.196491 
    25.18     0.000000 
    29.55     0.000000 
    16.35     0.000000 
    25.25     1.328043 
    11.80     2.750160 
    21.35     2.561871 
     1.28     3.000000 
    13.63     3.000000 
     7.27     3.000000 
    13.95     2.676152 
    10.57     2.181427 
    28.93     0.967398 
    25.11     1.177446 
    29.32     0.843691 
    17.08     0.000000 
    42.06     0.404436 
    25.79     0.587806 
    21.01     0.000000 
    50.78     0.211777 
    -0.89     0.000000 
    12.34     0.000000 
    32.07     0.826777 
    23.39     1.405488 
     8.77     2.507711 
    18.05     1.975302 
    14.55     1.763377 
    10.75     2.584794 
    10.93     2.530161 
    11.99     1.962801 
    -0.72     2.574709 
    11.38     2.878450 
    10.57     2.293847 
    19.80     1.373822 
    22.96     1.466457 
    21.65     1.228286 
    35.50     1.104877 
    49.66     0.283170 
    23.49     1.167315 
    19.33     0.992432 
    36.17     0.000000 
    37.45     0.266295 
    10.84     0.000000 
    65.51     0.212507 
    34.87     0.511879 
    40.38     0.284447 
    33.84     0.906704 
    14.85     0.000000 
    24.44     0.000000 
    32.96     0.885129 
    33.87     0.759795 
    27.09     0.172783 
    30.88     0.714577 
    40.47     0.578592 
    17.76     0.000000 
    50.80     0.128851 
    33.37     0.000000 
    37.53     0.514088 
    22.90     0.622977 
    24.76     0.831466 
    44.17     0.088876 
     7.62     0.000000 
    36.84     0.424379 
    50.40     0.264413 
    21.28     0.000000 
     3.21     0.000000 
    41.27     0.000000 
    44.73     0.154799 
    48.44     0.409227 
    29.72     0.705734 
    35.53     0.658411 
    53.89     0.165064 
    47.24     0.293788 
     4.75     0.000000 
    17.36     0.000000 
    22.58     0.000000 
    44.47     0.358621 
    37.36     0.423165 
    56.85     0.158713 
    48.85     0.225668 
    27.01     0.000000 
