constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       52.78      7.10195        86.20     67.60     77.00      7.47     29.44     30.70     59.76     59.67     76.05     33.89 
    52       45.35      7.76133        72.20     54.93     72.00      3.47    -10.00     24.90     55.40     75.67     70.66     34.32 
    53       47.68      7.58557        57.80     52.40     76.20      9.60      7.78     29.70     61.19     75.05     71.66     35.43 
    54       49.92      7.75047        79.20     69.07     68.60      7.73     -3.33     56.00     56.43     64.07     67.71     33.70 
    55       52.57      7.57787       100.00     81.60     76.00     -4.53    -13.89     58.20     58.81     73.89     70.98     24.69 
    56       54.23      7.42011        82.60     65.07     95.20     31.20    -11.11     60.60     51.27     65.13     75.69     26.67 
    57       48.46      7.05243        84.00     82.93     67.60      9.87      4.44      9.80     54.05     72.11     71.93     27.84 
    58       51.82      7.30866        86.80     68.27     98.80     -5.60     -5.00     41.70     53.97     69.60     66.80     42.84 
    59       51.22      7.64656        94.60     72.93     76.20      8.27    -18.33     43.90     67.62     63.31     71.56     32.16 
    60       51.83      7.70138        94.00     66.80     60.00     19.20     21.11     34.00     55.48     64.40     65.03     38.27 
    61       47.39      7.67590        97.40     68.27     59.00     14.93      6.11      5.50     54.52     67.38     69.07     31.67 
    62       53.86      8.50769        91.40     64.00     70.80     12.27     35.56     39.20     57.78     60.76     71.02     35.80 
    63       50.49      9.17597        91.00     78.67     71.00     25.60     -0.00     16.70     49.29     63.27     72.61     36.73 
    64       49.47      9.27728        56.80     73.33     66.40     24.80     28.33     28.10     56.11     59.05     67.89     33.89 
    65       49.69      8.28115        80.60     77.20     68.80      7.47     18.33     22.10     59.76     62.73     68.21     31.73 
    66       47.51      8.41044        76.60     69.07     52.00     43.20    -15.00     15.30     59.60     64.04     78.46     31.85 
    67       51.24      7.85229        79.80     64.67     67.60     20.80     -0.56     49.70     63.65     61.56     76.78     28.40 
    68       46.26      8.63035       105.80     75.33     79.60     -4.80    -18.33      8.20     52.30     63.27     74.47     26.73 
    69       50.72      8.36120       108.80     76.00     69.20      1.87    -20.00     33.40     55.87     75.05     71.43     35.62 
    70       51.37      8.56573       100.20     56.93     71.00      9.60    -10.56     50.50     66.83     64.33     69.89     35.00 
    71       48.78      8.61922        86.00     80.13     62.40     13.60    -37.22     31.70     63.89     69.85     74.29     43.15 
    72       45.51      8.82055        91.40     74.13     71.00     24.00    -48.89     21.70     59.60     61.24     67.76     33.15 
    73       52.39      9.18399        97.20     59.07     70.60      8.27     -0.56     48.20     59.44     69.05     81.22     31.42 
    74       48.69      8.82137        85.80     75.33     65.20     10.93      7.22     25.20     51.43     64.04     70.98     30.80 
    75       59.29      8.86070        89.00     74.53     91.60     48.27     18.33     42.80     60.24     65.05     68.62     34.44 
    76       53.14      8.99546        89.20     66.13     78.00      0.80     15.00     44.20     62.06     64.55     76.73     34.75 
    77       52.97      9.26797        78.00     75.33     85.60      6.67     30.00     45.40     54.52     60.18     67.17     26.85 
    78       47.24      8.73932        72.00     54.00     74.80     27.73     -6.11     15.50     69.60     64.87     71.38     28.58 
    79       48.45      9.40234        91.20     73.07     74.20    -10.67     -6.11     42.20     58.57     62.73     74.20     25.12 
    80       53.95      8.54503        99.00     84.53     69.00     34.40    -11.67     30.70     65.71     64.29     70.70     32.84 
    81       54.00      8.15211        97.60     60.27     81.00     32.27      2.78     23.30     67.78     68.80     64.17     42.04 
    82       43.75      8.17957        45.40     74.13     58.40     13.33     -6.67     39.40     53.73     56.62     70.84     32.28 
    83       49.34      8.29834        87.00     74.53     74.00     -5.60     -5.00     31.50     61.59     66.95     73.15     35.25 
    84       44.96      7.86640        94.40     44.40     66.40      6.67    -23.33     30.70     65.71     56.58     71.29     36.73 
    85       49.67      8.13423        90.20     53.20     82.40      6.67     18.33     35.00     57.46     61.82     69.43     22.22 
    86       52.87      7.84283        82.80     77.60     81.40      6.40     12.78     44.50     47.06     71.45     71.38     33.33 
    87       49.64      7.63889        92.40     60.67     78.40      4.00    -15.56     44.20     60.00     67.71     73.92     30.62 
    88       53.35      7.77513        97.20     81.60     81.40      9.87     15.56     16.70     65.63     63.38     74.78     27.41 
    89       47.83      7.96810        88.20     60.00     76.00     18.93    -19.44     38.60     57.62     59.78     68.66     29.94 
    90       52.32      8.05856        81.80     62.93     86.40     -8.53     21.11     26.10     72.14     74.29     72.93     34.01 
    91       53.03      7.72062        97.80     72.80     71.20     17.60     10.56     31.40     68.10     72.91     67.30     20.62 
    92       50.00      7.72074       101.00     74.80     70.40     -6.67     10.00     28.00     59.21     64.91     70.43     27.96 
    93       52.33      7.72436        94.60     68.00     88.60      7.20     23.89     26.30     50.87     67.71     70.25     25.93 
    94       50.55      7.76486        80.60     43.47     82.20     30.13     -8.89     40.30     60.63     73.02     73.70     30.31 
    95       53.63      7.72682        98.80     62.27     70.00     25.07      3.33     45.50     55.87     71.38     74.29     29.75 
