constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    59.97     3.517368 
    59.84     5.636309 
    60.09     4.586303 
    60.16     4.062988 
    60.10     4.393475 
    60.09     4.435797 
    59.96     5.036098 
    58.76     3.283730 
    59.03     2.504548 
    59.95     5.183983 
    58.97     2.645929 
    60.16     3.949042 
    59.94     5.242696 
    60.11     4.247075 
    59.96     3.631331 
    58.82     3.063657 
    59.97     3.451728 
    60.16     3.831478 
    58.82     3.066486 
    60.10     4.280294 
    60.04     4.648565 
    58.95     2.728596 
    60.09     4.599451 
    59.97     3.471598 
    58.81     3.103628 
    60.17     3.814145 
    60.10     4.399249 
    58.76     3.288502 
    60.11     4.248389 
    58.80     3.189354 
    58.75     3.308173 
    59.98     3.393427 
    58.81     3.130468 
    59.99     3.332361 
    58.81     3.074168 
    60.16     4.168627 
    59.97     3.430445 
    59.96     3.569010 
    60.17     3.822952 
    60.16     3.990401 
    60.16     4.090921 
    60.11     4.231737 
    59.97     3.547351 
    59.96     3.696956 
