constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, -5, -5, -5], [3.0, 5, 5, 5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0]
Optimizer(): evals/step: 100
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  3  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  0.000000  0.000000  0.000000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p00w03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   123       35.97      0.86404   0.82235   0.58790  -4.54298        78.92     91.00     69.68     38.32     14.39     -2.05    -21.56     16.81     88.92    -14.69 
   124       42.58      1.41923   2.97894  -1.04803  -3.40968        86.54     77.84     75.40     29.57     17.94     -3.82     25.78     14.60     90.18     11.81 
   125       27.66      1.17369   1.50717  -2.26240  -2.85056        64.56     86.43     60.32     34.37    -61.28     -2.10     -9.17     15.90     87.87     -0.28 
   126       31.76      1.21670   2.41075  -3.44573  -2.23662        72.64     82.21     35.74     39.71    -43.33     -1.62     29.60     15.07     87.37      0.23 
   127       40.19      1.30752   1.13981  -2.49098  -0.41407        90.32     68.91     69.08     23.97    -53.39      5.61     53.82     43.16     87.29     13.09 
   128       20.71      1.02794   1.25390  -4.43029  -1.07067        34.48     91.27      8.88      6.69    -52.17     -0.69      4.00      5.48     91.66     17.47 
   129       21.09      0.65934   1.90215  -3.25324  -1.78975        52.16     88.03     17.18      7.31    -54.78     -0.50    -10.90      8.22     88.68     15.53 
   130       30.68      0.72100   2.17968  -2.56453  -0.03725        44.38     63.15     18.06     25.33    -56.89      0.77     52.05     14.20     90.17     55.57 
   131       23.95      0.19013   2.16818  -1.48511   0.20042        23.88     69.79      6.12     21.63    -58.94      0.97     58.51     10.63     84.42     22.49 
   132       27.32      0.36209   1.64478  -2.16823   0.10403        38.14     80.35      4.88     37.79    -56.56      0.59     56.20      8.77     88.48     14.56 
   133       10.26      0.61885   0.92992  -3.00296  -1.41777        47.46     84.60     10.84     -1.71    -53.50      0.42    -14.02     11.54      4.57     12.41 
   134       -3.73      0.14258   0.20295  -2.08398  -1.27434        28.30      9.89      8.64     -2.53    -66.67      1.59      0.01      6.76    -36.28     12.95 
   135       35.13      0.11963   0.96991  -1.76351   0.81606        55.62     66.31     42.76     16.80    -61.17     17.51     59.46     32.73     90.59     30.74 
   136       48.75      0.52539   0.19752  -0.73413   0.36220        74.58     63.92     68.06     17.55    -19.44     29.25     57.79     49.99     86.60     59.19 
   137       47.86      0.23510   0.18877   0.49894   0.66795        79.44     58.00     60.48      8.16     11.06     39.02     60.72     55.96     87.20     18.58 
   138       37.49      0.04113   1.46791  -0.83769   1.88877        69.64     40.15     41.68     11.23     -5.83     39.70     56.42     45.78     62.27     13.83 
   139       46.03      0.21556   0.06170   1.08237  -0.03750        71.96     82.76     75.62     22.32      2.67      5.23     44.68     48.49     87.18     19.34 
   140       27.04      0.19999  -0.57134   0.66466  -0.12343        46.20     94.45     74.24     36.69     -2.06     -0.05     -3.48     27.51    -47.24     44.10 
   141       39.45      0.69731   1.59897  -0.49914   1.50338        69.84     35.51     41.36      1.39      5.67     73.32     41.23     60.22     55.64     10.31 
   142       40.04      0.53221   2.41181  -0.24204   0.90185        76.62     37.55     53.86      1.23      6.67     60.68     39.82     60.09     55.27      8.61 
   143       34.63      0.93534   3.09105  -0.51304   1.82200        71.34     26.39     32.12      4.03      2.94     74.66     30.93     58.23     40.37      5.26 
   144       40.76      0.99078   1.68794  -1.15730   1.30430        74.52     35.37     40.88      9.95      9.17     75.95     35.13     57.77     56.99     11.86 
   145       51.04      0.63881   0.81075  -0.30831   0.14058        87.48     65.73     73.62     14.75     13.72     33.75     57.11     55.09     90.69     18.43 
   146       43.86      0.35673   0.50731   0.10429   1.22942        76.74     47.60     48.02      6.11     -2.94     60.14     53.83     58.34     79.28     11.48 
   147       44.95      0.09531  -0.28980   1.04148   1.04886        76.66     59.89     53.32     10.59     -4.78     34.70     61.77     55.90     86.17     15.29 
   148       44.81      0.37297  -1.41863   1.54572   1.30638        78.60     54.71     38.72      2.72     -4.50     71.30     46.51     60.24     81.19     18.63 
   149       20.59      0.02627  -2.47007   0.16883   1.79362        69.72     33.24     40.62      7.47    -13.44     50.39     -1.57     40.33    -34.75     13.85 
   150       37.24      0.77898  -2.36613   1.44393   0.24164        85.70     76.17     55.14     21.07      9.50     63.55      1.45     61.12    -31.79     30.52 
   151       35.49      0.57811  -2.29837   2.01326   1.53901        66.08     46.73     33.18      1.36     -0.78     74.28     22.31     57.80     35.38     18.58 
   152       14.35      0.19108  -3.24284   1.20496   0.16750        65.74    -18.65     74.14     -1.65      6.72     16.81      0.27     37.08    -49.29     12.38 
   153       32.08      0.69097  -2.89720   1.78366   2.13692        56.68     41.47     30.44      5.57      2.94     73.69     18.20     58.53     14.25     19.04 
   154       45.88      0.84977  -1.94297   1.90759   1.26617        68.98     47.80     33.42      9.39      2.22     73.22     66.53     58.19     84.53     14.56 
   155       38.38      0.76379  -1.97565   1.95844   2.35048        58.12     30.69     24.88      8.93     -7.39     68.48     57.09     58.16     72.87     11.93 
   156       26.39      0.52033  -2.93755   1.29509   0.33322        87.12     11.25     60.62     24.19      6.22     57.71     -0.44     58.40    -54.68     13.48 
   157       46.04      0.58679  -1.31667   2.02610   1.27420        68.92     49.33     34.98      2.61      7.61     76.29     61.40     60.60     84.55     14.07 
   158       40.60      0.60563  -1.01409   2.53174   1.54291        64.56     42.27     25.86      1.81     -2.94     75.22     52.75     58.87     80.55      7.06 
   159       36.70      0.64709  -2.45105   1.69832   0.72511        76.42     63.75     44.58     -0.59      7.56     75.82     24.33     60.15    -33.54     48.49 
   160       39.15      0.74315  -0.81931   2.86332   1.35370        68.92     38.57     29.88      1.23     -3.89     75.98     44.37     58.40     72.91      5.12 
   161       41.88      0.62379  -0.12077   3.82473   0.52343        78.90     46.53     34.72      1.71     -1.56     73.61     45.56     61.07     70.49      7.72 
   162       43.44      0.83456   0.51730   2.81502   0.06882        81.62     50.71     45.42     -0.29      5.61     66.84     47.15     60.09     70.85      6.45 
   163       48.61      1.05788  -0.19576   2.19243  -0.34874        88.02     55.87     54.60      7.36      0.83     64.31     52.29     61.52     92.44      8.85 
   164       50.21      0.93147  -0.63950   1.33631   0.13152        87.90     60.63     49.98      5.07      7.00     67.32     60.23     61.41     89.00     13.60 
   165       50.30      0.70690  -0.86655   1.64332  -0.00766        83.48     70.28     58.76     10.19      3.56     55.30     54.63     62.04     89.50     15.22 
   166       42.98      0.61408  -1.10719   2.33761  -0.70692        93.18     82.32     68.12     20.21      3.50      9.20     -4.31     56.00     86.32     15.27 
   167       37.41      0.55035  -1.66343   1.01170   0.66456        82.58     67.27     54.30      8.99      4.89     68.81      8.60     60.93    -28.82     46.57 
   168       36.42      0.57809  -1.39365   0.88370   0.11953        88.42     87.40     64.60     16.56      3.28     47.65     -1.17     57.11    -48.44     48.80 
   169       31.93      0.45704  -1.47272   2.35606  -0.16096        90.38     86.89     66.64     22.21      2.17     32.01     -6.30     58.28    -52.24     19.27 
   170       49.17      0.96584  -1.37877   1.72990  -0.38855        89.26     77.89     62.22     10.19     -4.56     47.93     38.08     59.05     89.68     22.00 
   171       47.31      1.04372  -0.93364   2.02598  -0.72319        90.76     80.19     60.80     12.16     -4.89     29.14     43.17     59.55     87.47     14.73 
   172       33.19      0.93457  -1.71059   2.58566  -1.28255        89.78     81.75     68.62     24.37      1.56      4.82    -13.75     53.65     -0.81     21.92 
   173       48.76      1.07488  -0.34196   1.92687  -0.57953        92.86     67.03     65.46     11.95     -2.00     37.93     50.23     62.32     90.62     11.19 
   174       47.58      1.11540  -0.27700   2.51596  -0.45101        90.92     54.83     51.96      7.09      0.72     60.51     49.13     60.05     91.39      9.24 
   175       48.24      1.20520   0.20559   1.94600  -0.77783        90.64     67.40     59.06      6.35      6.00     40.63     49.30     61.60     90.66     10.78 
   176       50.08      1.10192   0.11901   1.43602  -0.31842        89.56     58.88     59.76     16.37      4.94     59.74     50.46     59.92     90.47     10.71 
   177       47.33      1.21265  -0.00745   1.97225  -0.35253        81.88     56.40     51.76      5.44     -0.67     66.92     48.36     61.01     93.02      9.15 
   178       46.06      1.12672  -0.32172   1.37645  -0.74025        93.16     68.52     65.74     12.27     -5.50     21.27     43.75     59.17     87.60     14.67 
   179       43.59      1.27055   0.30396   1.68826  -0.03039        82.70     49.93     50.42      5.28    -10.89     66.40     44.11     61.00     77.63      9.27 
   180       46.39      1.10442  -0.40471   1.81514  -0.87827        91.26     74.01     71.68      9.63     -3.17     15.72     44.06     60.54     88.52     11.62 
   181       47.68      1.12022  -0.27515   0.99803   0.16219        79.30     50.29     52.24      6.67      0.33     70.23     51.91     60.33     93.20     12.32 
   182       45.62      1.20285  -0.19693   1.84404   0.04665        82.84     49.93     47.18      4.91     -5.94     69.10     50.13     60.61     88.56      8.92 
   183       47.83      1.11493  -0.12423   1.17682  -0.61732        89.52     68.59     65.26     14.91      0.72     26.95     51.26     59.16     86.38     15.52 
   184       48.56      1.06421   0.43937   1.53720  -0.38512        88.30     56.85     58.62      9.84     12.17     56.06     46.34     61.37     88.34      7.67 
     1       51.38      0.77000   0.00000   0.00000   0.00000        88.54     68.53     69.90     17.79     -0.56     35.57     50.97     58.12     90.49     34.40 
     2       34.60      1.30272   0.86746  -2.01734   2.31749        60.54     28.55     25.30      6.80    -18.17     73.15     37.57     59.64     56.13     16.49 
     3       39.95      0.82025  -1.36229   0.09116   2.59799        58.14     36.36     28.90     -0.35      4.61     70.04     57.77     58.08     71.12     14.85 
     4       42.43      0.94537   0.42805   2.49609   0.18231        84.64     52.48     40.60      4.08     -8.67     69.13     42.67     60.24     71.31      7.84 
     5       36.70      1.28297   1.62245   2.97493   0.51767        69.54     35.52     35.72     14.80      2.28     68.00     30.94     59.61     45.46      5.15 
     6       37.76      1.15401  -0.15011   1.25195   1.22553        65.90     36.16     32.24      4.61    -11.78     71.76     41.53     59.77     68.39      8.96 
     7       36.01      0.46568  -1.44640   2.40456   2.95570        50.56     35.85     24.52     -3.52      3.67     69.37     49.06     57.95     65.12      7.52 
     8       34.51      0.89604  -3.01506   4.26150   2.78700        48.48     28.44     23.42      5.68     -4.33     59.49     50.65     56.00     70.97      6.28 
     9       28.25      0.77029  -2.79503   4.92699   4.07162        35.48     27.69     15.30      1.09      4.67     53.01     39.24     50.98     52.49      2.54 
    10       27.84      1.25971  -0.41829   2.60235   3.08591        47.62     26.05     17.94      1.17     -2.00     54.83     30.86     53.35     44.40      4.17 
    11       38.85      0.86185  -2.56879   4.55917   2.04707        52.54     38.28     22.30      6.48      4.44     64.09     54.75     57.33     80.89      7.41 
    12       26.27      1.44101  -2.84571   4.13522   4.09741        38.10     20.95     15.18     -1.92     -5.72     53.15     39.17     48.51     50.24      5.06 
    13       32.30      0.87313  -3.21112   3.47008   3.41923        42.72     27.11     15.88     -2.43      0.50     57.93     51.06     56.07     63.42     10.69 
    14       32.66      1.47426  -3.52284   4.54404   2.45482        43.88     23.72     23.36     -0.40     -4.72     54.40     45.03     55.77     79.74      5.81 
    15       32.33      0.92501  -3.75009   4.05382   2.73483        46.58     31.05     17.34     -3.20     -7.11     62.64     56.56     57.85     54.44      7.20 
    16       26.65      1.28518  -2.64058   4.39971   3.92161        37.06     25.28     10.76      1.63      6.89     50.42     34.33     49.46     46.59      4.10 
    17       36.27      1.00324  -0.87035   2.62209   2.03314        55.84     30.44     28.64      1.87      9.33     66.88     41.35     59.41     60.52      8.41 
    18       27.48      1.57721   1.16898   4.22550   1.56331        54.20     25.83     19.24      4.11    -10.00     55.50     29.17     55.27     38.76      2.75 
    19       43.16      1.01126  -1.18374   1.80311   1.12569        69.50     40.95     32.36      3.12      4.44     69.25     54.59     59.86     86.67     10.85 
    20       36.01      1.47290  -2.76924   2.65405  -0.35024        83.34     74.27     43.68     11.52      2.17     68.05     42.10     60.88    -48.09     22.19 
    21       43.90      1.85686  -2.47597   3.03526  -0.13279        70.60     52.75     32.86      5.07      1.00     66.88     52.63     60.41     87.09      9.77 
    22       45.12      1.99240  -1.82767   3.87998  -1.34135        80.80     67.41     40.64     10.91     -6.44     56.53     44.64     62.00     87.94      6.81 
    23       31.20      1.48068  -1.88615   3.20453  -2.74690        89.72     87.52     68.62     27.44     -2.67     -6.55    -18.63     43.07     10.13     13.31 
    24       42.17      1.41132  -0.46639   3.52811  -2.30603        90.34     75.23     63.76     18.00      0.78     -5.69     29.23     52.32     89.79      7.93 
    25       36.02      2.01945  -2.52082   2.38705  -1.61935        85.52     77.88     55.58     16.48     -1.72     30.96     22.32     59.68     -4.92     18.47 
    26       27.94      2.16823  -3.75798   2.07772  -1.40890        80.50     77.73     51.14     21.17     -3.89     49.14    -12.05     59.22    -34.12     -9.46 
    27       44.75      1.90095  -0.54442   2.35145  -1.71418        87.72     69.04     58.38      7.52      7.67     21.46     39.93     59.71     87.06      9.00 
    28       43.56      1.99848  -1.33453   2.00975  -2.30068        87.42     78.23     64.26     23.63     -4.22     -1.02     29.80     55.49     87.27     14.75 
    29       46.69      1.46472  -1.41983   2.95209  -0.48030        82.94     57.68     41.04      6.45     -5.39     69.40     55.64     61.51     86.89     10.70 
    30       44.01      0.91445   0.01156   3.90207  -2.16671        84.30     79.17     69.32     24.35     10.28     -6.41     29.75     51.04     88.91      9.35 
    31       43.45      0.97775  -0.89273   4.55154  -1.86673        86.60     78.45     63.94     17.41     10.72     -4.43     31.51     57.73     86.15      6.44 
    32       42.80      0.78919   1.00837   4.72756  -1.60178        89.58     68.44     64.80      7.47      7.89      3.65     40.02     61.62     78.71      5.78 
    33       41.19      0.35560   0.95327   3.42659  -2.41452        84.18     87.03     75.36     34.32      1.89     -2.07     11.33     20.11     90.96      8.82 
    34       40.25      0.85629   2.19849   4.52837  -2.14285        92.62     64.93     69.10     15.01     -2.39     -3.30     36.73     57.62     65.64      6.53 
    35       42.16      0.78392   2.08944   3.66710  -2.12669        92.92     72.81     72.18     13.73      7.17     -4.89     36.78     50.88     74.93      5.12 
    36       39.20      0.39948   2.55349   2.29431  -2.88637        68.26     80.63     74.00     32.83     -2.89     -3.60     29.41     14.97     89.47      8.89 
    37       46.21      0.45980   0.44853   2.79493  -0.51154        87.44     69.88     69.34      7.41      0.28     17.08     49.33     60.98     92.58      7.79 
    38       44.99      0.04740   0.29367   1.32978   1.00152        71.42     53.23     51.74     -0.75      4.39     51.07     61.01     57.99     88.81     10.99 
    39       36.95      0.04300  -1.38675   1.25926   2.67636        65.00     33.13     29.72      6.88      0.61     64.13     30.02     58.76     65.31     15.98 
    40       35.41      0.43902   1.55219   0.94297   2.00406        65.30     34.17     31.02      1.31      0.11     75.08     36.94     58.23     46.99      4.90 
    41       34.46      0.16572   0.29969   2.83626   2.63508        57.40     28.64     22.78      7.17     -4.00     73.54     45.60     58.96     50.31      4.15 
    42       38.97      0.40366  -0.54482   2.39993   2.29388        59.56     29.48     27.60     11.15     12.17     71.82     51.13     59.17     60.64      7.03 
    43       37.60      0.19385  -0.88610   3.27945   2.33299        60.48     31.48     26.58      0.21     -0.78     75.38     50.66     59.19     65.18      7.63 
    44       39.11      0.31699  -2.01085   2.57993   1.66690        68.52     47.80     29.10      8.80      3.61     73.92     20.60     57.80     68.35     12.62 
    45       42.97      0.72755  -1.75375   2.02155   1.72241        64.22     42.23     31.74      3.84     -1.61     72.22     60.69     59.83     82.31     14.22 
    46       33.44      0.44507  -2.32663   1.96085   0.95424        78.26     64.07     44.76      9.92      0.83     68.86     20.71     59.01    -49.12     37.14 
    47       35.88      0.30798  -1.12950   2.96272   2.64423        57.86     33.31     20.08      3.47     -1.28     68.02     50.87     58.14     63.42      4.93 
    48       31.07      0.67300  -3.02151   1.35510   0.41642        87.48     60.20     55.30     20.51      0.78     65.30     -0.27     59.10    -54.37     16.69 
    49       37.68      0.82507  -1.45690   2.30891   2.42795        57.12     31.95     22.42      4.85     10.00     68.70     48.83     57.27     67.87      7.75 
    50       46.47      0.67718  -1.41991   2.53873   0.72081        79.50     51.52     38.74      8.19     -7.50     74.60     62.95     58.71     87.33     10.68 
    51       26.16      0.38819  -2.63884   2.41676  -0.16509        94.52     15.80     65.96     34.83      7.00     32.21     -0.72     58.00    -41.85     -4.10 
    52       46.67      0.65285  -1.96896   3.31569   0.45569        80.00     61.11     38.62     11.25     -7.11     69.09     54.30     60.43     87.79     11.26 
    53       46.81      0.59104  -1.39882   3.21192   0.59514        76.74     55.65     40.66      5.04     -1.72     72.36     58.94     60.80     89.61     10.02 
    54       37.58      0.72489  -0.35893   4.13228   1.09403        67.44     35.51     27.08      7.07     -2.00     70.93     39.96     58.34     63.54      7.93 
    55       46.79      0.63717  -0.95627   2.79560   0.33313        84.40     57.95     43.28      4.16     -6.61     70.83     57.07     60.15     87.11      9.59 
    56       46.13      0.89861  -1.94063   2.68489   0.66899        74.08     50.05     38.34      0.61      3.22     72.27     64.58     59.33     87.65     11.16 
    57       47.06      0.53657  -1.01668   3.87337   0.41308        82.44     53.60     35.96      9.28      0.39     73.52     57.05     60.81     87.75      9.81 
    58       40.89      0.29517   0.02732   4.04683   0.99871        72.88     42.19     33.80      4.72      0.94     74.91     51.52     58.62     62.83      6.53 
    59       33.47      0.60074  -0.36728   3.71408   2.09290        51.36     30.99     23.76     -1.92      7.22     67.83     39.71     57.80     53.59      4.31 
    60       40.86      0.21903  -0.94815   3.37784   1.67552        63.38     40.93     25.94     10.35     -3.78     72.66     57.90     58.77     75.60      6.81 
    61       41.84      0.39784  -1.97070   2.83395   1.67222        67.84     43.47     36.08     -0.24    -12.56     74.32     60.48     59.00     79.61     10.40 
    62       28.84      0.25992  -2.66848   2.98254   1.14422        75.96     57.33     39.52      4.99     -2.61     72.38     11.61     60.28    -47.46     16.41 
    63       36.91      0.26393  -1.89654   2.28688   0.87046        80.98     67.28     49.24      3.81      0.17     69.76     26.12     58.17     -8.06     21.65 
    64       40.41      0.44364  -1.87682   2.38508   2.24695        59.62     38.67     26.44     -0.93      2.44     73.23     63.29     59.31     70.80     11.22 
    65       45.09      0.25966  -1.59008   2.98658   1.77833        66.88     44.33     31.52      8.43      0.06     75.33     66.60     59.36     89.61      8.81 
    66       38.17      0.03393  -1.84671   3.33666   2.23538        62.16     39.71     23.78      0.48      4.78     74.51     34.70     59.21     74.22      8.19 
    67       37.44      0.21935  -2.52581   4.09334   1.89322        64.38     41.39     25.88      8.83      1.44     70.73     24.80     58.15     71.27      7.54 
    68       38.25      0.30451  -2.74610   4.40693   2.11779        64.20     34.68     26.06      6.13     -2.61     72.51     43.63     58.05     70.71      9.11 
    69       35.57      0.52800  -3.27644   4.78653   2.27345        53.64     36.28     21.38     -1.89     -8.39     65.34     54.83     57.93     67.80      8.80 
    70       38.69      0.15260  -2.67079   4.96139   1.46727        68.00     47.76     36.62      3.07      1.89     73.53     13.85     58.44     77.03      6.67 
    71       39.24      0.08711  -2.48719   4.24538   1.66036        72.16     48.13     34.88     13.76      5.00     73.63      8.59     59.61     67.97      8.67 
    72       38.07      0.22820  -2.45091   3.97896   1.71505        71.18     44.51     24.08      3.41      3.89     75.05     19.02     58.06     72.95      8.59 
    73       29.49      0.01763  -2.77565   3.72634   1.19892        77.62     60.31     40.88     10.88     -4.11     72.93      7.91     58.56    -45.08     15.03 
    74       31.83      0.20931  -3.01119   3.87977   1.70297        67.58     44.64     29.70     -0.24      9.72     73.27     17.07     58.64      5.67     12.20 
    75       34.62      0.20719  -2.72456   4.07099   2.10161        59.88     42.13     28.40     -0.53    -11.89     72.23     27.01     59.98     61.52      7.51 
    76       45.03      0.12945  -2.06854   4.78261   1.10514        77.92     55.47     33.52      1.12     -1.33     73.46     54.90     59.67     87.63      7.94 
    77       46.31      0.17728  -1.68530   4.40256   1.18561        72.60     45.36     36.88      8.56      1.83     73.62     67.90     58.45     88.08      9.83 
    78       43.40      0.26786  -1.40231   3.98717   1.20299        70.86     46.68     32.90      3.39    -12.00     75.47     61.28     59.27     88.81      7.39 
    79       41.77      0.11504  -2.11106   4.39067   0.73708        80.38     62.31     40.10     12.91     -7.61     69.25     10.83     57.80     84.31      7.43 
    80       42.80      0.09895  -2.06258   4.17688   0.92912        78.44     63.40     41.66      8.72      2.83     73.17      6.60     59.90     84.33      8.93 
    81       43.25      0.04176  -1.28638   4.56595   1.28724        71.18     46.92     32.14     -2.77     -0.39     71.92     62.56     59.63     84.70      6.59 
    82       45.36      0.15592  -1.48772   4.21087   1.27265        67.94     48.53     33.84      6.00      2.39     74.44     64.39     58.99     88.32      8.77 
    83       44.68      0.14773  -1.36898   4.11533   1.20379        73.02     45.05     32.58      5.73     -2.11     73.57     62.33     59.57     91.19      5.89 
    84       44.38      0.08741  -1.67803   4.20664   1.06609        74.24     52.99     35.88      4.80    -12.89     74.54     60.91     58.81     86.79      7.70 
    85       45.81      0.09372  -1.63310   4.19939   1.20313        71.66     54.05     37.18      9.01     -8.50     74.16     64.73     59.84     86.99      9.02 
    86       45.57      0.05415  -1.62382   4.10947   1.19852        75.82     49.55     32.52      4.56     -2.89     76.96     63.67     60.20     87.85      7.49 
    87       43.64      0.15006  -1.65392   4.19741   1.49232        67.40     44.60     32.24      3.41     -8.50     76.59     68.06     58.32     87.36      6.93 
    88       43.60      0.02608  -1.69096   4.30634   1.09059        71.96     47.60     35.54      6.85    -12.11     74.52     56.97     59.00     89.37      6.34 
    89       46.18      0.03090  -1.38536   4.42158   0.95460        78.28     51.95     42.84      1.25     -0.11     71.77     61.08     61.43     87.83      5.48 
    90       45.04      0.09907  -1.46520   4.47032   1.09499        71.72     51.71     35.32      0.03     -4.94     70.83     68.28     60.02     91.15      6.27 
    91       47.89      0.00308  -1.50648   4.36694   1.27738        75.36     51.97     38.66     11.57      7.33     75.70     62.98     59.17     89.99      6.15 
    92       46.40      0.00083  -1.54203   4.32920   1.28723        71.40     47.55     39.06      7.68      6.67     76.29     61.39     60.30     87.23      6.44 
    93       44.04      0.00147  -1.55047   4.32543   1.26177        70.88     50.37     29.92      4.93     -7.78     73.83     62.99     58.29     88.14      8.85 
    94       45.37      0.01294  -1.48562   4.32967   1.29174        73.60     48.41     33.24      2.88     -4.83     75.70     66.36     60.08     88.62      9.66 
    95       45.50      0.01051  -1.54623   4.41430   1.31727        72.04     51.31     33.84      3.01      1.61     72.51     64.64     59.33     90.91      5.77 
    96       45.53      0.00396  -1.47367   4.35340   1.31512        74.20     45.85     33.04      2.45      6.33     72.03     63.95     60.63     90.20      6.56 
    97       46.95      0.01191  -1.46724   4.37119   1.25631        73.26     41.55     34.08     11.71     12.72     77.96     63.65     58.12     88.16      8.26 
    98       44.31      0.01067  -1.48370   4.34096   1.25300        71.96     47.95     29.76      5.17     -3.28     72.77     66.13     59.79     86.39      6.48 
    99       44.52      0.01231  -1.54823   4.38143   1.30402        72.74     44.97     30.78      2.35     -2.00     72.65     64.94     61.17     89.58      7.98 
   100       45.69      0.01746  -1.49916   4.31754   1.27980        76.92     49.60     33.62     -0.05      3.67     74.99     61.75     59.56     89.17      7.73 
   101       45.76      0.01027  -1.46744   4.31928   1.27433        77.32     49.68     34.02      1.33     -2.33     76.53     66.67     58.09     89.45      6.80 
   102       43.34      0.00308  -1.50648   4.36694   1.27738        71.04     45.37     31.80      0.88    -11.17     73.63     66.09     59.76     88.97      7.04 
   103       31.42      0.38244  -3.10120   4.69583   1.34321        69.36     45.65     32.50     -2.83     -0.06     71.20      3.35     59.21     28.15      7.69 
   104       32.13      0.68520  -1.79244   2.82742   3.69213        48.62     24.84     21.36      7.25     -1.50     63.02     40.52     56.99     52.92      7.25 
   105       29.54      0.22559  -0.99286   3.22636   4.22665        44.52     20.89     20.06      4.85     -1.33     60.47     40.83     55.48     44.22      5.39 
   106       27.02      0.54962  -0.96645   3.36736   4.56736        36.78     20.93     14.62      6.43      0.17     58.27     34.79     52.26     38.94      7.05 
   107       35.01      0.52445  -3.06233   3.77944   2.36335        61.80     40.25     21.20      9.79     -6.72     68.73     32.44     57.91     56.75      7.91 
   108       31.50      0.52229  -3.23826   3.01987   1.73994        66.90     52.16     27.10      8.16      3.33     74.16     26.34     59.61    -21.96     19.16 
   109       28.18      1.02787  -1.28491   1.20494   4.15976        39.26     22.65     12.52     -2.67      5.50     59.25     35.02     55.28     47.46      7.57 
   110       29.94      0.93135  -3.83272   2.45582   1.02024        72.68     58.52     36.32      5.47      4.00     71.33     10.48     59.61    -42.09     23.07 
   111       23.47      0.36607  -4.87283   2.14724   2.48550        65.32     37.49     27.40      9.73     -6.06     74.58      2.71     57.02    -50.70     17.19 
   112       40.31      0.49477  -1.71826   1.22784   2.71683        58.54     34.25     28.08     10.67      4.22     68.32     58.52     59.39     65.63     15.48 
   113       29.33      1.12289  -2.00962   1.65950   4.01650        42.50     26.23     18.06      1.49     -7.67     58.20     38.04     54.20     54.11      8.12 
   114       26.74      0.65097  -2.92154   1.04464   2.72215        54.36     30.96     24.14      6.40      6.83     72.43     -4.98     56.76     15.61      4.87 
   115       29.54      1.26128  -3.38407  -0.98118   4.65968        41.68     24.07     19.92      5.17      4.33     61.47     38.12     55.06     27.61     17.94 
   116       27.66      1.44165  -1.90581  -1.11553   4.85726        36.64     22.59     18.62      6.75      1.22     54.47     33.05     52.47     49.56      1.20 
   117       28.02      1.99295  -0.24346  -1.35554   3.49581        39.94     21.48     13.18      5.07     -3.78     56.89     34.34     55.55     45.55     12.01 
   118       34.65      1.74938   1.05806  -2.41638   1.86872        60.48     27.12     29.18      6.11     -7.11     68.98     34.81     58.29     55.28     13.40 
   119       36.49      1.89574  -0.20477  -4.35890   1.56286        67.68     36.36     40.22      7.36    -62.06     72.24     44.65     57.17     89.10     12.15 
   120       26.43      1.37897  -1.53005  -2.96452   0.29715        87.74     79.19     75.66     -4.85    -53.78     56.50     15.25     47.97    -53.34     13.93 
   121       46.86      1.83662   0.05172  -2.87715  -0.11281        87.16     58.92     69.28     18.83    -46.67     63.83     53.24     59.37     89.90     14.70 
   122       52.91      2.02849   0.63242  -1.87078  -0.59573        86.88     52.21     64.00     20.40     20.39     54.58     46.97     60.64     90.34     32.74 
   123       46.41      2.32923   0.31623  -0.84892  -0.62301        79.80     44.63     50.08      5.47     11.61     66.73     38.43     61.65     89.72     15.97 
   124       43.75      1.97375  -1.07334  -0.01336   0.45758        67.08     45.17     33.32      4.80      1.72     71.61     46.67     59.35     87.81     19.93 
   125       48.21      2.32077  -0.54335   0.00906  -1.08326        84.86     58.67     61.32      9.79     -8.50     57.80     42.00     61.39     90.64     24.16 
   126       42.97      2.55243  -0.40177  -0.82331  -2.41423        86.78     74.20     63.64     29.60      5.39      0.44     30.91     52.91     89.28     -3.41 
   127       34.99      2.07921  -1.82004  -0.70267  -0.05184        78.68     59.32     43.20     11.17     10.00     68.73     56.88     62.68    -52.68     11.92 
   128       35.87      2.81042   0.31255   1.46431  -0.40017        67.02     37.73     29.50      1.47      9.11     58.15     29.11     60.66     58.12      7.78 
   129       42.87      2.71396  -1.32341   1.18331  -1.06853        74.78     51.83     47.02     -9.44      2.22     58.43     43.25     61.03     86.99     12.57 
