constructTestCases(): generating 37 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.3, -0.5, -0.5, 0.3, -0.5, -0.5], [2.3, 0.5, 0.5, 2.3, 0.5, 0.5], [0.1, 0.1, 0.1, 0.1, 0.1, 0.1], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 6 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Linear  
MABsolver_config: params: numInputs:  2  2  
MABsolver_config: params: weights:  [  1.300000  0.000000  0.000000  ]  [  0.800000  0.000000  0.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p01w00    p01w01    p01w02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   769       46.46      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        80.00     47.47     57.00     -6.93      3.89     72.70     52.62     63.89     87.07      6.85 
   770       44.79      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        80.40     42.13     52.40      3.20    -29.44     70.30     54.92     70.73     89.21     14.07 
   771       50.14      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        91.00     49.20     45.60     25.60     -8.33     83.80     44.37     59.96     97.14     13.02 
   772       46.53      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        88.40     57.87     20.60     23.47     -2.78     53.90     56.59     60.00     89.61     17.65 
   773       49.33      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        82.60     43.07     43.60     16.00      8.89     79.10     49.44     60.65     88.93     21.05 
   774       45.69      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        79.40     61.20     42.40     -2.13     -8.33     73.50     43.81     58.84     87.80     20.37 
   775       46.34      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        65.00     51.47     59.80      8.27      1.11     70.00     51.19     58.91     86.58     11.05 
   776       48.80      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        70.40     53.20     58.40     10.13      1.67     80.90     46.51     60.04     94.33     12.41 
   777       47.16      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        73.80     51.60     50.80      9.07    -15.56     82.40     46.43     60.07     94.24     18.77 
   778       48.34      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        84.00     66.13     51.40     14.40     -6.67     73.50     42.70     55.35     90.75     11.85 
   779       52.46      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        89.00     44.53     52.40      9.60     32.22     76.80     52.22     60.80     82.59     24.44 
   780       46.25      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        94.00     63.20     31.20    -23.73     -5.56     79.20     56.90     60.76     92.83     13.64 
   781       45.14      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        89.00     49.73     42.00    -12.27    -10.56     77.40     51.03     59.20     87.89     17.96 
   782       51.03      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        85.80     53.33     54.80     10.13      7.22     67.20     50.63     61.09     98.10     21.98 
   783       48.62      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        83.20     60.40     39.60      2.67     16.11     73.80     45.16     68.58     91.97      4.69 
   784       45.38      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        75.40     36.27     49.00     16.27      1.11     69.40     46.19     56.95     90.98     12.22 
   785       47.24      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        91.20     45.33     45.20     14.93    -13.33     66.40     54.52     63.31     98.73      6.11 
   786       50.40      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        83.40     57.73     36.00     24.00     13.89     74.20     43.25     62.98     92.24     16.30 
   787       48.99      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        84.20     61.20     37.80     20.80     -3.33     73.00     49.37     58.80     92.79     15.31 
   788       45.79      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        68.20     56.13     43.40      2.40     -7.78     74.60     48.89     62.65     90.70     18.70 
   789       53.34      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        97.00     53.20     35.80     20.80     33.33     78.70     49.92     58.18     91.20     15.25 
   790       42.58      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        84.80     37.73     35.00      9.87    -24.44     60.80     47.94     63.89     94.69     15.49 
   791       46.45      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        89.00     48.00     41.20     12.27     -3.89     66.60     46.83     60.51     91.79     12.22 
   792       49.39      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        97.20     45.73     47.20     14.13     -7.78     67.30     60.79     59.20     91.97     18.15 
   793       45.98      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        75.20     46.00     50.80     -8.53     -7.22     69.90     57.46     63.02     97.64     15.56 
   794       52.06      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        84.60     53.07     49.60      8.80     32.78     70.50     50.48     61.60     98.41     10.74 
   795       47.50      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        88.60     55.20     53.00     -9.87    -16.11     84.00     48.97     58.51     96.51     16.23 
   796       49.53      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        98.40     51.07     45.80     -1.07      6.67     74.30     47.38     66.55     93.97     12.22 
   797       46.48      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        63.20     51.87     44.00      5.07     36.67     69.30     42.94     57.64     82.49     11.60 
   798       42.49      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        83.00     50.53     41.20     -8.53     -8.33     56.60     52.38     62.11     87.98      7.96 
   799       51.00      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        69.60     68.53     53.60    -16.53     36.67     76.90     53.73     55.45     96.55     15.49 
   800       44.03      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        82.20     52.93     43.00     -1.60    -13.33     81.10     38.57     53.96     90.43     13.02 
   801       52.94      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        74.40     63.07     51.80     19.73     30.00     64.50     61.75     59.13     94.65     10.37 
   802       49.51      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        86.20     66.40     44.00     34.40    -32.78     79.20     50.16     59.49     90.84     17.16 
   803       47.97      1.20000   0.40000   0.40000   1.50000  -0.20000   0.40000        75.20     54.00     55.00     12.80      2.78     66.00     43.97     61.16     93.47     15.37 
   804       48.54      0.80000   0.30000   0.30000   1.50000  -0.20000   0.50000        86.00     59.73     61.00     -0.00    -12.78     75.70     56.67     57.67     88.25     13.15 
   805       47.98      0.60000   0.30000   0.10000   1.20000  -0.10000   0.40000        90.60     67.20     60.00     -0.80     -7.78     49.80     54.29     55.96     93.61     16.91 
   806       43.87      0.30000   0.40000   0.40000   2.00000  -0.20000   0.50000        70.20     38.93     56.40     10.67    -20.56     71.80     61.19     54.25     84.90     10.86 
   807       43.03      1.00000   0.40000   0.40000   1.80000  -0.40000   0.30000        87.20     40.00     42.20      1.87    -28.89     76.80     52.06     54.22     92.34     12.47 
   808       50.09      0.50000   0.20000   0.10000   1.60000  -0.30000   0.30000        83.80     47.60     40.20     16.80     17.22     56.40     69.37     63.53     86.39     19.63 
   809       50.76      0.30000   0.00000   0.30000   1.10000  -0.20000   0.10000        95.20     56.93     62.60     15.20      3.33     31.70     66.11     51.96     89.16     35.43 
   810       38.77      0.40000   0.20000   0.10000   1.50000  -0.40000   0.00000        95.60     53.73     55.20    -22.93    -51.11     40.90     46.98     60.58     83.49     25.25 
   811       55.10      0.60000   0.10000   0.10000   1.10000  -0.30000   0.30000        99.40     55.07     51.60     29.60     32.22     56.40     56.35     54.76     92.79     22.84 
   812       46.77      0.50000  -0.10000  -0.10000   1.00000  -0.40000   0.20000        92.20     67.47     60.40    -20.27     -4.44     33.60     51.59     58.22     87.30     41.67 
   813       51.75      0.40000   0.30000   0.00000   1.50000  -0.20000   0.40000        79.80     53.60     55.00     24.27     11.67     75.50     61.03     62.44     82.40     11.79 
   814       55.27      0.60000   0.30000  -0.10000   0.80000  -0.30000   0.10000        84.00     78.80     86.00     10.93     -0.56     58.80     56.51     53.82     85.58     38.83 
   815       47.41      0.40000   0.40000  -0.10000   0.90000  -0.30000   0.00000        83.60     75.47     73.40     16.80    -12.78     18.40     42.46     44.65     88.80     43.27 
   816       50.25      0.60000   0.40000   0.10000   1.00000  -0.50000   0.20000        84.60     74.67     75.80      7.73      6.67     21.70     58.02     62.47     89.52     21.36 
   817       50.49      1.00000   0.10000  -0.20000   0.40000  -0.40000   0.20000        81.00     84.67     58.80     41.60     13.89      8.80     46.67     56.33     86.58     26.60 
   818       50.75      0.90000   0.30000   0.00000   1.20000  -0.10000   0.30000        99.40     60.00     66.00      9.07    -22.78     60.30     52.06     58.36     99.23     25.86 
   819       51.84      0.80000   0.40000   0.00000   0.60000  -0.10000  -0.10000        78.20     82.40     83.00     38.67    -20.00     34.70     50.87     52.18     86.80     31.54 
   820       51.69      0.30000   0.40000  -0.20000   0.50000  -0.40000   0.10000       104.20     82.13     65.20     16.00      5.00     23.30     45.95     53.02     88.98     33.15 
   821       48.89      1.00000   0.40000  -0.30000   0.90000  -0.50000   0.30000        84.80     68.93     54.60      2.13     15.00     43.60     52.54     53.53     91.02     22.78 
   822       41.85      0.50000   0.50000  -0.40000   0.60000  -0.30000   0.40000        40.40     65.73     61.20     11.47     -5.00     26.90     49.29     51.24     82.45     34.81 
   823       54.03      0.70000   0.40000  -0.40000   0.90000  -0.40000   0.40000        84.80     58.40     69.20     37.87     19.44     38.00     48.97     60.18     91.84     31.60 
   824       53.97      0.80000   0.20000  -0.20000   1.10000  -0.20000   0.50000        82.20     66.93     52.60     20.27     11.11     72.70     58.89     61.42     91.11     22.47 
   825       42.22      0.40000   0.20000  -0.40000   1.50000   0.00000   0.30000        72.40     58.93     34.80     -9.60     -4.44     41.90     64.29     58.00     88.66     17.28 
   826       48.60      0.80000   0.20000  -0.20000   1.40000   0.00000   0.40000        75.80     50.13     55.60     18.40    -10.56     70.00     63.25     58.36     82.77     22.22 
   827       50.76      0.70000   0.40000  -0.10000   1.10000  -0.20000   0.40000        89.40     70.13     47.40     12.80     13.33     62.80     50.24     52.84     91.52     17.10 
   828       49.00      1.00000   0.30000  -0.40000   1.40000  -0.10000   0.30000        79.60     56.93     45.20     16.00     -7.22     74.60     58.57     61.96     90.07     14.32 
   829       49.83      1.20000   0.20000  -0.20000   1.30000   0.00000   0.30000        92.00     70.27     50.00     -5.33     -6.11     73.90     50.48     60.11     89.39     23.58 
   830       52.36      1.50000   0.10000  -0.30000   1.10000   0.20000   0.40000        90.00     72.93     57.80     13.07      7.78     64.70     48.81     61.49     93.88     13.15 
   831       45.20      1.50000  -0.10000  -0.40000   1.30000   0.10000   0.50000        78.00     57.47     51.00    -14.67     -7.22     72.00     58.02     60.87     88.12      8.46 
   832       46.17      1.00000  -0.20000  -0.40000   0.90000   0.30000   0.30000        85.20     61.87     45.00      4.53    -20.00     63.50     56.11     54.15     83.85     27.47 
   833       49.48      1.30000  -0.10000  -0.50000   0.70000   0.20000   0.10000        87.80     63.07     62.00     12.53    -12.22     40.60     62.54     62.22     89.52     26.73 
   834       55.45      0.90000   0.00000  -0.40000   0.50000   0.30000   0.00000       102.80     74.00     78.20     36.27     11.67     11.20     55.63     58.95     92.74     33.02 
   835       51.99      0.90000  -0.10000  -0.30000   0.70000   0.30000   0.20000        89.40     60.27     82.80     20.53      5.56     30.90     60.24     55.71     82.59     31.91 
   836       51.19      0.90000   0.10000  -0.20000   1.00000   0.40000   0.00000        79.60     51.73     65.00      3.20      0.00     69.70     68.73     58.87     91.16     23.95 
   837       53.35      0.70000   0.00000  -0.30000   0.70000   0.20000  -0.10000        88.80     78.80     73.20     20.27     -0.56     37.90     57.94     59.09     89.75     28.27 
   838       48.53      1.20000   0.10000  -0.50000   1.00000   0.00000   0.00000        77.40     61.20     62.00      4.00    -20.56     70.00     49.44     60.44     96.64     24.69 
   839       46.01      1.00000   0.00000  -0.50000   0.60000   0.20000   0.10000        89.60     53.07     80.40     -2.93    -11.11     11.20     59.13     58.25     85.31     37.22 
   840       55.23      1.10000   0.20000  -0.50000   0.90000   0.40000   0.20000        90.40     63.33     75.20      6.93     10.00     75.10     66.11     61.24     86.30     17.65 
   841       45.30      0.90000   0.10000  -0.50000   0.80000   0.50000   0.10000        79.60     57.73     47.40      8.53     -1.67     39.60     44.84     61.35     88.48     27.10 
   842       57.40      1.20000   0.10000  -0.50000   0.90000   0.40000   0.20000        93.40     62.27     53.40     22.67     37.78     66.40     57.54     64.84     88.03     27.65 
   843       46.44      0.90000   0.30000  -0.40000   1.10000   0.30000   0.00000        91.00     51.87     52.80      5.87    -16.11     61.60     51.90     55.96     92.06     17.47 
   844       49.00      1.60000   0.30000  -0.40000   0.90000   0.20000   0.20000        95.20     62.40     51.00      9.87      7.78     48.60     46.19     59.45     90.70     18.83 
   845       51.33      2.00000   0.40000  -0.50000   0.90000   0.40000   0.00000        86.00     69.60     69.40      0.27     41.67     37.80     36.35     58.73     86.49     27.04 
   846       44.90      1.90000   0.20000  -0.30000   1.10000   0.30000  -0.10000        84.00     53.47     63.20     -0.00    -25.56     65.10     33.33     64.55     89.25     21.67 
   847       42.36      2.10000   0.40000  -0.40000   0.60000   0.40000  -0.10000        89.40     54.67     78.60      4.27    -23.33      8.90     44.60     59.38     89.89     17.22 
   848       54.37      2.00000   0.30000  -0.30000   0.50000   0.40000  -0.10000        92.60     72.13     89.80     21.60     20.00     31.60     34.60     63.89     84.26     33.21 
   849       44.61      2.10000   0.40000  -0.30000   0.30000   0.40000  -0.30000        79.00     49.33     92.60     33.07     10.00     -7.20     34.92     53.82     86.71     13.83 
   850       49.50      1.90000   0.30000  -0.20000   0.70000   0.40000  -0.20000       101.20     65.47     76.40      8.27     -5.56     48.60     36.51     59.27     83.81     21.05 
   851       47.64      2.10000   0.20000  -0.40000   0.30000   0.30000  -0.30000        90.60     68.40     64.40     32.80     12.22     -3.90     38.73     52.15     91.84     29.20 
   852       41.55      2.20000   0.00000  -0.50000   0.70000   0.30000  -0.40000       100.60     52.27     63.00      1.33    -36.11     11.70     43.81     56.29     93.88     28.70 
   853       51.63      2.20000   0.00000  -0.50000   0.60000   0.30000  -0.20000       100.80     70.00     77.00     13.07      6.67     28.90     46.75     59.35     93.61     20.12 
   854       42.93      2.10000  -0.10000  -0.40000   0.40000   0.10000  -0.30000        98.20     51.20     57.00     17.60    -18.89     16.50     35.87     56.22     93.47     22.10 
   855       46.44      2.20000   0.00000  -0.30000   0.70000   0.10000  -0.30000        97.00     61.73     66.60     17.07    -11.67     14.30     52.06     65.24     85.49     16.60 
   856       56.12      2.10000   0.00000  -0.50000   0.60000   0.30000  -0.30000        97.20     80.67     64.60     40.00     40.56     20.90     43.25     61.27     85.44     27.35 
   857       51.08      1.70000   0.10000  -0.40000   1.00000   0.20000  -0.20000        93.60     62.00     69.20     31.73      2.78     33.30     47.30     60.00     90.34     20.56 
   858       45.00      1.80000   0.10000  -0.50000   1.40000   0.30000  -0.40000        94.40     51.20     48.40     -9.87    -22.78     56.90     50.40     67.96     96.51     16.85 
   859       52.62      1.90000   0.00000  -0.30000   1.10000   0.30000  -0.50000        95.00     54.93     75.20     21.60      5.00     55.20     54.84     58.65     85.58     20.19 
   860       50.36      1.70000   0.20000  -0.30000   0.90000   0.10000  -0.50000        86.00     68.53     66.20     21.07      6.11     44.00     32.46     60.69     96.64     21.91 
   861       48.90      1.60000   0.20000  -0.10000   1.00000   0.20000  -0.40000        91.20     67.20     45.80     13.60      9.44     59.80     43.57     63.09     76.42     18.83 
   862       51.26      1.90000   0.10000  -0.20000   1.30000   0.00000  -0.30000        87.00     63.73     61.60     29.60     10.00     51.80     42.62     61.89     91.93     12.47 
   863       47.94      1.70000  -0.10000   0.00000   1.70000   0.00000  -0.10000        86.60     50.80     44.80     13.60     -2.22     68.70     51.43     55.75    100.59      9.32 
   864       49.01      2.00000   0.00000   0.20000   1.80000  -0.10000   0.00000        77.00     50.67     32.80     30.13     18.33     66.10     40.08     60.58     96.28     18.15 
   865       37.25      1.90000   0.20000   0.20000   2.20000  -0.10000   0.00000        63.80     29.33     31.60    -15.73     -1.11     76.30     40.71     59.38     77.78     10.43 
   866       42.87      1.90000   0.10000   0.10000   1.50000  -0.20000  -0.10000        91.20     42.27     49.40     16.27    -33.89     64.60     39.52     64.55     85.49      9.26 
   867       40.12      2.20000  -0.20000   0.10000   2.20000  -0.20000   0.10000        75.40     35.20     37.60    -13.33      6.67     57.40     41.51     61.45     87.39     11.91 
   868       44.36      2.10000  -0.10000   0.10000   2.00000  -0.30000   0.10000        74.40     55.07     41.20     -0.80     18.89     70.80     29.29     60.36     87.71      6.73 
   869       43.98      2.20000  -0.20000   0.10000   2.10000   0.00000  -0.10000        62.80     48.00     44.20     27.20      3.33     64.40     33.97     64.25     83.58      8.02 
   870       46.83      1.90000   0.00000   0.10000   1.70000  -0.20000   0.00000        83.60     50.93     49.60      3.73      3.33     73.00     42.14     58.15     93.11     10.74 
   871       47.89      2.20000   0.00000   0.00000   1.50000  -0.10000   0.00000        88.00     49.73     56.20     -8.53     15.56     69.80     43.17     60.40     90.02     14.57 
   872       40.43      1.90000   0.00000   0.10000   1.90000  -0.30000   0.00000        80.40     46.53     46.40    -19.73    -13.33     67.80     28.89     58.55     89.93     18.83 
   873       47.17      2.30000   0.10000  -0.10000   1.40000   0.00000   0.20000        86.20     54.00     62.80     25.33     -7.78     58.60     32.54     59.05     92.43      8.52 
   874       49.32      2.00000   0.00000  -0.30000   1.10000   0.10000   0.20000        77.80     54.93     41.00      9.87     21.67     64.80     41.19     65.53     95.33     21.05 
   875       47.33      1.80000  -0.10000  -0.20000   1.30000   0.00000   0.20000        84.00     63.60     52.40     -2.67     -7.22     71.30     53.10     60.55     87.89     10.31 
   876       48.17      1.60000   0.10000  -0.40000   1.40000   0.20000   0.20000        87.00     57.33     38.60      3.73     10.56     69.70     48.10     63.89     93.56      9.20 
   877       47.53      1.90000   0.00000  -0.50000   1.60000   0.10000   0.10000        79.00     55.47     40.00     13.07      1.67     71.90     51.59     62.40     91.61      8.64 
   878       45.32      1.80000  -0.10000  -0.30000   1.70000   0.10000  -0.10000        77.60     55.07     34.00     -9.33     20.56     72.90     43.33     63.89     85.08     10.06 
   879       46.54      1.50000  -0.20000  -0.40000   2.00000  -0.10000  -0.20000        85.40     43.47     43.20      0.80     -0.56     78.70     48.10     59.38     87.85     19.07 
   880       47.91      1.70000  -0.30000  -0.50000   1.90000  -0.30000  -0.30000        83.60     39.73     51.20    -12.53     37.22     71.60     38.57     56.36     88.98     24.32 
   881       47.05      1.80000  -0.40000  -0.50000   1.90000  -0.20000  -0.10000        79.40     48.93     43.20     31.47     -7.22     70.10     44.44     60.18     83.17     16.79 
   882       45.24      1.80000  -0.40000  -0.40000   2.00000  -0.10000  -0.30000        75.80     35.33     53.60      4.00     -0.56     66.70     46.27     59.64     92.24     19.38 
   883       48.09      1.80000  -0.50000  -0.20000   1.60000   0.10000  -0.20000        85.60     39.73     47.80     -0.53     12.78     76.20     57.30     54.40     88.44     19.14 
   884       54.71      2.00000  -0.50000  -0.20000   1.40000   0.00000  -0.10000        87.60     64.13     80.80      0.53     14.44     82.10     45.08     60.95     89.75     21.67 
   885       53.21      1.60000  -0.50000  -0.10000   1.70000   0.20000  -0.30000        87.20     59.33     57.40     12.80     32.22     82.90     39.29     60.11     87.35     13.52 
   886       44.68      1.80000  -0.50000  -0.20000   1.80000   0.20000  -0.40000        75.00     47.20     36.80    -12.00     18.89     75.60     42.22     58.98     83.58     20.56 
   887       52.65      1.90000  -0.40000   0.10000   1.30000   0.30000  -0.20000        84.60     61.07     72.40     -8.53     29.44     68.90     50.40     60.11     92.70     15.43 
   888       45.93      2.00000  -0.20000  -0.10000   1.20000   0.20000  -0.10000        86.40     58.13     64.00     12.00    -13.33     43.10     45.87     58.98     91.02     13.15 
   889       44.87      2.10000  -0.50000   0.10000   1.30000   0.40000  -0.10000        74.20     54.40     44.80      8.27     -6.11     67.00     41.90     55.38     90.79     18.02 
   890       52.22      1.60000  -0.20000  -0.10000   1.00000   0.10000  -0.40000        79.20     71.20     59.80     18.40     15.56     68.50     52.14     63.60     81.32     12.53 
   891       49.94      1.80000  -0.20000   0.00000   0.60000   0.30000  -0.30000        79.80     62.13     80.00     23.20     24.44     17.50     43.41     59.85     83.27     25.80 
   892       50.41      1.80000  -0.40000  -0.10000   0.80000   0.20000  -0.10000        81.20     73.07     69.00     13.33     10.56     39.60     53.41     54.22     81.90     27.84 
   893       42.79      2.20000  -0.50000   0.10000   0.70000   0.10000   0.10000        77.00     47.87     68.20     22.40    -22.22     31.00     39.52     56.44     85.80     21.85 
   894       47.60      1.70000  -0.40000   0.00000   0.90000   0.30000  -0.10000        79.60     75.07     61.40    -19.47     16.67     36.60     59.29     62.84     88.84     15.19 
   895       49.26      1.80000  -0.30000  -0.10000   0.70000   0.20000  -0.10000        84.00     68.67     57.60      5.87     -4.44     44.80     48.65     60.76     97.78     28.89 
   896       51.22      1.60000  -0.30000   0.10000   0.50000   0.20000  -0.20000        88.20     88.93     80.00     15.20      2.22     12.20     50.00     56.04    101.86     17.59 
   897       45.28      1.70000  -0.30000   0.20000   0.70000   0.30000   0.00000        78.00     64.27     63.80     16.00    -22.22     49.60     47.94     59.82     85.58     10.06 
   898       49.04      1.30000  -0.10000   0.10000   0.50000   0.30000   0.00000        80.20     68.93     65.00     41.07      9.44      5.20     54.52     59.20     79.18     27.65 
   899       45.14      1.10000  -0.20000  -0.10000   0.50000   0.30000  -0.10000        90.40     69.07     74.00    -10.93     -0.00      9.90     43.57     62.69     82.04     30.62 
   900       49.52      1.30000  -0.30000   0.10000   0.60000   0.50000  -0.20000        85.60     63.73     62.20     34.13     26.11     -1.40     58.49     53.35     92.70     20.25 
   901       49.71      1.30000  -0.40000   0.30000   0.80000   0.40000  -0.20000        91.80     67.07     71.60     -1.33     -4.44     30.40     66.19     60.29     90.02     25.56 
   902       46.64      1.10000  -0.40000   0.30000   1.10000   0.40000  -0.30000        95.20     56.80     62.00      1.07    -31.11     62.50     50.71     62.25     85.67     21.30 
   903       51.42      0.90000  -0.40000   0.30000   0.80000   0.20000  -0.40000        81.40     68.80     50.80      6.40     29.44     43.70     60.71     58.98     87.76     26.17 
   904       55.28      0.60000  -0.40000   0.10000   0.90000   0.00000  -0.40000        72.60     68.53     67.20     28.27      8.89     44.60     77.06     56.36     83.45     45.86 
   905       49.11      0.50000  -0.50000   0.00000   0.70000  -0.10000  -0.40000        98.40     64.93     70.20      0.80     -5.00     17.20     58.02     41.75     85.80     59.01 
   906       48.06      0.30000  -0.40000   0.30000   0.50000   0.10000  -0.40000        98.80     71.33     75.60     29.87     -1.11     -1.90     44.29     22.04     94.10     47.59 
   907       50.25      0.70000  -0.30000   0.20000   0.60000   0.10000  -0.40000        79.40     73.87     66.80     29.60      3.33     12.10     48.89     47.93     98.55     42.04 
   908       49.13      0.60000  -0.40000   0.30000   0.60000   0.10000  -0.30000        92.00     76.40     89.20     12.00    -40.00     26.40     55.24     50.36     78.73     50.93 
   909       55.51      0.80000  -0.40000   0.10000   0.60000   0.00000  -0.30000        90.40     72.27     72.80     40.80     30.56     16.00     45.71     50.25     83.04     53.27 
   910       47.93      1.10000  -0.50000   0.20000   0.70000  -0.20000  -0.50000        96.00     72.00     71.20      9.33     -5.56      6.90     49.44     57.82     89.30     32.84 
   911       55.37      1.30000  -0.50000   0.10000   0.70000  -0.30000  -0.40000        91.80     86.53     91.60     24.00     10.56     26.60     58.02     60.76     86.44     17.35 
   912       52.20      1.60000  -0.40000   0.10000   0.90000  -0.50000  -0.20000        79.00     81.33     79.80     16.53      6.11     42.90     43.49     58.07     86.30     28.46 
   913       49.98      1.30000  -0.50000   0.00000   0.80000  -0.40000  -0.20000        94.40     77.60     54.40     12.80     -3.89     28.20     58.02     59.35     85.44     33.46 
   914       51.75      1.90000  -0.40000   0.10000   1.00000  -0.40000  -0.10000        98.20     63.07     63.00     24.53      7.78     46.90     39.05     57.31     86.89     30.80 
   915       49.24      1.50000  -0.20000   0.10000   1.30000  -0.40000  -0.20000        88.40     48.00     64.80    -13.33     10.00     64.10     63.65     58.22     81.41     27.16 
   916       46.51      1.70000  -0.20000   0.20000   0.60000  -0.20000   0.10000        91.80     55.73     63.20     20.80    -16.11     34.30     39.44     54.11     92.74     29.07 
   917       46.68      1.70000  -0.20000   0.00000   0.80000  -0.50000  -0.10000        95.00     72.00     79.20     20.27    -17.22     20.30     41.59     55.31     86.67     13.70 
   918       45.65      1.70000  -0.30000   0.10000   0.50000  -0.40000  -0.20000        90.80     78.40     85.80     12.80    -30.00      6.20     41.51     54.33     88.66     28.02 
   919       54.26      1.70000  -0.30000   0.00000   0.90000  -0.30000   0.00000        90.80     59.47     79.60     14.67     23.33     41.60     50.32     62.00     88.66     32.16 
   920       51.56      1.70000  -0.30000   0.20000   0.70000  -0.30000  -0.10000        96.00     74.27     62.20     16.53     15.56     26.20     43.89     62.73     87.17     31.05 
   921       45.85      1.90000  -0.40000   0.20000   0.70000  -0.40000  -0.10000        83.00     62.53     71.80     15.20    -13.89     12.30     44.84     58.51     96.15     28.09 
   922       46.15      1.50000  -0.40000   0.00000   0.70000  -0.40000  -0.30000        82.40     88.80     53.00     -5.07     21.11     13.70     43.97     57.24     83.81     22.53 
   923       50.31      1.50000  -0.30000   0.40000   0.80000  -0.40000   0.00000        90.80     73.60     48.80     18.93    -10.56     60.90     50.16     62.22     82.54     25.74 
   924       54.90      1.70000  -0.20000   0.10000   0.50000  -0.40000  -0.30000        90.20     73.07     68.40     56.00     12.22     29.80     41.19     59.38     89.66     29.07 
   925       49.38      1.60000  -0.30000   0.10000   0.50000  -0.50000  -0.20000        78.20     59.73     67.80     48.27     10.56     21.50     43.02     56.33     84.31     24.07 
   926       46.00      2.00000  -0.20000   0.00000   0.50000  -0.30000  -0.40000        80.80     81.20     69.80     27.20    -12.78      6.80     39.44     57.38     91.70     18.46 
   927       40.65      1.60000  -0.10000  -0.10000   0.40000  -0.40000  -0.30000        86.00     68.93     58.80     24.53    -11.11     -6.30     43.17     57.42     82.59      2.47 
   928       42.98      2.00000  -0.20000   0.20000   0.60000  -0.30000  -0.20000        95.20     77.87     44.80     10.67    -10.56     17.20     40.32     54.33     89.75     10.19 
   929       49.70      1.80000  -0.10000   0.00000   0.30000  -0.40000  -0.20000        87.80     69.47     71.00     22.67     22.78     15.60     41.27     59.05     83.49     23.89 
   930       49.81      2.00000  -0.10000   0.00000   0.40000  -0.30000  -0.20000        98.40     80.40     75.40     19.73     14.44     18.70     30.56     58.04     84.13     18.33 
   931       50.13      1.80000  -0.20000  -0.10000   0.60000  -0.20000  -0.10000        93.20     78.40     54.60     31.20     -0.56     10.60     56.03     52.65     92.70     32.47 
   932       49.25      2.00000  -0.10000  -0.20000   0.50000  -0.20000  -0.10000        90.40     74.80     70.20     43.73    -17.22     20.20     41.67     59.20     87.57     21.91 
   933       51.12      2.20000   0.00000  -0.30000   0.80000  -0.10000  -0.10000       104.60     46.27     76.60     22.13      3.33     20.50     54.76     62.04     92.97     27.96 
   934       49.34      2.20000  -0.10000  -0.40000   0.70000  -0.10000   0.00000        84.20     65.33     54.60     15.73     21.11     35.60     48.17     62.51     80.41     25.74 
