constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       50.58      4.05543        61.40     93.87     79.80     -7.20     23.89     53.60     18.17     66.44     71.97     43.89 
    52       52.93      3.89591        65.40     78.27     77.20      5.33     45.56     51.30     33.57     73.89     70.84     27.90 
    53       40.62      4.25524        71.80     82.13     69.40     -3.73    -30.56     35.00      6.59     68.44     77.37     29.75 
    54       54.95      4.31926        65.20    101.20     73.20     64.00     22.78     47.50     -5.16     69.75     72.47     38.58 
    55       43.98      2.40252        54.60     78.93     87.00     -3.73     -6.11     50.40     25.87     64.18     69.80     18.83 
    56       52.28      4.01703        69.40     78.53     69.80     22.13     16.67     38.50     45.79     73.24     78.19     30.56 
    57       48.12      3.22893        81.80     73.87     67.00     19.20    -26.67     57.40     33.33     68.15     71.43     35.68 
    58       57.69      3.71375        70.60     78.13     75.40     70.67     -2.78     56.00     49.92     69.96     71.93     37.04 
    59       45.92      3.07448        49.80     63.33     68.80     26.40     -7.22     53.70     37.70     70.95     69.12     26.67 
    60       49.03      3.00802        66.00     67.87     93.20      0.00     11.67     52.90     40.00     64.55     72.56     21.54 
    61       49.30      2.81172        64.40     73.73     68.20     16.27     12.22     63.70     29.05     61.56     71.34     32.53 
    62       45.49      3.46669        59.00     75.87     62.20     -1.60      0.00     61.10     16.59     72.04     73.33     36.42 
    63       49.38      2.92821        79.60     50.13     72.80      2.67     -4.44     72.90     41.43     70.62     70.20     37.90 
    64       49.33      4.45741        76.00     87.33     68.80      6.93     24.44     46.90     20.40     70.47     75.74     16.30 
    65       52.55      3.16911        77.60     74.00     82.20     11.20     -3.89     62.00     54.68     65.49     75.83     26.36 
    66       52.17      4.26167        71.00     75.87     73.60      3.73     52.22     41.50     34.76     68.58     83.08     17.35 
    67       54.08      4.37509        73.60     83.20    104.60     25.87      6.67     47.80     38.65     64.18     72.02     24.20 
    68       47.74      4.08677        65.80     95.87     61.40     34.67    -32.22     52.70     24.29     67.56     78.10     29.26 
    69       46.26      4.22819        54.80     92.80     58.40     37.87    -15.00     50.30     18.97     61.56     72.83     30.06 
    70       49.97      4.42771        51.80     76.27     83.00     15.73     21.11     53.80     22.46     70.69     76.19     28.64 
    71       49.29      4.07298        81.60     79.07     65.20     30.67    -18.89     48.30     31.90     69.64     71.88     33.58 
    72       45.70      3.81751        69.00     74.93     67.20      0.80    -19.44     56.60     32.46     66.22     76.78     32.41 
    73       50.87      4.00091        73.40     73.07     79.60     13.33     13.89     52.10     24.76     71.71     77.19     29.69 
    74       52.41      3.85030        71.40     89.33     56.80      6.93     44.44     47.80     35.08     63.45     76.60     32.28 
    75       56.12      3.56712        56.40     76.00     90.40     14.40     38.33     60.60     39.29     67.96     82.49     35.37 
    76       51.43      3.44898        79.20     73.20     74.20     18.13    -16.67     75.00     29.52     67.56     74.06     40.06 
    77       49.11      4.28947        67.20     78.80     78.00     20.80    -17.22     56.30     35.48     69.93     78.14     23.64 
    78       51.03      3.58964        67.80     73.20     65.40     32.80      9.44     54.10     37.62     69.35     73.61     26.98 
    79       50.23      4.00989        77.00     92.40     65.80     19.20     -6.67     40.60     47.86     63.67     73.42     29.01 
    80       51.91      3.57579        59.40     69.20     75.40     12.27      1.11     66.10     60.40     65.96     74.97     34.32 
    81       52.32      3.77452        63.40     90.53     76.60    -19.20     59.44     51.30     25.48     72.33     72.11     31.23 
    82       48.94      3.45693        73.40     66.80     71.80      0.53     21.67     61.00     28.10     62.62     73.74     29.75 
    83       42.37      3.55266        38.20     86.67     68.00      7.20    -34.44     60.10     27.78     62.25     74.33     33.58 
    84       49.79      3.97619        64.40     90.67     76.80      7.20     -4.44     48.20     44.60     59.60     75.83     35.06 
    85       46.96      3.76170        63.80     85.33     56.80      4.80    -12.22     68.70     28.02     63.35     73.88     37.16 
    86       53.74      3.67090        72.40     82.93     57.60     33.87     28.89     40.50     39.68     77.20     74.97     29.38 
    87       46.70      3.67154        59.80     63.47     78.00     -0.80      5.00     60.80     29.37     65.64     72.43     33.33 
    88       51.15      3.60184        52.40     66.40     56.00     32.80     25.56     69.10     41.75     65.16     69.30     33.02 
    89       49.11      4.02612        70.00     66.67     84.00    -13.87     -2.22     57.00     36.43     69.38     74.20     49.51 
    90       50.39      3.73625        51.80     92.27     66.20     36.53    -28.89     77.10     37.30     69.85     74.92     26.79 
    91       54.38      3.69985        67.80     67.60     75.40     56.53      6.67     59.40     26.51     72.69     70.29     40.93 
    92       51.22      3.71050        61.20     72.27     77.20     20.53     18.89     48.10     26.51     69.49     76.55     41.42 
    93       50.28      3.71756        73.40     84.80     57.80      2.13      7.78     59.80     43.57     66.91     72.97     33.64 
    94       51.81      3.72508        71.00     77.20     95.20     29.07     -6.67     46.50     23.25     71.75     75.46     35.31 
    95       52.46      3.75642        81.60     71.47     71.00     15.73     15.56     72.60     16.67     72.18     74.42     33.40 
    96       51.57      3.73687        57.80     92.00     74.20     -6.40     25.00     64.30     34.68     68.36     68.98     36.79 
    97       48.98      3.70585        69.80     72.27     61.20      8.27      7.78     44.70     32.70     68.51     77.87     46.67 
    98       53.97      3.71742        75.20     84.27     61.80     21.07     25.00     60.40     30.95     66.36     72.20     42.47 
    99       41.22      3.67062        23.80     77.20     71.00     -1.07     -8.89     38.20     32.86     69.38     72.97     36.79 
   100       53.13      3.73689        74.20     73.87     54.80     27.20     18.89     64.60     33.17     71.45     79.59     33.52 
   101       49.12      3.71222        70.00     76.00     70.40      1.33      1.11     59.10     39.92     63.24     76.51     33.58 
   102       49.63      3.71375        87.20     84.13     89.00    -21.07    -18.33     61.50     40.24     61.82     71.07     40.74 
   103       50.70      3.82245        87.80     78.53     83.40      8.53      5.56     58.30     12.14     67.49     70.79     34.44 
   104       41.71      5.30406        84.20     66.00     86.40     12.53    -31.67     45.30      0.56     65.75     75.28     12.72 
   105       51.35      3.55393        62.20     72.00     69.00      4.80      0.56     67.50     51.90     77.05     72.29     36.17 
   106       41.06      1.73318        56.80     69.33     58.20    -14.40     57.22     43.00      4.29     57.93     70.25      8.02 
   107       56.04      4.25091        70.20     98.40     86.20     23.73     25.56     65.80     18.49     69.96     66.98     35.06 
   108       45.84      5.21840        65.00     68.13     75.80     29.60     12.78     28.10     15.32     65.31     83.67     14.69 
