constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       53.25      0.73777        94.80     73.20     83.80     13.33      3.33     17.60     47.46     63.82     95.92     39.20 
    52       49.01      0.56511        94.80     68.93     69.40     19.47    -12.78     15.00     54.13     54.62     88.71     37.84 
    53       46.62      0.49745        51.40     69.60     73.00     41.87    -11.67     14.70     38.97     50.98     91.34     46.05 
    54       49.09      0.58340        86.20     82.80     84.40      0.80     -5.00     22.90     41.51     58.91     80.00     38.33 
    55       53.29      0.82303        84.00     61.47     72.60     19.20     13.33     50.60     48.49     59.89     88.48     34.88 
    56       51.20      1.03602        93.60     69.47     63.20      0.53    -14.44     63.60     61.11     61.82     86.08     27.04 
    57       55.66      1.03130        96.20     74.67     67.20      1.07      7.78     58.00     62.70     62.00     93.33     33.70 
    58       48.44      1.23733        80.80     57.33     48.20      1.60     -5.00     75.50     55.24     63.42     90.07     17.22 
    59       52.70      1.20028        83.40     67.73     68.80     -2.93     14.44     47.20     60.48     62.47     97.55     27.90 
    60       55.92      1.13566        99.40     61.07     53.00     33.07     11.67     67.90     59.44     66.69     84.40     22.53 
    61       54.00      0.90661       100.00     72.67     57.00     -0.53      9.44     65.10     63.25     57.64     87.53     27.90 
    62       48.62      1.17553        91.80     55.60     57.40     -4.53     -7.78     69.90     50.16     62.62     87.85     23.15 
    63       49.63      0.94611        84.60     54.53     71.40      5.07     11.11     54.60     50.00     50.18     78.73     36.11 
    64       57.30      1.25946       100.80     54.27     57.80     16.27     28.89     81.40     50.71     58.62     97.78     26.42 
    65       49.21      1.42563        95.60     56.80     49.80     16.80    -25.56     72.10     52.94     59.89     98.41     15.31 
    66       54.49      1.20051        85.20     53.47     56.60     14.67     31.67     62.80     61.19     55.75     93.38     30.19 
    67       50.47      1.41135        94.80     51.07     50.40     24.00    -10.56     71.80     54.92     57.38     94.65     16.23 
    68       47.84      1.25711        80.60     46.80     51.00      8.53     -1.11     61.10     56.51     59.60     92.11     23.27 
    69       48.62      1.19812        94.20     58.53     41.60     13.33     -0.56     62.10     59.60     58.47     80.05     18.83 
    70       53.65      1.08866        86.00     63.60     52.80      5.33     41.11     63.20     59.37     58.22     82.40     24.51 
    71       52.12      1.14622       103.40     54.40     54.40     10.13     -0.00     69.80     56.51     57.93     91.38     23.21 
    72       53.71      0.94432        79.80     66.40     76.80     10.93     18.89     56.80     60.63     59.45     92.65     14.75 
    73       54.94      0.98005        99.40     58.00     66.60     42.67     -7.22     52.20     53.41     60.15     91.34     32.84 
    74       47.00      0.95767       104.40     46.67     65.00      9.07    -13.89     36.50     59.92     59.71     84.99     17.59 
    75       50.90      1.03329        91.40     64.13     54.80     18.40      7.22     40.40     57.30     54.18     91.97     29.20 
    76       44.96      0.97466        71.00     64.40     60.60      6.13    -33.33     70.60     48.97     56.40     79.68     25.12 
    77       51.23      1.08579        86.00     60.13     66.00     16.27     13.89     51.90     53.97     58.69     81.72     23.70 
    78       47.82      1.05544        92.80     60.67     47.80     -3.20      2.22     52.10     52.62     61.64     88.80     22.72 
    79       55.80      0.95966        84.20     71.20     80.00      8.00     22.22     56.80     71.11     56.95     82.45     25.06 
    80       45.21      0.97603        83.20     64.53     55.40    -17.87    -16.11     48.00     54.05     53.53     90.48     36.85 
    81       54.60      0.89185        97.20     69.33     69.00      5.33     28.33     46.20     53.25     58.91     89.07     29.38 
    82       58.65      0.90019        89.60     72.53     56.00     16.80     35.00     76.80     54.52     61.89     92.24     31.11 
    83       47.90      0.85176        72.40     65.87     67.20      4.00    -13.89     59.60     57.30     58.18     87.30     20.99 
    84       50.68      0.91099        95.80     61.07     55.00      0.53      1.67     65.00     58.57     64.91     82.72     21.54 
    85       54.86      0.97066       100.40     63.60     61.40     22.13     27.78     70.40     46.83     55.02     85.03     16.05 
    86       55.68      1.01649       107.40     61.47     74.20     26.67      2.78     66.30     54.13     59.31     86.67     17.84 
    87       51.75      0.99281        91.20     61.33     64.00      2.40     12.78     63.60     61.67     58.00     84.35     18.21 
    88       52.57      1.06838        87.20     62.27     70.80      6.93      2.78     69.40     50.87     61.42     94.06     19.94 
    89       53.30      1.00302        97.00     75.47     38.20     13.60     16.11     63.80     56.19     60.51     93.70     18.40 
    90       47.84      1.03189        83.20     53.73     47.20    -16.00     34.44     51.30     57.14     56.25     90.48     20.68 
    91       54.19      0.97811        89.80     55.73     64.20     16.80     20.56     52.30     65.71     56.98     96.10     23.70 
    92       55.44      1.00601        88.60     73.07     54.00     17.33     20.00     63.70     66.51     57.02     85.80     28.40 
    93       54.40      1.01730        93.20     74.40     71.60     -1.33     16.67     72.10     52.22     59.20     85.12     20.80 
    94       51.94      1.02884        96.80     62.27     71.60      2.40     -1.11     68.80     43.25     57.60     91.70     26.11 
    95       45.70      1.01835        86.40     62.27     63.80      2.40    -39.44     62.10     55.71     57.31     83.76     22.65 
    96       55.68      1.01068        91.80     77.87     69.20      3.47     16.67     67.10     53.65     57.67     88.48     30.86 
    97       56.89      1.00234        91.20     64.93     71.80     31.73     13.89     56.70     59.44     59.27     96.28     23.64 
    98       48.90      1.00816        88.60     53.60     66.40     -8.80     13.33     66.90     53.97     56.25     82.31     16.42 
    99       51.40      0.99210        74.40     60.40     85.00      8.27     -0.56     55.70     54.37     57.60     93.61     25.19 
