constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5], [3.0, 7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    34.11     1.100000  2.500000 
    33.22     2.291676  4.092086 
    38.20     1.541198  4.097344 
    32.15     2.849618  6.989589 
    41.71     1.757570  6.178813 
    30.78     3.000000  7.000000 
    43.53     1.769822  7.000000 
    42.86     1.250996  5.310499 
    42.17     1.964550  7.000000 
    33.25     3.000000  7.000000 
    26.29     3.000000  3.784889 
    30.84     3.000000  5.354974 
    32.28     3.000000  4.760900 
    36.96     1.848017  4.957141 
    30.31     2.574998  3.570745 
    54.03     0.561177  5.802718 
    52.89     0.832362  5.546099 
    45.95     0.219750  7.000000 
    46.12     0.862590  5.266174 
    43.90     1.657245  7.000000 
    49.44     0.594083  6.101033 
    37.07     0.099053  6.152251 
    20.60     0.000000  7.000000 
    47.66     1.340332  6.107621 
    48.50     1.004289  6.500170 
    52.77     0.584961  5.903088 
    50.04     1.307763  7.000000 
    39.88     2.028986  7.000000 
    40.88     2.269866  7.000000 
    32.08     3.000000  6.975503 
    34.02     3.000000  7.000000 
    39.50     2.349887  5.748765 
    39.95     1.922488  5.479810 
    40.25     1.987106  4.800807 
    32.57     2.912480  4.781205 
    41.99     2.015463  5.972607 
    34.88     2.368327  5.559404 
    34.35     2.011098  3.803432 
    41.69     1.617705  7.000000 
    54.29     0.639937  6.072173 
    44.26     1.463821  6.728317 
    44.95     1.310667  5.912013 
    52.65     0.556351  4.747343 
    11.74     0.000000  5.850830 
    48.43     0.193502  6.090280 
    50.78     0.812901  5.870442 
    47.33     0.330879  7.000000 
    54.15     0.315837  5.779283 
    17.66     0.000000  6.848845 
    53.75     0.710749  4.974671 
    33.75     0.046420  4.738434 
    50.16     0.691567  5.502075 
    49.78     0.694243  5.343322 
    53.54     0.699977  6.248482 
    47.71     1.202645  4.895372 
    45.53     0.229186  5.481989 
    51.32     0.706524  7.000000 
    52.72     0.219851  7.000000 
    20.03     0.000000  7.000000 
    49.04     0.322713  7.000000 
    16.75     0.000000  7.000000 
    53.17     0.699384  6.840769 
    49.14     0.452965  7.000000 
    45.46     0.317748  6.888903 
    49.26     0.963257  7.000000 
    49.62     0.269135  6.222258 
    53.55     0.774649  6.893774 
    51.04     0.265631  5.981681 
    34.60     0.077893  5.675005 
    43.14     0.153802  6.765842 
    50.23     0.224878  5.268714 
    49.53     0.182690  5.334063 
    52.67     0.346757  5.618000 
    53.39     0.370122  5.218944 
    52.65     0.324119  5.957123 
    53.23     0.529044  6.008415 
    50.89     0.345896  5.517003 
    42.79     0.130771  5.717780 
    46.76     0.205126  5.129918 
    61.31     0.485954  5.700633 
    51.80     0.618813  5.163305 
