constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    59.69     4.755821 
    59.22     6.452333 
    59.99     3.529224 
    59.83     4.127052 
    57.87     2.690445 
    59.83     4.112056 
    59.89     3.975560 
    60.00     3.748177 
    59.87     4.030124 
    56.56     3.169463 
    59.98     3.783486 
    56.07     3.308490 
    59.97     3.618412 
    57.49     3.195699 
    59.66     5.163353 
    59.84     4.103548 
    59.77     4.326230 
    59.81     4.144695 
    59.75     4.375765 
    56.54     3.184189 
    59.66     5.150742 
    59.85     4.087284 
    60.00     3.736338 
    59.84     4.109257 
    59.85     4.088897 
    59.83     3.671469 
    59.77     4.265704 
    59.83     3.677368 
    59.99     3.537650 
    56.00     3.242046 
    59.81     4.214144 
    60.06     3.393885 
    56.47     2.786452 
    56.50     3.064284 
    59.98     3.804010 
    59.83     3.678793 
    57.46     3.229877 
    57.21     3.105550 
    57.04     3.041245 
    59.88     3.641930 
    57.20     3.118515 
    57.30     3.266773 
    60.00     3.525887 
    59.81     3.687939 
    60.02     3.711499 
    59.83     3.685621 
    60.09     3.329002 
    57.37     3.275490 
    60.08     3.353767 
    60.05     3.413391 
    60.07     3.376281 
    60.09     3.331613 
