constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 100
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       52.51      0.77000        88.52     71.77     74.62     14.77      3.94     40.36     55.57     57.48     86.70     31.36 
     2       51.02      0.82120        82.34     69.80     70.20     14.53     -3.17     40.04     55.63     59.64     88.84     32.33 
     3       53.50      0.72235        90.14     72.88     76.06     15.09      5.89     41.72     55.41     56.61     87.83     33.38 
     4       47.97      0.37174        65.50     84.27     68.32     27.89      6.61      1.88     43.97     36.72     89.16     55.33 
     5       50.20      0.54953        73.38     76.40     74.66     21.04      9.61     10.93     50.68     51.27     91.58     42.44 
     6       52.92      0.66695        88.96     70.19     76.56     25.57      7.83     31.47     56.51     54.38     85.89     31.86 
     7       52.67      0.98261        84.38     62.80     70.46     19.23      2.89     58.71     54.43     60.92     88.18     24.73 
     8       51.30      0.70824        86.60     71.51     74.06     18.08     -1.11     30.62     55.97     55.43     88.15     33.71 
     9       52.49      0.76772        90.22     70.72     71.90     16.00      7.56     40.81     52.54     58.62     87.97     28.54 
    10       45.87      0.27447        63.08     93.28     64.40     33.12     -0.17     -2.42     34.37     27.04     87.37     58.67 
    11       43.69      0.22730        50.68     93.04     55.34     32.45     12.00      2.24     30.40     22.15     87.51     51.14 
    12       46.17      0.23874        64.84     87.45     58.14     39.17     14.28      1.66     30.06     22.01     86.33     57.79 
    13       50.75      0.66522        82.28     72.56     70.04     19.15      0.72     33.34     51.29     56.92     86.99     34.20 
    14       45.93      0.27757        48.56     89.11     68.44     30.56     10.83      2.65     33.25     28.69     87.22     60.04 
    15       45.77      0.26684        50.64     87.77     64.72     42.91      2.22      0.92     32.71     27.20     90.78     57.85 
    16       53.11      0.75460        84.40     70.73     68.48     27.41      2.11     43.78     53.63     58.27     90.65     31.62 
