constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0], [200.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       48.23     116.90667        60.80     74.40     65.20      2.13    -12.78     56.70     62.62     58.29     87.12     27.78 
    52       58.94     99.34300        94.60     71.73     94.20     20.80     -0.00     62.40     56.43     68.69     86.49     34.01 
    53       51.78     120.81882        92.40     74.53     72.40     19.73    -11.67     30.10     56.19     65.75     91.11     27.22 
    54       53.19     109.51734        96.60     65.87     71.80     10.13      7.78     37.50     59.52     66.95     92.93     22.84 
    55       53.99     87.98452        75.20     76.80     73.60      4.27     17.22     55.50     46.11     77.09     84.31     29.75 
    56       54.69     105.71504        94.00     71.73     69.40     34.67    -28.89     53.10     65.24     67.64     84.67     35.31 
    57       51.42     108.52184        80.80     57.07     86.60     -8.27     -8.33     67.10     55.40     71.27     82.86     29.69 
    58       56.04     120.86767        91.80     59.20     83.20     20.53     -4.44     63.20     57.70     65.16     88.62     35.43 
    59       52.77     129.82643        95.60     68.93     46.80     19.20      4.44     54.40     63.81     62.18     82.45     29.88 
    60       56.83     113.53218        97.60     68.27     85.60     34.67    -25.56     59.00     61.98     63.78     88.34     34.63 
    61       53.49     132.18429        92.20     74.53     74.60     15.73     -7.78     53.60     55.63     60.36     88.75     27.28 
    62       59.88     97.61884        91.20     62.00     72.60     41.33     32.22     54.40     61.83     64.55     87.98     30.68 
    63       53.37     92.78958       106.40     72.53     63.40     14.13    -15.00     35.00     64.29     70.80     93.06     29.07 
    64       50.40     103.35445        80.40     71.20     56.00      1.60      6.11     53.60     56.35     64.91     85.85     28.02 
    65       53.45     99.28745       103.00     81.73     72.80    -16.00     -3.89     50.30     57.62     71.02     93.88     24.07 
    66       53.92     101.77088        79.80     67.47     75.60     14.40    -12.22     70.30     59.44     62.58     92.97     28.83 
    67       56.13     113.15887        97.80     74.00     66.00     27.47     15.56     47.50     37.14     74.62     82.40     38.83 
    68       55.26     101.72776        88.00     82.27     77.00     14.93    -13.89     58.90     59.05     64.98     90.93     30.43 
    69       57.23     100.11638        96.20     69.20     74.00     11.73     26.67     56.50     47.78     69.13     89.39     31.67 
    70       54.96     107.15370       100.60     60.93     65.20     12.00     28.89     48.50     50.16     68.36     84.67     30.25 
    71       52.64     84.01878        98.00     62.27     62.40      2.93     -3.89     52.70     42.54     71.78    101.54     36.17 
    72       54.95     109.90204        79.40     74.00     60.20     29.33     16.67     38.60     54.13     62.95     92.65     41.60 
    73       50.94     109.01497        98.60     73.60     61.00     -6.93      2.22     47.30     55.40     57.35     86.98     33.89 
    74       52.16     98.88592        69.20     72.00     71.40      6.67     -0.56     48.30     61.51     73.02     90.79     29.26 
    75       50.84     100.25252        92.40     54.27     60.40      8.00      0.56     47.30     55.40     71.13     85.94     32.96 
    76       54.32     110.97527       110.20     64.53     73.60     33.60     -6.67     45.00     48.73     65.38     87.76     21.05 
    77       52.66     118.83727        91.80     65.47     83.20      4.27     12.22     39.70     52.38     64.07     82.99     30.49 
    78       49.42     120.49053        97.20     63.47     67.80      2.40     11.67     31.70     52.54     58.51     83.45     25.49 
    79       50.80     119.08329        85.20     60.40     91.20     -6.13    -23.89     60.20     46.90     66.47     83.58     44.01 
    80       54.15     99.79367        88.00     64.53     86.20     -2.93     -8.33     57.60     63.02     68.47     88.57     36.36 
    81       54.43     107.86546        97.20     72.27     74.00     28.27    -46.67     54.10     65.56     64.62     92.52     42.47 
    82       57.37     108.80774        80.40     67.87     79.80     30.40     16.67     44.50     55.63     68.73     95.37     34.32 
    83       51.83     109.23730        92.00     77.33     60.00      8.80     -3.33     46.20     49.29     63.09     91.11     33.83 
