constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    83.13     0.500000  0.557854        99.60     95.08     97.40     63.76     10.57     99.40     91.39     97.64     94.36     82.09 
    82.99     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.13     82.10 
    77.57     1.388090  0.519179        99.60     95.08     97.40     63.76     10.57     99.40     56.34     96.11     75.51     81.96 
    83.28     0.500000  0.615240        99.60     95.08     97.40     63.76     10.57     99.40     92.29     97.71     94.89     82.09 
    83.06     0.500000  0.516444        99.60     95.08     97.40     63.76     10.57     99.40     91.02     97.56     94.15     82.10 
    83.07     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.93     82.09 
    79.99     1.570463  0.511446        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.75    100.00     81.96 
    81.71     0.746421  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     79.62     97.13     92.44     82.12 
    83.07     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.93     82.08 
    83.17     0.500000  0.539925        99.60     95.08     97.40     63.76     10.57     99.40     91.25     97.64     94.90     82.10 
    81.03     1.374186  0.582229        99.60     95.08     97.40     63.76     10.57     99.40     66.10     96.40     99.99     81.97 
    83.27     0.500000  0.592911        99.60     95.08     97.40     63.76     10.57     99.40     92.15     97.71     94.89     82.12 
    83.08     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.93     82.12 
    82.99     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.13     82.10 
    83.06     0.573807  0.547166        99.60     95.08     97.40     63.76     10.57     99.40     90.24     97.49     94.93     82.10 
    82.84     0.775792  0.631464        99.60     95.08     97.40     63.76     10.57     99.40     89.22     97.35     93.90     82.08 
    83.05     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.56     94.93     81.90 
    79.98     1.714348  0.516477        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.60     99.98     82.09 
    77.51     1.844339  0.508470        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.31     75.50     82.10 
    83.24     0.500000  0.564116        99.60     95.08     97.40     63.76     10.57     99.40     91.96     97.64     94.89     82.10 
    83.28     0.500000  0.610135        99.60     95.08     97.40     63.76     10.57     99.40     92.27     97.71     94.90     82.09 
    83.24     0.500000  0.613060        99.60     95.08     97.40     63.76     10.57     99.40     92.28     97.71     94.50     82.09 
    82.60     0.500000  0.677900        99.60     95.08     97.40     63.76     10.57     99.40     93.11     97.78     94.63     74.63 
    83.32     0.500000  0.657818        99.60     95.08     97.40     63.76     10.57     99.40     93.02     97.78     94.55     82.09 
    83.15     0.626084  0.620955        99.60     95.08     97.40     63.76     10.57     99.40     91.14     97.56     94.89     82.09 
