constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.000000  ]  [  0.000000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  6  7  8  9  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 2749.0
BanditTestBatch: random reward: 1865.5

    30.10     0.129972 
    26.97     0.211021 
    29.10     0.173025 
    25.45     0.264201 
    26.30     0.224385 
    30.58     0.132992 
    28.20     0.172046 
    31.65     0.088171 
    28.71     0.161748 
    30.54     0.161205 
    34.28     0.051991 
    34.25     0.051161 
    34.43     0.044093 
    14.29     0.000000 
    31.63     0.059686 
    38.28     0.007026 
    33.77     0.019738 
    33.44     0.079937 
    30.46     0.103787 
    32.56     0.091779 
    29.80     0.123023 
    29.88     0.133534 
    32.41     0.077802 
    38.88     0.013995 
    32.89     0.052998 
    36.58     0.014951 
    35.10     0.000706 
    33.16     0.057214 
    33.96     0.026326 
    33.12     0.038928 
    32.06     0.058868 
    34.66     0.020971 
    14.29     0.000000 
    14.29     0.000000 
    37.66     0.014636 
    36.02     0.029304 
    32.92     0.041044 
    36.34     0.010610 
    34.37     0.031808 
    35.97     0.012933 
    36.51     0.017664 
    14.29     0.000000 
    38.72     0.004771 
    34.47     0.002129 
    38.91     0.001954 
    41.23     0.002386 
    39.86     0.002355 
    34.58     0.003718 
    40.49     0.002932 
    36.01     0.002969 
    14.29     0.000000 
    36.85     0.002817 
    38.48     0.002282 
    36.67     0.000960 
    36.45     0.002386 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    32.24     0.061969 
    28.58     0.171124 
    21.92     0.342993 
    20.44     0.400000 
    23.27     0.307465 
    20.35     0.400000 
    19.95     0.400000 
    20.14     0.400000 
    19.89     0.400000 
    24.02     0.293593 
    21.72     0.356950 
    24.16     0.292707 
    21.27     0.362858 
    20.01     0.400000 
    20.07     0.400000 
    26.39     0.225540 
    25.85     0.238956 
    23.96     0.282151 
    28.12     0.185653 
    28.97     0.145632 
    30.15     0.131214 
    28.97     0.159343 
    28.18     0.203419 
    22.63     0.324940 
    19.90     0.400000 
    19.59     0.400000 
    21.49     0.364780 
    20.09     0.400000 
    19.61     0.400000 
    20.10     0.400000 
    22.03     0.348166 
    20.60     0.368581 
    20.61     0.400000 
    23.92     0.300013 
    26.17     0.216755 
    23.50     0.308782 
    28.84     0.176401 
    32.58     0.077420 
    30.99     0.113386 
    29.36     0.145812 
    25.95     0.222202 
    33.12     0.070475 
    35.66     0.012668 
    34.22     0.033642 
    14.29     0.000000 
    34.94     0.023940 
    35.92     0.017664 
    14.29     0.000000 
    14.29     0.000000 
    31.70     0.082676 
    14.29     0.000000 
    34.61     0.028914 
    30.90     0.096435 
    32.35     0.092033 
    34.09     0.050695 
    30.97     0.112869 
    29.77     0.140457 
    32.23     0.087201 
    34.37     0.039122 
    33.39     0.070668 
