constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 1170.0
BanditTestBatch: random reward: 939.5

    24.54     1.000000 
    15.42     1.798815 
    21.33     1.203300 
    14.01     1.999720 
    99.82     0.000000 
    19.74     1.331813 
    41.66     0.411758 
    32.37     0.657514 
    99.82     0.000000 
    99.82     0.000000 
    23.77     1.046600 
    28.02     0.826696 
    21.88     1.167789 
    13.26     2.128008 
    21.31     1.208890 
    39.59     0.456864 
    25.22     0.961895 
    21.13     1.218297 
    27.12     0.867214 
    26.30     0.905004 
    17.47     1.552858 
    11.47     2.499945 
    12.20     2.339421 
    14.83     1.876074 
    10.42     2.782384 
     9.74     3.000000 
    11.02     2.626505 
    12.52     2.270343 
    17.16     1.588539 
    19.13     1.387692 
    49.37     0.275909 
    49.06     0.279876 
    99.82     0.000000 
    26.52     0.895123 
    99.82     0.000000 
    38.36     0.485656 
    31.30     0.695226 
    58.65     0.157740 
    54.57     0.204300 
    31.04     0.704124 
    61.07     0.135143 
    26.77     0.881057 
    99.82     0.000000 
    99.82     0.000000 
    47.51     0.304809 
    78.52     0.037756 
    99.82     0.000000 
    48.94     0.281604 
    47.77     0.299858 
    30.24     0.734033 
    42.26     0.399099 
    99.82     0.000000 
    99.82     0.000000 
    51.81     0.240427 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    46.29     0.324981 
    99.82     0.000000 
    56.46     0.182307 
    99.82     0.000000 
    66.42     0.093495 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    41.26     0.419868 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    53.37     0.220060 
    79.08     0.035950 
    99.82     0.000000 
    45.70     0.334930 
    56.72     0.179171 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    59.39     0.150908 
    99.82     0.000000 
    65.61     0.099074 
    61.53     0.130686 
    57.79     0.167509 
    96.81     0.006125 
    99.82     0.000000 
    99.82     0.000000 
    96.47     0.006539 
    99.82     0.000000 
    99.82     0.000000 
    86.02     0.019544 
    99.82     0.000000 
    88.89     0.015250 
    83.08     0.025270 
    86.12     0.019394 
    99.82     0.000000 
    84.30     0.022695 
    87.71     0.016908 
    99.82     0.000000 
    99.82     0.000000 
    18.48     1.446462 
    16.34     1.677769 
    16.83     1.623096 
    28.84     0.788102 
    16.89     1.612048 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    33.89     0.609119 
    99.82     0.000000 
    37.85     0.499480 
    46.12     0.328278 
    99.82     0.000000 
    22.80     1.106178 
    35.82     0.551409 
    48.30     0.291200 
    99.82     0.000000 
    20.41     1.275938 
    99.82     0.000000 
    23.01     1.090387 
    22.99     1.094087 
    26.77     0.880708 
    54.66     0.203006 
    75.73     0.047498 
    25.17     0.964919 
    36.57     0.531501 
    99.82     0.000000 
    23.36     1.070294 
    48.07     0.295715 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    28.82     0.790071 
    17.48     1.550953 
    13.85     2.029976 
    14.77     1.889167 
    12.36     2.300062 
    12.79     2.224870 
    10.03     2.894216 
    12.78     2.232297 
    11.61     2.478589 
     9.74     3.000000 
     9.74     3.000000 
     9.74     3.000000 
     9.74     3.000000 
     9.74     3.000000 
