constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    19.27     1.692055 
    26.08     1.495222 
    19.67     2.065323 
    29.92     1.087972 
    23.91     1.418263 
    32.52     0.849679 
    48.96     0.420031 
    37.08     0.776001 
    32.39     1.034340 
    50.42     0.395224 
    29.40     1.059301 
    36.01     0.063515 
    37.32     0.675519 
    45.00     0.592609 
    31.82     1.100271 
    20.87     1.559319 
    26.66     1.427190 
    26.97     1.167949 
    37.62     0.838311 
    28.77     1.286145 
    47.15     0.542184 
    47.89     0.367070 
    38.02     0.627882 
    50.12     0.196640 
    46.53     0.308262 
    52.48     0.360063 
    56.93     0.330431 
    46.63     0.473715 
    51.00     0.475428 
    50.27     0.474345 
    45.26     0.575613 
    52.75     0.298294 
    47.51     0.263239 
    50.09     0.258079 
    52.75     0.287048 
    49.90     0.162577 
    52.08     0.263057 
    47.64     0.194644 
    51.01     0.314990 
    50.82     0.480278 
    47.04     0.411361 
    46.86     0.302946 
    50.13     0.482821 
    45.24     0.504571 
    47.96     0.468532 
    43.14     0.488303 
    44.82     0.489352 
    44.21     0.493605 
    45.90     0.460059 
    43.02     0.489041 
    44.98     0.504438 
    46.13     0.499729 
    45.31     0.480278 
    17.01     0.000000 
    16.39     0.000000 
    24.64     0.000000 
    13.21     0.000000 
    33.22     0.837135 
    26.62     1.201856 
    25.51     0.000000 
    15.40     0.000000 
    35.07     0.787005 
    20.03     0.000000 
    21.68     0.000000 
    53.69     0.202633 
    25.50     1.438458 
    49.65     0.189126 
    28.50     1.011241 
    50.12     0.299494 
    32.90     0.031476 
    52.56     0.260996 
    19.11     0.000000 
    18.41     0.000000 
    19.26     0.000000 
    41.45     0.612863 
    32.61     0.929592 
    41.84     0.484829 
    55.61     0.241658 
    48.04     0.085740 
    33.98     0.853125 
    49.89     0.221954 
    18.26     0.000000 
    14.83     0.000000 
    49.59     0.378188 
    38.91     0.774261 
    31.13     0.880593 
    26.89     0.033879 
    22.22     1.652718 
    22.19     2.011186 
    16.87     2.803728 
    11.70     2.893947 
    17.20     2.938972 
    20.05     1.949366 
    16.36     2.563447 
    15.13     2.549718 
    13.51     2.852799 
    13.35     3.000000 
     9.56     3.000000 
    12.65     3.000000 
    13.26     3.000000 
    19.36     2.340879 
    19.44     2.031112 
    20.31     2.188734 
    26.37     1.813809 
    19.08     2.173656 
    20.06     1.885233 
    15.40     2.212128 
    28.26     1.305590 
    43.47     0.631449 
    44.17     0.576168 
    44.31     0.160671 
    54.88     0.231291 
    39.57     0.761955 
    50.49     0.392282 
    45.74     0.270994 
    36.78     0.884712 
    31.68     0.051343 
    52.89     0.418009 
    44.80     0.506902 
    18.39     0.000000 
    45.81     0.511351 
    44.48     0.687283 
    41.40     0.485959 
    50.46     0.165174 
    44.36     0.132314 
    52.56     0.312570 
    51.09     0.289133 
    50.33     0.413748 
    43.63     0.088302 
    51.93     0.223610 
    44.84     0.503418 
    19.71     0.002354 
    12.70     0.000000 
    55.53     0.251406 
    55.35     0.161677 
    52.65     0.329171 
    51.27     0.159741 
    49.64     0.338155 
    52.84     0.339084 
    50.08     0.277070 
    42.55     0.150605 
    46.01     0.183097 
    52.07     0.248824 
    46.59     0.244767 
    51.53     0.244507 
    52.72     0.238000 
    52.43     0.216720 
    48.07     0.187907 
    48.51     0.238719 
    52.56     0.225044 
    54.62     0.196560 
    47.11     0.182073 
    47.93     0.218252 
    44.35     0.196560 
    27.41     0.000000 
    17.56     0.000000 
    16.68     0.000000 
    16.94     0.000000 
    42.22     0.671748 
    28.49     1.459735 
    27.91     1.021737 
