constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       47.33      5.13440        69.80     61.20     68.00     15.47    -23.89     37.20     55.00     69.31     76.05     45.19 
    52       53.51      5.23201        95.40     69.47     68.60     -4.27     16.11     40.30     46.03     77.49     89.71     36.30 
    53       52.26      5.63573        65.80     63.20     74.00     22.40    -13.33     53.80     57.94     78.25     83.49     37.04 
    54       52.25      5.93590        89.40     70.00     67.00      6.93     23.33     42.90     48.73     72.07     78.55     23.58 
    55       56.40      5.57427        91.40     81.60     66.00     10.93     16.11     62.10     44.68     78.40     75.83     36.91 
    56       51.14      6.20613        59.60     70.80     76.60     15.20     19.44     32.10     56.27     56.76     84.58     40.00 
    57       55.89      5.70334        98.40     75.07     82.00     12.80     -6.11     49.70     53.73     81.56     86.58     25.19 
    58       59.17      4.88259        81.40     69.73     99.00     29.60      2.22     49.60     54.68     70.36     85.76     49.38 
    59       56.86      5.98410        79.40     76.93     80.40     27.47     11.67     35.60     59.44     68.36     97.82     31.54 
    60       59.54      3.97402        92.20     59.73     65.60     13.87     15.00     75.70     68.57     72.87     97.51     34.38 
    61       50.00      3.03814        77.20     50.00     69.60     11.47      2.22     75.60     26.27     77.45     87.21     23.02 
    62       52.56      3.97284        74.60     63.07     85.40    -10.67    -20.00     73.90     54.68     71.05     83.40     50.19 
    63       56.96      3.30130        76.40     87.60     80.80     -5.07     25.00     81.60     43.49     69.82     83.27     26.73 
    64       57.09      4.12421        81.80     51.87     77.60     18.40    -17.78     63.30     72.54     73.60     97.14     52.47 
    65       55.30      3.41829        62.20     74.67     70.20      1.07      7.78     75.10     69.44     63.78     90.52     38.27 
    66       63.31      4.32629        87.00     77.87     94.40     41.60     -1.11     65.20     60.87     72.40     88.39     46.48 
    67       52.26      5.06951        92.80     59.73     81.40     -0.80    -16.67     41.90     65.32     73.64     87.89     37.41 
    68       58.74      3.79125       100.60     78.40     82.00      2.93     -2.78     62.00     61.59     74.18     88.39     40.06 
    69       58.11      3.24301        98.00     74.67     72.00     22.40      7.78     67.50     48.81     75.53     92.79     21.67 
    70       62.36      3.04602        78.40     84.40     70.00     37.87     49.44     70.30     32.06     81.42     90.16     29.51 
    71       51.46      2.87862        67.80     80.93     69.40     10.40    -19.44     71.00     33.49     76.76     93.06     31.17 
    72       50.94      3.18563        76.80     69.47     68.00     18.93    -27.78     78.20     37.70     69.71     80.82     37.59 
    73       55.62      3.02068        76.60     65.07     79.40     17.87     12.78     62.00     52.30     73.42     90.43     26.30 
    74       50.40      3.21815        63.00     59.20     78.60     29.87    -13.33     54.30     34.52     71.38     87.76     38.70 
    75       51.87      3.38342        52.20     67.47     74.80     -3.47      1.11     75.80     40.71     72.95     90.43     46.67 
