constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 50
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       53.22      0.77000        91.72     67.04     74.40     28.43     -5.44     42.12     53.35     59.10     88.34     33.14 
     2       45.97      0.28588        36.16     92.43     75.36     28.11     17.56      4.58     32.68     30.12     84.32     58.36 
     3       50.25      0.99844        80.04     60.72     65.36     12.85      9.11     52.20     52.33     57.77     89.65     22.48 
     4       48.33      0.55170        75.12     76.40     85.68     16.16    -11.00     13.68     54.14     49.58     83.57     39.96 
     5       19.80      0.03597        50.92     33.44     17.64     13.23     -8.00     -2.16     -3.24      8.98     89.93     -2.78 
     6       48.98      0.38520        76.68     86.83     64.44     21.76     21.22     -1.76     43.41     38.49     85.21     53.49 
     7       43.63      0.24463        33.12     89.71     59.92     39.36     10.22      0.22     37.21     24.09     87.08     55.37 
     8       43.45      0.18128        51.76     92.11     49.00     43.68     21.67      0.92     15.51     22.58     88.60     48.67 
     9       50.99      0.58750        84.88     76.85     75.92      9.33      4.78     28.00     49.79     53.00     88.43     38.91 
    10       51.92      0.57239        75.52     78.40     79.04     17.71     17.67     16.80     48.21     52.34     90.35     43.14 
    11       44.35      0.23568        59.72     88.05     52.12     37.97      6.78      3.08     28.70     24.95     88.27     53.85 
    12       47.19      0.38872        63.32     81.23     67.84     35.73    -11.56      6.14     41.86     41.75     90.45     55.17 
    13       48.68      0.51571        67.52     77.23     77.88     19.15      2.00      9.50     49.52     48.44     90.90     44.67 
    14       48.70      0.34769        63.20     93.89     68.96     28.00     13.56     -2.54     40.70     31.64     89.53     60.09 
    15       51.28      0.55057        76.60     72.40     85.76     24.00      7.67     15.80     51.32     49.05     90.06     40.17 
    16       49.74      0.36901        71.52     87.09     69.28     22.99     20.11      7.90     39.97     35.11     89.80     53.59 
    17       49.65      0.92135        82.28     65.68     61.48      8.96     -3.67     53.28     56.89     56.77     89.27     25.59 
    18       51.19      1.26665        86.44     61.01     58.64      9.92      8.00     66.06     55.49     58.52     88.00     19.86 
    19       45.16      1.78275        84.56     45.15     39.08      9.07     -3.00     72.42     41.00     59.05     90.11     14.21 
    20       45.25      1.81900        71.80     50.43     47.36      6.99     -7.44     69.72     47.59     59.59     91.86     14.64 
    21       44.06      1.73074        77.72     48.83     46.92      2.29    -13.78     71.66     45.35     59.16     89.16     13.32 
    22       45.28      1.83924        75.64     46.29     43.84      8.16      9.11     69.26     42.00     58.76     85.97     13.79 
    23       44.69      1.87443        78.88     42.43     43.40      5.65      1.33     68.48     43.35     61.32     88.46     13.57 
    24       41.81      2.13021        77.28     35.12     43.28      5.07      0.78     68.56     40.02     57.90     80.12      9.95 
    25       44.84      1.75265        84.16     44.72     42.88      6.99    -14.11     70.46     42.98     62.11     92.20     15.98 
    26       39.45      2.02009        69.92     39.71     40.88     -1.65    -14.78     66.62     40.22     61.74     81.18     10.63 
    27       39.63      2.26563        72.08     41.60     33.44      0.48     -3.22     67.96     32.75     60.51     79.48     11.21 
    28       41.07      2.14965        73.36     36.32     37.92      7.31     -7.11     68.72     39.33     62.79     79.14     12.90 
    29       40.53      2.22659        70.08     44.32     33.48     -4.53     -3.67     70.20     44.24     60.38     80.02     10.83 
    30       39.73      2.18765        66.60     46.56     32.48      8.85     -6.44     65.06     38.65     59.51     77.04      8.98 
    31       45.22      1.77364        83.84     42.85     45.52      7.68     -6.67     69.46     43.30     61.24     90.52     14.48 
    32       44.98      2.01649        80.04     40.96     42.36     17.97      6.44     69.14     38.44     61.68     80.93     11.84 
    33       44.50      1.94814        73.36     47.44     36.76      2.61     10.67     70.40     46.52     59.84     85.61     11.81 
    34       45.17      1.81907        75.12     46.03     44.92      5.55     -8.78     76.34     47.22     59.42     89.10     16.77 
    35       44.66      1.91743        75.80     46.69     43.60     11.09      4.67     67.10     43.49     61.05     82.86     10.28 
    36       47.57      1.67393        80.28     51.44     44.64     12.69     -1.56     66.66     54.27     60.68     91.27     15.36 
    37       43.36      1.89091        81.12     49.41     42.84     -0.48    -15.22     66.78     49.97     61.46     87.37     10.38 
    38       44.70      1.92935        73.80     43.60     32.08     14.51     12.67     69.48     45.59     58.44     85.07     11.80 
