constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 1170.0
BanditTestBatch: random reward: 939.5

    44.93     1.000000 
    49.28     0.805015 
    32.79     1.789317 
    28.93     2.150472 
    32.21     1.840222 
    38.61     1.360580 
    53.69     0.632869 
    60.49     0.419700 
    43.15     1.092458 
    99.82     0.000000 
    99.82     0.000000 
    50.42     0.755662 
    48.49     0.834771 
    99.82     0.000000 
    64.86     0.311653 
    57.83     0.496191 
    79.84     0.090885 
    99.82     0.000000 
    99.82     0.000000 
    47.00     0.901885 
    52.71     0.666012 
    66.88     0.271279 
    50.77     0.742623 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    63.52     0.343831 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    56.22     0.544242 
    55.35     0.573593 
    99.82     0.000000 
    99.82     0.000000 
    82.63     0.069710 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    52.49     0.675582 
    53.51     0.638512 
    99.82     0.000000 
    80.62     0.084336 
    99.82     0.000000 
    78.43     0.104526 
    57.95     0.491445 
    99.82     0.000000 
    61.77     0.385890 
    99.82     0.000000 
    99.82     0.000000 
    58.01     0.489685 
    99.82     0.000000 
    99.82     0.000000 
    63.46     0.344998 
    83.87     0.062060 
    65.43     0.298986 
    99.82     0.000000 
    99.82     0.000000 
    55.32     0.575020 
    65.21     0.304505 
    99.82     0.000000 
    89.19     0.039434 
    65.30     0.302056 
    64.78     0.313324 
    96.08     0.018484 
    99.82     0.000000 
    73.38     0.164585 
    90.93     0.033727 
    99.83     0.000000 
    63.63     0.340392 
    78.54     0.103389 
    63.08     0.351835 
    67.98     0.249507 
    74.80     0.146024 
    99.82     0.000000 
    82.05     0.073618 
    99.82     0.000000 
    63.13     0.350975 
    72.75     0.172420 
    99.82     0.000000 
    77.65     0.112284 
    76.50     0.125346 
    85.10     0.056011 
    99.82     0.000000 
    90.66     0.034612 
    72.67     0.173452 
    74.22     0.153644 
    74.63     0.148284 
    99.82     0.000000 
    96.77     0.016351 
    94.16     0.023791 
    97.54     0.013810 
    95.54     0.020038 
    99.82     0.000000 
    99.37     0.005975 
    91.97     0.030451 
    96.78     0.016315 
    93.26     0.026439 
    98.90     0.008542 
    98.90     0.008542 
    99.82     0.000000 
    60.74     0.411648 
    53.92     0.624798 
    99.82     0.000000 
    46.31     0.934009 
    69.10     0.230134 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    37.37     1.447021 
    51.73     0.704786 
    99.82     0.000000 
    42.13     1.150465 
    61.34     0.395534 
    99.82     0.000000 
    99.83     0.000000 
    50.33     0.758314 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    41.80     1.168188 
    99.82     0.000000 
    98.34     0.010849 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    51.11     0.728720 
    99.82     0.000000 
    56.15     0.547486 
    49.03     0.813165 
    99.82     0.000000 
    77.03     0.119178 
    63.02     0.353951 
    99.83     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    62.37     0.369787 
    99.83     0.000000 
    52.18     0.689760 
    68.94     0.233114 
    69.59     0.221888 
    99.82     0.000000 
    54.60     0.601861 
    96.23     0.018048 
    99.83     0.000000 
