constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.000000  ]  [  0.000000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  6  7  8  9  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 2749.0
BanditTestBatch: random reward: 1865.5

    29.86     0.100000 
    28.48     0.030926 
    23.89     0.225852 
    24.42     0.271306 
    28.94     0.118617 
    23.41     0.253994 
    30.86     0.149302 
    14.01     0.000000 
    28.05     0.158358 
    21.46     0.318850 
    25.92     0.216020 
    26.24     0.202305 
    16.14     0.376340 
    18.97     0.331961 
    22.29     0.283262 
    21.56     0.268657 
    23.77     0.317624 
    21.43     0.311975 
    25.83     0.198402 
    23.65     0.222581 
    29.57     0.121365 
    27.14     0.210139 
    21.42     0.160105 
    25.43     0.250552 
    28.11     0.256746 
    27.11     0.110709 
    23.79     0.204385 
    35.65     0.062081 
    14.80     0.000000 
    32.44     0.071524 
    24.30     0.114429 
    27.61     0.131091 
    31.17     0.065737 
    32.81     0.067798 
    29.74     0.181025 
    23.66     0.132519 
    31.63     0.162757 
    20.06     0.103802 
    26.81     0.205708 
    29.27     0.125166 
    25.70     0.199151 
    25.79     0.179742 
    29.46     0.122382 
    27.04     0.230753 
    24.64     0.273488 
    21.37     0.359069 
    24.16     0.257841 
    27.99     0.200640 
    26.81     0.088685 
    29.55     0.097355 
    31.80     0.068604 
    23.55     0.020863 
    24.45     0.021852 
    27.18     0.022255 
    28.80     0.051310 
    22.88     0.029611 
    25.43     0.061020 
    22.26     0.024462 
    26.11     0.124415 
    25.83     0.130111 
    29.13     0.058186 
    31.20     0.037948 
    15.74     0.000000 
    30.56     0.106355 
    14.71     0.000000 
    18.16     0.004183 
    29.84     0.014810 
    27.22     0.067741 
    27.29     0.019553 
    33.05     0.023320 
    26.78     0.059898 
    27.62     0.054562 
    25.92     0.046665 
    27.13     0.058721 
    32.61     0.061315 
    29.48     0.041721 
    29.21     0.099086 
    28.09     0.078444 
    28.31     0.042893 
    24.69     0.069781 
    28.79     0.033505 
    25.06     0.047931 
    29.86     0.046669 
    29.65     0.087073 
    25.22     0.042351 
    26.05     0.058582 
    26.56     0.061814 
    31.73     0.074505 
    29.41     0.045507 
    30.30     0.079535 
    28.06     0.075007 
    31.24     0.059729 
    25.65     0.060113 
    26.30     0.064014 
    27.92     0.060728 
    27.18     0.060271 
    30.80     0.063237 
    29.47     0.065030 
    22.14     0.061215 
    27.96     0.059173 
    26.80     0.058604 
    29.29     0.061315 
    24.94     0.151842 
    29.95     0.176641 
    20.45     0.290994 
    22.08     0.252377 
    29.49     0.074855 
    12.04     0.000000 
    30.42     0.117712 
    27.16     0.045330 
    13.18     0.000890 
    25.45     0.195227 
    24.65     0.286201 
    30.22     0.190927 
    23.85     0.275155 
    24.14     0.017640 
    26.54     0.029752 
    15.46     0.000000 
    32.00     0.049569 
    28.92     0.062336 
    23.67     0.160535 
    32.33     0.071712 
    22.72     0.070492 
    23.11     0.144444 
    15.85     0.000000 
    26.91     0.024763 
    13.77     0.000000 
    27.95     0.059021 
    25.77     0.025666 
    24.13     0.126417 
    26.11     0.135598 
    28.51     0.184098 
    28.08     0.257038 
    26.91     0.188152 
    28.52     0.124744 
    29.00     0.026244 
    27.58     0.116937 
    26.47     0.047154 
    28.50     0.138076 
    26.24     0.155453 
    27.43     0.033070 
    13.99     0.000000 
    30.04     0.069065 
    27.61     0.134094 
    27.54     0.155930 
    19.89     0.008562 
    24.26     0.157346 
    25.35     0.175920 
    26.24     0.038867 
    13.05     0.000000 
    15.55     0.000000 
    26.36     0.016809 
    25.72     0.064868 
    33.86     0.019622 
    10.94     0.000000 
    32.69     0.035784 
    33.74     0.126069 
    29.50     0.102619 
    28.57     0.138467 
    31.65     0.047380 
    27.57     0.032743 
    25.55     0.069018 
    14.54     0.000000 
    31.84     0.040328 
    27.36     0.050271 
    28.86     0.019622 
    27.00     0.091914 
    26.79     0.014081 
    23.95     0.069233 
    22.01     0.077886 
    25.67     0.087601 
    32.56     0.074148 
    29.27     0.027871 
    29.14     0.065101 
    32.58     0.051803 
    29.45     0.026565 
    31.10     0.092203 
    25.01     0.006206 
    21.29     0.056315 
    26.02     0.087772 
    26.77     0.083602 
    35.50     0.049794 
