constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       40.28      0.14000        76.20     77.07     75.80     11.20     20.56     22.10      9.05     29.53     81.22      0.12 
     2       33.87      0.22659        59.60     66.93     60.60     27.20     14.44     -5.20      3.73     32.11     70.48      8.77 
     3       42.33      0.07961        60.20     99.73     81.80      6.40     30.00      9.40     13.25     36.07     87.21     -0.74 
     4       35.14      0.12187        68.20     88.53     86.40     -1.07      4.44     -0.90     -7.14     27.75     81.36      3.83 
     5       29.24      0.02454        28.00     98.67     85.60    -20.80    -28.33      8.10      0.87     28.11     79.27     12.90 
     6       37.76      0.09952        68.20    101.47     83.00     16.80    -16.11      2.00      4.92     23.45     87.66      6.17 
     7       38.84      0.08988        59.80     96.13     69.60     23.20      0.56      6.20      8.89     25.56     84.90     13.52 
     8       37.95      0.15921        66.40     79.87     76.60     48.27    -10.56      4.00     -3.17     31.05     75.74     11.30 
     9       32.73      0.24578        65.20     74.40     65.80     22.67     -2.78      7.20     -2.94     24.98     67.89      4.88 
    10       36.14      0.21041        74.80     69.20     75.00     28.80      2.78     10.10      0.40     26.62     70.88      2.78 
    11       42.12      0.16621        76.00     77.87     69.40     63.20     18.33     11.10    -11.51     29.13     83.76      3.89 
    12       41.59      0.09242        52.80     98.93     95.80     23.20      2.22      5.00     -0.63     25.93     96.69     15.93 
    13       38.60      0.11270        62.60     86.27     57.40     36.27     -4.44     13.60     10.63     20.98     83.67     19.01 
    14       36.20      0.08298        50.40     82.40     85.40     -9.07     15.00     12.10    -10.63     35.16     92.74      8.52 
    15       33.38      0.03514        -1.80     87.47     76.40      8.27      7.22     17.30      7.70     30.25     87.98     12.96 
    16       33.96      0.14487        40.00     72.53     82.40      7.20     24.44     -1.50    -19.44     34.33     84.85     14.81 
    17       35.62      0.09971        78.80     68.67     82.40     21.07    -13.89      5.00    -12.94     33.35     80.05     13.70 
    18       41.62      0.15911        76.80     83.47     88.40     45.33     -6.67     21.00     -6.43     32.62     75.92      5.80 
    19       35.07      0.20661        63.60     65.87     79.40      5.60     10.56      4.00     -0.48     32.91     75.60     13.64 
    20       36.04      0.23602        65.80     82.80     72.80     36.00     -7.78     -1.30     -3.81     24.44     78.19     13.27 
    21       40.64      0.15005        67.80     97.20     71.20     15.73     18.89     11.00      6.27     29.45     80.91      7.90 
    22       33.68      0.21961        69.00     64.27     52.40     24.27     18.89     11.10     -2.54     21.56     75.19      2.65 
    23       42.05      0.19697        77.20     81.87     72.00     52.00      3.33     15.30      5.56     25.13     81.95      6.17 
    24       36.04      0.22496        69.80     76.27     68.80     25.60    -10.56     15.60      2.94     24.15     76.42     11.42 
    25       35.60      0.17714        48.80     72.80     62.00     38.67     23.33     -0.60     -5.63     29.96     76.64     10.00 
    26       40.03      0.18525        57.60     96.80     81.00     53.33     12.22      5.90     -5.79     29.42     73.79     -4.01 
    27       46.17      0.15962        69.20     94.93     92.00     45.33     21.67      5.60     17.78     30.07     76.64      8.46 
    28       38.34      0.21061        79.20     74.00     58.20     15.73      9.44     15.30     15.95     32.95     74.51      8.09 
    29       39.25      0.18766        68.20     89.87     77.00     35.47     -3.33     13.00     -0.56     23.38     78.96     10.56 
    30       34.30      0.17578        65.60     67.60     65.80      1.33     -2.78     22.70     -1.98     32.73     82.95      9.07 
    31       35.43      0.24507        66.20     75.87     66.00     13.07     16.67      1.00      7.94     25.56     69.52     12.47 
    32       33.98      0.20406        41.80     72.67     59.40     29.33     -7.22      7.70      5.32     27.13     80.27     23.40 
    33       40.02      0.17760        68.20     83.33     70.20     35.20    -17.78     11.60     11.59     29.89     85.85     22.10 
    34       38.47      0.13436        55.40     93.20     88.60     15.20     14.44     10.20      1.11     29.13     82.09     -4.63 
    35       39.31      0.19569        62.00     79.07     74.80      5.87     42.78      0.10     13.02     33.71     79.95      1.79 
    36       37.48      0.15963        56.40     57.07     81.40      8.80     18.89     14.00     16.27     29.42     81.59     10.93 
    37       38.02      0.16386        64.20     85.20     82.80     28.80    -15.56     16.20     -3.65     31.71     77.73     12.72 
    38       36.73      0.20183        68.40     65.07     70.60     27.73      2.78      5.30      4.84     28.29     77.28     16.98 
    39       43.16      0.14592        73.20     75.47     70.40     25.33     43.33     -5.70     10.16     30.69     83.67     25.00 
    40       45.01      0.11603        64.80     83.60     89.60     30.93     -1.67     22.60     23.65     26.65     83.36     26.60 
    41       35.73      0.07973        48.00     96.67     74.40    -10.67     16.11     10.70     -2.70     34.22     92.83     -2.28 
    42       33.56      0.13592        65.80     75.73     62.20    -20.00      6.11      0.80      9.60     38.44     84.22     12.65 
    43       34.00      0.15720        70.80     84.00     64.20      0.00    -16.11     17.30      9.05     28.44     74.78      7.53 
    44       35.02      0.11271        49.00     87.20     51.80     29.60    -20.00     12.90     21.59     28.04     76.64     13.40 
    45       44.82      0.12353        70.80     79.87     81.40     20.80     48.89      9.50      4.05     29.82     82.99     20.06 
    46       37.57      0.13761        57.80     80.67     69.20      9.87     -0.56     14.90      0.95     36.69     82.99     23.21 
    47       35.97      0.09177        36.60    103.60     90.40      2.40     13.33      9.90     -5.79     28.91     90.93    -10.62 
    48       47.11      0.09722        76.00     89.20     81.00     50.93     42.22     15.60     -5.08     28.44     81.59     11.23 
    49       35.48      0.08094        50.20     68.53     90.00     32.00    -21.11     11.60      1.75     24.98     83.04     13.83 
    50       39.32      0.09475        71.60     96.93     79.40     11.47     16.67      6.80      1.35     23.24     84.54      1.23 
    51       39.36      0.15089        59.60     83.33     74.60     20.27     17.78      4.90      8.33     34.25     78.78     11.79 
    52       43.83      0.11337        68.80     94.13     83.80     11.20     44.44     25.30     -1.11     20.84     81.32      9.63 
    53       38.29      0.07649        57.60     92.53     82.20     26.67     -4.44     17.50     -8.10     29.89     83.63      5.43 
    54       38.27      0.12979        51.40     85.33     96.00     18.67     -5.56      6.80      3.65     26.62     82.99     16.79 
    55       38.80      0.08632        73.40     77.87     85.00      3.47    -17.78     11.90     18.02     25.96     85.99     24.20 
    56       42.86      0.07580        59.40     99.60     80.40     41.87     -2.78     12.80      5.95     36.18     85.94      9.20 
    57       36.27      0.07190        68.40     73.60     82.00     18.40    -26.11     10.80      5.63     37.09     78.64     14.26 
    58       39.87      0.10800        55.00     80.53     74.80     48.53    -17.22     10.20      8.57     33.71     88.12     16.42 
    59       36.93      0.06600        73.60     97.33     71.20     23.20    -18.33      1.50     -0.71     29.53     80.77     11.23 
    60       48.92      0.06250        41.40     97.33     95.60     18.40     79.44     22.90      4.13     40.65     84.81      4.51 
    61       41.28      0.04204        49.80    100.00     91.60     -0.53     30.00     -0.00      6.83     38.11     85.90     11.11 
    62       39.20      0.05471        65.80     95.20     77.60    -13.87     29.44     15.90      3.57     25.13     83.99      9.26 
    63       33.62      0.02871        12.40     73.20     92.60     -5.33     28.89     23.80     -9.21     22.62     85.67     11.54 
    64       43.31      0.08017        62.60     84.93     82.60     18.13     23.89      7.60      4.29     35.42     91.93     21.73 
    65       36.53      0.03896        37.40     81.73     99.80     12.00      7.22     -2.80     -9.37     36.98     82.40     19.88 
    66       36.34      0.03874        58.80     80.53     75.20     20.53     -5.00      5.80      0.32     28.25     91.38      7.53 
    67       50.74      0.05126        56.80     95.73    105.60     33.60     33.89     17.40     17.14     35.38     87.80     24.01 
    68       37.25      0.03234        45.40     83.73    104.00      2.93     18.89     -2.60      8.02     26.04     92.65     -6.54 
    69       36.02      0.01959        -3.40    106.67     88.00      1.33     40.56      8.10    -13.17     30.62     85.12     16.42 
    70       30.75      0.03457        45.40     79.73     89.80    -33.33    -22.78     32.90     -8.02     22.69     79.82     21.30 
    71       35.08      0.02215        30.60    100.53     95.60      2.40    -19.44      4.80      9.37     22.29     87.35     17.35 
    72       41.88      0.07128        62.40     93.33     84.00     24.80     17.78      7.10      0.79     28.87     90.93      8.83 
    73       32.23      0.06118        48.80    105.20     72.40      1.33    -32.22     11.40      3.89     15.96     88.71      6.79 
    74       37.97      0.05206        84.20     98.53     97.00      5.07    -22.78      7.40    -13.57     29.42     85.35      9.07 
    75       38.91      0.05801        51.60     96.93     93.60     22.13     -5.56      1.60      3.49     22.65     90.57     12.04 
    76       30.34      0.02970        55.40     78.00     80.80    -17.60     -5.00     -1.60     -2.94     36.55     93.29    -13.52 
    77       37.75      0.05785        40.40     90.00     89.40     32.53    -13.89     11.60      5.48     29.13     88.75      4.07 
    78       39.10      0.05208        42.40     98.40     75.40     26.67     32.78     -0.70    -13.41     27.45     92.15      9.88 
    79       40.72      0.03444        44.60    107.47     87.60      0.80     24.44     19.10     11.75     37.13     86.53    -12.22 
    80       33.33      0.04448        41.60     99.20     72.40    -21.07      0.00     12.10     10.00     26.65     82.63      9.81 
    81       37.28      0.05041        40.80     98.80     96.40      9.60    -15.00     17.90     12.30     27.53     87.12     -2.65 
    82       35.69      0.04587        59.20    101.73     93.00    -11.73    -17.22     15.40     -4.52     28.36     86.85      5.86 
    83       39.56      0.05874        62.00    100.27     84.00      4.27     -3.33      1.50      9.29     34.73     90.16     12.72 
    84       37.05      0.04448        57.60     99.33     80.00     12.27     -2.78     14.20    -16.35     25.85     86.30     14.07 
    85       39.45      0.04955        41.20     95.07     98.60     -7.73     11.11     25.20     -1.90     27.02     96.55      9.38 
    86       40.76      0.05508        70.20     86.27     90.00     -7.47      7.78     18.90     -1.59     33.20     92.47     17.84 
    87       40.97      0.03844        71.80    103.73     78.00     47.20    -20.56      1.80      6.90     26.00     93.11      1.67 
    88       31.43      0.04150        31.60     84.13     99.00    -19.47      5.56      2.40    -17.78     25.42     85.40     18.09 
    89       39.15      0.04952        58.00     88.13    102.20    -12.00     -7.78     27.40      5.87     36.51     87.80      5.37 
    90       38.85      0.05979        50.20    102.80     89.40    -18.67     12.78     21.40     -9.92     41.67     96.51      2.35 
    91       33.29      0.05477        35.60     94.67     92.60    -10.13    -11.67     14.50     -6.51     36.62     87.03      0.19 
    92       42.65      0.05322        40.40    101.60     90.20     18.93      5.00     12.80      8.10     34.55     94.92     20.00 
    93       33.54      0.04927        18.40     89.87     90.40     12.27     -1.67     15.40     -2.94     30.58     84.04     -0.99 
