constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    46       52.66     128.01971  3376.08023        78.60     66.00     75.40     16.27     32.22     18.70     58.49     63.93     88.44     28.52 
    47       51.66     94.85340  2360.37392        76.80     62.13     72.00      0.27     13.89     62.80     48.41     71.20     88.25     20.80 
    48       53.00     114.44447  3029.13053        95.40     78.53     52.00      1.33     11.67     51.20     54.13     63.82     90.11     31.79 
    49       53.45     97.50747  3250.40811        84.80     68.93     91.20      1.07     -6.67     30.50     63.17     76.91     86.49     38.09 
    50       58.02     120.97760  2717.61700       103.80     73.33     73.40     16.53     11.11     57.00     59.29     64.80     87.94     32.96 
    51       52.84     125.79785  3161.97544        72.00     69.60     65.80     17.87     16.67     37.80     57.62     76.87     89.57     24.57 
    52       56.77     123.62939  3074.49297        66.80     68.53     94.40     21.07     24.44     54.30     55.32     65.93     76.37     40.49 
    53       51.19     102.38016  2661.59627        79.60     72.53     82.00     -4.80    -28.33     52.00     71.03     70.00     94.01     23.83 
    54       52.62     138.68092  3189.46370        92.60     72.80     84.40      9.33      1.67     39.20     53.10     59.27     81.72     32.10 
    55       54.85     99.32192  3243.47130        87.20     85.33     87.60     11.20     -1.67     42.80     46.83     75.13     89.07     25.00 
    56       48.21     113.98778  2342.96867        91.20     64.40     65.00      9.87    -30.00     48.30     54.05     57.27     87.26     34.75 
    57       49.75     116.32327  3098.05266        60.80     56.67     65.00      3.73     10.00     66.10     41.43     63.27     98.50     31.98 
    58       54.11     139.49034  2268.39766        72.60     81.07     72.00     12.80     25.56     37.60     49.76     64.40     94.38     30.93 
    59       49.09     129.32737  2710.57095        80.60     65.33     63.60     -4.00    -13.89     46.80     56.51     68.95     89.89     37.16 
    60       50.51     123.60783  3240.94108        93.00     65.47     74.40      9.33    -21.11     40.60     50.71     69.05     87.85     35.80 
    61       46.81     131.51515  2664.47779        85.80     77.87     67.00    -13.33    -13.89     15.20     51.59     75.93     93.83     28.15 
    62       53.14     109.55772  2366.50024        79.60     69.73     58.80      0.27     20.00     58.00     53.65     70.69     85.22     35.43 
    63       43.35     122.09586  2840.38945        77.80     67.87     68.40     -6.40    -43.89     29.20     58.81     62.33     80.73     38.64 
    64       52.94     104.74171  2813.39882        89.20     73.33     60.20     25.60     18.33     25.90     42.70     71.85     86.12     36.11 
    65       54.15     131.40667  2594.55416        97.40     62.27     79.60     21.60    -13.33     46.10     62.30     62.07     95.74     27.78 
    66       56.90     119.71214  2596.12949        93.60     67.07     65.40     21.33     29.44     53.50     51.90     63.89     91.61     31.30 
    67       53.38     132.28678  2523.89554        92.60     72.67     73.40     22.93      3.33     40.20     42.78     66.69     87.57     31.60 
    68       51.84     113.80045  2367.45381        67.60     72.27     72.80      4.80     -5.56     55.50     57.06     64.98     95.06     33.89 
    69       53.84     108.00989  2768.87230        93.80     79.87     59.20     -1.07     -2.78     57.10     59.76     67.49     98.23     26.79 
    70       51.04     126.78567  2402.83841        95.40     76.13     80.80     24.27    -29.44     29.50     51.75     68.18     81.50     32.35 
    71       51.64     129.81484  2960.57288        72.80     77.33     70.00      4.27     13.89     34.80     63.89     67.60     85.44     26.42 
    72       47.06     121.27060  2459.86844        83.00     67.33     70.60     17.87    -32.78     42.00     48.81     66.76     79.82     27.22 
    73       55.57     109.69362  2966.11560        86.60     66.80     78.00     35.47      7.22     41.70     48.89     66.29     85.53     39.20 
    74       51.23     118.13987  2888.23243        87.80     70.93     69.80     18.40     -2.78     49.30     37.46     67.13     87.48     26.79 
    75       58.08     125.48414  2457.62539        85.60     80.00     56.80     21.33     43.33     53.60     62.70     57.93     84.31     35.19 
    76       51.30     129.13527  2650.54070        70.60     77.07     81.80     28.53    -35.56     57.10     55.95     65.20     84.85     27.41 
