constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.001], [0.1], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: SoftMax , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.010000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    13.26     0.073568 
    14.89     0.100000 
    16.75     0.090411 
    16.54     0.100000 
    15.27     0.083135 
    14.19     0.088937 
    10.13     0.062853 
     9.40     0.064781 
    16.44     0.099180 
    15.43     0.095366 
    14.70     0.098235 
     9.86     0.082860 
    15.32     0.077701 
    16.00     0.093884 
    16.55     0.097623 
    17.16     0.098127 
    14.49     0.086197 
    16.75     0.100000 
    12.80     0.082016 
    16.36     0.088231 
    13.55     0.100000 
    16.82     0.082489 
    16.43     0.100000 
    15.51     0.088640 
    15.95     0.092677 
    14.09     0.100000 
    14.39     0.092675 
    15.47     0.097285 
    16.10     0.096776 
    14.63     0.091304 
    14.61     0.090065 
    17.52     0.088081 
    15.66     0.090908 
    16.56     0.099792 
    16.30     0.078524 
    15.42     0.092042 
    17.56     0.081836 
    15.68     0.085149 
    16.94     0.086566 
    13.62     0.087441 
    15.23     0.084918 
    15.93     0.088021 
    15.96     0.088166 
    14.61     0.075882 
    15.08     0.081355 
    17.26     0.082582 
    15.07     0.082680 
    14.97     0.082248 
    16.64     0.082214 
    13.26     0.080973 
    15.77     0.081950 
    15.03     0.080985 
     8.60     0.081666 
    13.41     0.082513 
    16.31     0.082783 
    16.11     0.081836 
    20.80     0.040733 
    12.50     0.042649 
     8.83     0.039454 
    15.75     0.008168 
    12.37     0.041924 
    14.50     0.061938 
    16.82     0.097098 
    13.26     0.047628 
    11.37     0.042483 
    12.28     0.037893 
    16.12     0.042122 
     8.82     0.052091 
     8.46     0.043617 
    26.17     0.003215 
    12.16     0.001000 
    10.69     0.032817 
    15.10     0.033954 
    15.14     0.057235 
    16.18     0.022442 
    13.71     0.037111 
    14.46     0.071932 
     9.71     0.045927 
    12.68     0.016201 
     6.76     0.001000 
    10.85     0.039873 
    14.31     0.020545 
    13.24     0.001000 
    17.59     0.007534 
    13.41     0.038753 
    24.98     0.031229 
    11.43     0.024814 
    14.36     0.056675 
    10.77     0.032399 
    13.85     0.015469 
    15.17     0.063013 
     9.27     0.054381 
    10.91     0.057773 
     5.38     0.061172 
    15.82     0.019160 
    28.17     0.002617 
    16.51     0.028910 
     9.19     0.001000 
     8.34     0.001000 
    15.40     0.021215 
     9.30     0.001000 
     5.74     0.001000 
    15.37     0.001000 
     4.34     0.001039 
     9.14     0.001000 
    16.61     0.020467 
     2.00     0.001257 
    17.72     0.024163 
    18.20     0.009228 
     8.19     0.008683 
     9.73     0.013982 
     8.78     0.001000 
     9.94     0.022503 
    23.38     0.006008 
     7.60     0.001000 
     0.01     0.001000 
    17.43     0.001000 
    16.04     0.001000 
    34.05     0.003346 
    15.33     0.009515 
    10.09     0.001000 
    10.49     0.011363 
    26.11     0.001976 
    13.25     0.016955 
    31.75     0.003937 
     3.61     0.001000 
    12.94     0.012085 
     9.82     0.001000 
    29.36     0.002807 
     8.08     0.001000 
    14.94     0.001000 
    10.71     0.013972 
    19.71     0.011816 
    16.33     0.006907 
    10.72     0.001000 
     9.56     0.001000 
    11.43     0.001000 
     9.40     0.001000 
    -2.71     0.001000 
    30.67     0.003274 
     9.06     0.001000 
    10.13     0.001573 
    14.61     0.009261 
    26.10     0.006783 
    30.26     0.002186 
    16.73     0.006701 
    28.96     0.003602 
    30.93     0.003454 
    33.80     0.003377 
    19.81     0.004290 
    30.75     0.003521 
    25.01     0.004026 
    22.65     0.002697 
    23.28     0.002536 
    34.22     0.003295 
    22.37     0.004264 
    22.02     0.003295 
    13.47     0.001000 
    12.07     0.017229 
    12.89     0.040110 
    17.73     0.028141 
    20.81     0.024531 
    14.38     0.063005 
    16.24     0.001000 
    11.46     0.037396 
     9.43     0.001000 
    13.41     0.038758 
     6.16     0.063159 
     4.69     0.040832 
     9.30     0.014431 
    25.52     0.005780 
     5.45     0.001000 
     8.39     0.001000 
    12.82     0.001000 
     6.21     0.001000 
     8.56     0.012807 
    14.51     0.001000 
     7.13     0.001000 
     9.35     0.001411 
     8.97     0.001000 
