constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       50.24      6.97291        98.00     77.33     69.20     10.40    -21.11     40.50     57.06     72.51     67.12     31.36 
    52       47.46      7.71048        81.80     75.33     70.40     15.73    -13.33     30.80     47.38     62.25     71.52     32.72 
    53       51.98      8.53110        79.80     82.13     55.40     19.20     -9.44     55.90     54.37     64.87     76.92     40.62 
    54       47.02      7.51014        96.20     61.07     63.40     19.20    -36.11     52.50     50.48     68.95     73.70     20.86 
    55       48.49      8.01369        89.40     64.67     82.60      2.93    -17.78     42.30     57.70     68.65     65.49     28.95 
    56       50.71      8.97836        81.80     79.07     63.40     11.47      1.11     38.60     48.25     67.49     81.90     34.01 
    57       47.28      8.93632        66.80     71.20     69.00     13.87      6.11     14.30     59.37     65.67     68.84     37.65 
    58       52.61      9.06634        88.40     71.20     73.00     30.67     -2.78     29.90     56.27     70.29     71.20     37.90 
    59       52.12      9.67223       100.00     81.87     70.40     -6.67     16.67     38.30     52.30     63.27     83.13     21.91 
    60       46.62      8.70721        95.20     74.00     74.40      5.07    -34.44     45.30     49.52     63.27     68.62     25.31 
    61       44.28      9.33298       102.80     79.73     61.00      8.00    -53.89     27.10     55.32     65.05     73.20     24.51 
    62       48.60      9.07745        80.00     73.20     66.00     -2.13     -9.44     48.40     68.41     60.40     71.97     29.20 
    63       48.88      9.25941        81.20     74.00     77.80      4.53     -6.67     41.20     56.83     62.91     73.33     23.64 
    64       50.16      8.68788        80.60     67.60     72.60    -11.20     25.00     52.20     45.24     64.25     72.29     33.02 
    65       53.84      8.89510        93.80     68.40     71.60     19.47     20.56     41.80     55.56     65.93     73.92     27.41 
    66       44.09      8.94539        77.00     64.13     78.20    -11.20    -20.00     38.60     40.40     62.44     75.42     35.93 
    67       46.20      8.90819        88.00     69.87     52.40      7.73     -8.33     27.00     51.35     68.80     79.00     26.17 
    68       50.83      9.24079        69.80     85.47     72.80    -16.27     30.00     35.80     58.41     63.31     73.56     35.43 
    69       54.24      9.62230        93.60     75.73     76.80      6.13     27.22     31.40     51.03     74.11     70.52     35.86 
    70       53.59      9.78068        87.00     68.93     83.00     15.20      7.22     58.20     58.81     68.36     67.12     22.10 
    71       57.14      9.85080        97.80     74.40     77.80     34.93     22.78     45.50     53.41     60.55     77.55     26.67 
    72       49.76      9.68399        89.80     70.27     64.80      9.33     -6.11     50.40     57.30     67.67     64.35     29.81 
    73       48.71      9.57569        73.00     77.73     82.80     35.20    -37.22     36.40     56.27     67.56     75.24     20.12 
    74       51.66      9.29814        86.80     76.93     59.60      7.20      9.44     52.00     55.71     62.04     73.20     33.70 
    75       45.67      9.43080        72.80     69.47     61.00      1.60    -14.44     37.00     64.68     61.64     71.97     30.99 
    76       49.75      9.29877        79.60     73.47     70.40     14.93     -1.11     37.80     55.71     66.73     70.84     29.14 
    77       52.48      9.39186        91.80     83.87     63.80     18.93     15.56     41.70     50.63     62.25     65.90     30.37 
    78       49.10      9.45903        93.40     65.07     76.00     18.67     -0.00     26.60     45.32     70.40     67.48     28.02 
    79       47.98      9.51313        79.60     67.20     73.60     -1.07      7.78     28.40     62.06     66.36     71.11     24.75 
    80       55.06      9.33292       107.40     60.27     70.40     -0.27     22.78     58.90     60.63     68.29     70.75     31.48 
    81       52.89      9.47381        91.20     84.27     63.80     32.53    -20.56     50.90     57.46     67.85     72.93     28.52 
    82       48.17      9.68901        79.60     74.27     57.20     11.47     -0.00     47.00     42.78     59.38     74.60     35.43 
    83       48.75      9.84112        96.40     71.47     60.40     -1.33      1.67     36.20     53.41     63.93     76.28     29.07 
    84       53.03      9.66890        84.60     77.87     73.60     37.33     13.89     13.30     58.02     61.71     73.15     36.79 
    85       53.56      9.83655        84.20     85.07     67.00     18.40     16.67     35.00     54.52     54.84     76.96     42.96 
    86       49.16      9.60178       104.60     70.53     70.00      6.67      2.22     28.80     44.92     65.64     68.21     30.06 
    87       55.48      9.69556       101.80     73.20     81.00     30.67     14.44     40.50     53.33     63.78     73.02     23.09 
    88       45.04      9.67163        82.80     62.27     57.60      2.13    -20.56     47.70     43.65     67.35     67.76     39.75 
    89       52.89      9.83366        93.80     78.00     62.60     -1.33      8.89     62.20     52.38     69.71     69.80     32.90 
    90       48.07      9.59396        94.20     68.67     70.40      7.47     -5.00     28.50     51.27     69.78     65.76     29.63 
    91       50.55      9.83089        90.20     88.13     78.80     17.33     -2.78     23.20     55.48     61.38     66.49     27.22 
    92       49.83      9.85121        80.40     66.40     78.00     16.53      8.33     35.50     51.51     62.18     71.88     27.59 
    93       49.51      9.84451        73.80     65.60     78.80     18.67    -12.22     41.40     59.60     65.45     72.56     31.48 
    94       53.36      9.84058        93.20     80.67     68.80     10.13     11.67     49.40     49.52     67.93     73.74     28.52 
    95       52.37      9.85825       101.40     70.93     66.00     22.67      3.89     25.80     67.14     67.82     75.37     22.65 
    96       51.88      9.83064        87.80     73.20     86.00     18.67     -1.11     30.50     51.98     64.73     71.93     35.06 
    97       51.76      9.82389        83.80     71.73     75.20     17.33      6.67     47.20     54.52     60.80     73.83     26.48 
    98       49.22      9.87007        88.20     75.20     76.20     17.07    -35.56     48.70     55.32     64.00     69.39     33.64 
    99       51.41      9.83750        95.80     72.13     69.40     35.20    -16.67     36.50     53.25     62.04     76.96     29.44 
   100       46.24      9.85531        83.40     59.20     74.20     22.40    -35.00     38.40     55.24     59.16     70.25     35.19 
   101       46.87      9.88758        83.00     63.87     65.80      9.60     -2.22     35.10     42.62     66.51     72.34     32.10 
   102       53.57      9.85080       104.80     73.87     78.40     35.47      7.22     20.10     53.81     61.75     68.53     31.73 
   103       50.81      9.16995        73.40     82.13     70.20     32.00    -23.33     49.00     54.84     66.87     71.84     31.11 
   104       49.04      8.13022       105.00     56.00     81.60     -5.60    -12.22     24.20     65.79     76.80     71.16     27.65 
   105       52.15      7.99727        98.00     56.80     68.60     24.27      7.78     49.00     51.11     69.02     73.24     23.64 
   106       44.44      6.24450        70.80     48.80     62.60      7.20      3.33     44.50     43.17     67.93     70.16     25.93 
   107       52.92      8.63253        94.60     67.87     78.00     44.80     -9.44     30.80     52.62     64.18     69.25     36.54 
   108       47.03      7.29533        96.40     59.60     70.00     -6.67     -7.78     40.90     54.29     68.91     66.58     28.02 
   109       47.21      7.01915        89.60     76.40     69.00     -2.13     -8.89     27.60     56.35     67.05     73.70     23.46 
