constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    58.94     1.271200 
    60.94     3.341936 
    60.48     4.622055 
    59.82     6.071329 
    60.55     4.149075 
    60.39     5.268685 
    60.73     3.735695 
    60.10     2.805324 
    60.84     3.585600 
    60.53     4.458580 
    60.01     2.462782 
    60.51     4.595803 
    60.78     3.695494 
    60.86     3.526827 
    60.47     4.755799 
    60.00     2.400437 
    60.80     3.677521 
    60.88     3.476797 
    60.19     2.856579 
    60.29     3.076834 
    60.93     3.361330 
    60.39     3.148732 
    60.55     4.191111 
    60.21     2.941094 
    60.94     3.338312 
    60.21     2.934668 
    60.28     3.078367 
    60.43     3.231920 
    60.60     4.049855 
    60.89     3.465618 
    60.27     3.026521 
    60.79     3.690466 
    60.75     3.726244 
    60.91     3.415263 
    60.31     3.003487 
    60.27     3.026324 
    60.53     3.311519 
    60.90     3.428360 
    60.95     3.335420 
    60.44     3.246963 
    60.52     3.279547 
    60.89     3.466531 
    60.88     3.483320 
    60.72     3.785728 
    60.72     3.788215 
    60.87     3.526648 
    60.87     3.491322 
    60.87     3.509664 
    60.89     3.448064 
    60.87     3.512799 
    60.87     3.521878 
    60.85     3.537475 
    60.84     3.565973 
    60.85     3.530623 
    60.85     3.550039 
