constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  6  7  8  9  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 2749.0
BanditTestBatch: random reward: 1865.5

    20.22     0.354583 
    20.99     0.321311 
    20.01     0.338450 
    13.97     0.440171 
    24.20     0.252893 
    21.29     0.294307 
    13.90     0.296216 
    21.52     0.247527 
    25.55     0.164208 
    25.11     0.124071 
    24.29     0.114718 
    26.13     0.061049 
    23.31     0.010496 
    22.95     0.095898 
    26.83     0.074613 
    20.57     0.071489 
    17.10     0.000351 
    29.60     0.066032 
    29.97     0.022673 
    30.11     0.033206 
    15.11     0.000000 
    21.51     0.056615 
    27.66     0.044363 
    20.89     0.029754 
    14.32     0.000000 
    24.22     0.041072 
    15.45     0.000000 
    24.33     0.036729 
    27.39     0.078413 
    14.66     0.000000 
    20.22     0.036823 
    22.27     0.046153 
    18.43     0.004150 
    15.16     0.001250 
    21.41     0.007224 
    22.51     0.043639 
    21.42     0.003491 
    27.81     0.043760 
    17.89     0.030778 
    22.51     0.024177 
    22.16     0.022334 
    22.74     0.043454 
    24.93     0.043376 
    25.64     0.042947 
    31.13     0.046453 
    18.70     0.047708 
    25.59     0.051114 
    27.08     0.049495 
    27.24     0.044145 
    24.75     0.044504 
    21.83     0.051051 
    31.12     0.046453 
    17.54     0.271403 
    21.64     0.249905 
    21.91     0.290069 
    22.69     0.189423 
    18.48     0.365481 
    17.81     0.363407 
    27.55     0.206339 
    14.32     0.438894 
    17.89     0.486640 
    14.55     0.500000 
    17.59     0.322061 
    11.50     0.500000 
    13.69     0.500000 
    12.64     0.500000 
    22.49     0.344456 
    18.08     0.309764 
    14.83     0.449742 
    14.13     0.500000 
    24.35     0.297397 
    22.93     0.085398 
    29.11     0.086884 
    25.51     0.109888 
    23.62     0.060520 
    24.95     0.132859 
    20.38     0.220102 
    21.47     0.197371 
    21.63     0.311626 
    18.56     0.282949 
    19.26     0.367239 
    18.21     0.435579 
    20.54     0.239529 
    16.19     0.353914 
    19.36     0.255571 
    15.86     0.409556 
    19.99     0.322980 
    19.87     0.197709 
    25.58     0.190140 
    22.47     0.095642 
    20.83     0.210581 
    13.78     0.000000 
    19.56     0.180055 
    26.13     0.162348 
    25.74     0.033818 
    11.76     0.000000 
    23.90     0.099699 
    15.60     0.000000 
    23.42     0.009391 
    18.66     0.082091 
    17.05     0.000000 
    15.75     0.000000 
    15.48     0.000000 
    23.97     0.096877 
    22.31     0.102403 
    20.88     0.194953 
    21.98     0.296147 
    20.72     0.308315 
    17.27     0.372041 
    17.69     0.419716 
    19.65     0.340795 
    22.45     0.321368 
    13.36     0.396303 
    16.05     0.372868 
    17.22     0.319057 
    15.92     0.376350 
    17.85     0.276473 
    14.87     0.343571 
    18.59     0.332537 
    20.15     0.337791 
    24.41     0.251176 
    23.09     0.183156 
    23.07     0.232746 
    21.82     0.276884 
    22.66     0.184432 
    26.34     0.202692 
    23.70     0.207700 
    25.40     0.195391 
    21.46     0.235542 
    24.37     0.189397 
    16.69     0.162430 
    21.91     0.210022 
    21.33     0.197873 
    22.41     0.186382 
    20.62     0.186883 
    24.80     0.165862 
    17.98     0.163997 
    23.68     0.155412 
    28.15     0.152323 
    19.94     0.182411 
    25.40     0.169806 
    29.56     0.166101 
    25.90     0.169400 
    17.88     0.164086 
    22.26     0.167556 
    29.03     0.162748 
    20.32     0.165312 
    20.32     0.161298 
    22.94     0.170508 
    22.53     0.170439 
    22.50     0.163415 
    22.87     0.169928 
    17.89     0.166101 
    20.75     0.370435 
    16.02     0.379567 
    26.97     0.159361 
    22.92     0.263319 
    26.02     0.180847 
    19.11     0.297445 
    24.46     0.188810 
    13.67     0.000000 
    18.79     0.115163 
    18.38     0.108860 
    23.43     0.226896 
    21.24     0.262033 
    22.33     0.057512 
    17.92     0.000000 
    11.72     0.000000 
    25.42     0.114247 
    21.29     0.016061 
    12.28     0.000000 
    15.97     0.000000 
    16.82     0.000000 
    22.25     0.131242 
    25.45     0.142941 
    23.96     0.008272 
    17.02     0.000000 
    26.82     0.121027 
    22.06     0.241187 
    18.16     0.391683 
    18.45     0.286426 
    18.53     0.322038 
    19.26     0.232506 
    21.10     0.146327 
    23.11     0.222314 
    24.80     0.113464 
    20.96     0.157636 
    21.72     0.051673 
    14.47     0.000000 
    16.80     0.000000 
    10.71     0.000000 
    21.85     0.136906 
    24.99     0.060547 
    29.75     0.134233 
    24.54     0.265844 
    24.23     0.190107 
    20.69     0.169640 
    25.53     0.126019 
    23.95     0.028035 
    20.10     0.193382 
    22.76     0.059492 
    27.35     0.068337 
    15.85     0.000000 
    23.53     0.181511 
    22.73     0.226490 
    22.09     0.200490 
    18.92     0.248702 
    23.46     0.163262 
    19.07     0.152858 
    19.58     0.116968 
    26.24     0.048725 
    26.31     0.057439 
    15.43     0.000000 
    14.35     0.003372 
    14.53     0.000000 
    20.81     0.053165 
    20.48     0.080991 
    22.95     0.020819 
    27.12     0.082768 
    18.22     0.004143 
    20.64     0.028057 
    19.60     0.031006 
    26.35     0.098651 
    24.60     0.085632 
    26.89     0.120425 
    24.38     0.129522 
    22.93     0.158605 
    22.84     0.082041 
    25.19     0.074396 
    22.47     0.110367 
    23.67     0.156108 
    22.67     0.178125 
    19.99     0.175977 
    24.22     0.151375 
    26.87     0.144304 
    29.03     0.160092 
    20.26     0.138948 
    26.50     0.146283 
    22.57     0.189591 
    20.86     0.167637 
    25.55     0.145358 
    26.63     0.182796 
    23.87     0.136598 
    22.15     0.161814 
    23.35     0.158613 
    23.70     0.161635 
    22.49     0.160749 
    28.90     0.163103 
    26.31     0.163823 
    22.83     0.158373 
    26.73     0.167984 
    26.06     0.165787 
    26.32     0.162114 
    21.50     0.163103 
    18.31     0.319054 
    15.80     0.411388 
    14.41     0.500000 
    14.62     0.500000 
    17.62     0.389813 
    22.58     0.289362 
    13.41     0.404599 
    19.05     0.282626 
    21.50     0.238282 
    16.05     0.426567 
    15.67     0.500000 
    12.56     0.499648 
    15.41     0.500000 
    15.66     0.500000 
    16.25     0.335122 
    15.60     0.429324 
    13.27     0.500000 
    12.19     0.500000 
    23.12     0.337656 
    17.95     0.337135 
    27.56     0.208185 
    25.78     0.096791 
    18.90     0.011261 
    19.42     0.277973 
    16.51     0.286314 
    21.18     0.254222 
    20.34     0.308055 
    22.97     0.207652 
    18.72     0.291941 
    18.46     0.413546 
    22.85     0.262101 
    22.17     0.212218 
    21.22     0.186629 
    23.16     0.143758 
    16.92     0.157159 
    26.36     0.138351 
    18.87     0.252083 
    21.76     0.289437 
    28.53     0.141276 
    14.79     0.000000 
    21.43     0.251177 
    20.96     0.119139 
    27.22     0.012407 
    23.85     0.049490 
    19.43     0.132020 
    20.44     0.080352 
    14.50     0.000000 
    25.64     0.112769 
    22.89     0.189786 
    24.29     0.041067 
    12.61     0.000053 
    24.09     0.026388 
    25.27     0.151927 
    27.26     0.047790 
    25.46     0.151938 
    21.04     0.032656 
    15.49     0.000000 
    24.41     0.044750 
    24.46     0.106075 
    12.81     0.000000 
    25.76     0.071123 
    16.34     0.000000 
    12.40     0.000000 
    12.10     0.000000 
    16.81     0.000000 
    11.50     0.000000 
    31.14     0.020656 
    16.47     0.000000 
    10.47     0.000000 
    19.15     0.047980 
    24.05     0.018805 
    13.05     0.000000 
    13.97     0.000000 
    25.22     0.006144 
    15.40     0.000000 
    24.34     0.050149 
    25.21     0.022764 
    17.54     0.000000 
    14.39     0.000000 
    12.82     0.000000 
    20.51     0.005201 
    15.99     0.000000 
    14.30     0.000000 
    20.40     0.035111 
    13.91     0.000000 
    15.48     0.000000 
    22.03     0.032228 
    16.10     0.001122 
    14.00     0.000000 
    21.26     0.046627 
    22.10     0.025349 
    26.73     0.024623 
    21.47     0.016264 
    27.42     0.019405 
    23.09     0.021279 
    21.07     0.017833 
    19.59     0.023508 
    23.53     0.022338 
    22.51     0.023639 
    24.29     0.024816 
    21.25     0.020656 
    14.25     0.000000 
    14.76     0.000000 
    12.65     0.000000 
    13.85     0.000000 
    14.02     0.000000 
    27.40     0.079524 
    26.03     0.153274 
    13.33     0.000000 
    22.88     0.188749 
    29.65     0.041270 
    22.10     0.130906 
    21.30     0.101721 
    15.58     0.000000 
    20.43     0.244657 
    18.36     0.416440 
    13.30     0.408209 
    16.41     0.410260 
    21.12     0.233894 
    21.29     0.216892 
    28.03     0.095523 
    22.40     0.230287 
    17.49     0.272477 
    26.04     0.048578 
    27.17     0.128879 
    18.75     0.102640 
    22.21     0.187796 
    19.02     0.318926 
    23.00     0.208290 
    24.73     0.146581 
    15.94     0.000000 
    23.82     0.048236 
    25.55     0.116877 
    15.83     0.123094 
    24.59     0.164852 
    25.25     0.165281 
    19.83     0.284548 
    20.75     0.422988 
    10.72     0.500000 
    14.43     0.500000 
    16.68     0.421511 
    22.23     0.328677 
    16.33     0.372792 
    15.61     0.409945 
    20.24     0.265248 
    21.89     0.248915 
    17.08     0.331898 
    17.48     0.360989 
    18.24     0.319368 
    20.03     0.324926 
    20.87     0.343506 
    12.71     0.455412 
    18.01     0.353881 
    12.14     0.456715 
    18.21     0.355852 
    19.16     0.292088 
    23.50     0.211908 
    23.47     0.254158 
    22.96     0.152933 
    21.03     0.183521 
    21.27     0.244552 
    16.22     0.308203 
    22.56     0.250781 
    24.56     0.289779 
    22.80     0.213226 
    17.18     0.364476 
    21.35     0.282323 
    22.70     0.277405 
    19.40     0.240776 
    23.57     0.291558 
    17.34     0.377405 
    19.92     0.336344 
    19.82     0.271813 
    22.49     0.326242 
    21.47     0.277828 
    20.17     0.310875 
    15.99     0.248849 
    22.77     0.242277 
    19.73     0.234450 
    20.15     0.210302 
    21.00     0.185911 
    21.39     0.190798 
    23.28     0.213127 
    21.32     0.220879 
    21.46     0.216139 
    20.44     0.243841 
    19.11     0.230501 
    25.54     0.213017 
    22.66     0.192141 
    19.09     0.217468 
    21.47     0.191211 
    16.80     0.208375 
    23.12     0.210018 
    20.08     0.213126 
    22.22     0.208792 
    25.10     0.215158 
    23.54     0.211746 
    19.48     0.208842 
    22.47     0.211481 
    26.69     0.213287 
    24.13     0.212474 
    21.50     0.213287 
    20.04     0.308785 
    15.25     0.435001 
    16.82     0.478676 
    18.66     0.327642 
    21.14     0.196833 
    18.48     0.313334 
    19.91     0.145582 
    17.62     0.305673 
    20.63     0.001072 
    11.28     0.000000 
    13.00     0.000000 
    20.63     0.007769 
    16.14     0.000000 
    20.66     0.201895 
    30.40     0.129135 
    21.99     0.265240 
    20.06     0.302459 
    21.85     0.093475 
    21.04     0.085631 
    21.88     0.199020 
    20.39     0.121837 
    23.11     0.008767 
    27.25     0.071097 
    14.18     0.000000 
    21.21     0.092698 
    27.36     0.209939 
    18.34     0.365325 
    22.04     0.351024 
    16.71     0.500000 
    13.70     0.489218 
    20.05     0.337771 
    14.43     0.453647 
    12.60     0.500000 
    15.13     0.470426 
    18.92     0.393965 
    17.16     0.350707 
    15.55     0.487338 
    11.17     0.500000 
    11.24     0.500000 
    16.09     0.430585 
    14.23     0.455348 
    11.26     0.489799 
    11.61     0.490494 
     9.10     0.500000 
    14.63     0.452681 
    13.59     0.500000 
    15.53     0.500000 
    18.91     0.390086 
    22.79     0.255150 
    22.03     0.116988 
    31.12     0.059522 
    21.29     0.132073 
    24.38     0.138252 
    19.05     0.142416 
    27.86     0.089329 
    26.81     0.036191 
    26.59     0.132272 
    15.06     0.000000 
    11.97     0.000000 
    22.22     0.134094 
    22.96     0.078017 
    25.70     0.119045 
    22.55     0.122479 
    20.12     0.183573 
    20.64     0.130702 
    21.93     0.077854 
    23.43     0.047421 
    15.02     0.000000 
    32.56     0.108266 
    20.27     0.142110 
    25.47     0.109045 
    22.53     0.128460 
    21.10     0.162846 
    24.89     0.162886 
    20.47     0.065580 
    25.57     0.130266 
    25.55     0.049245 
    22.51     0.108101 
    28.14     0.111276 
    21.32     0.137526 
    28.85     0.119486 
    24.94     0.108769 
    23.02     0.101256 
    27.63     0.133158 
    22.39     0.122777 
    24.84     0.121338 
    24.82     0.108930 
    26.23     0.076332 
    17.45     0.096857 
    26.72     0.087742 
    24.74     0.111093 
    20.80     0.103691 
    27.46     0.105743 
    26.31     0.110017 
    25.25     0.113037 
    18.79     0.106605 
    21.71     0.108033 
    26.30     0.103266 
    24.48     0.103457 
    25.68     0.107825 
    23.10     0.108266 
    20.77     0.224468 
    13.71     0.414814 
    12.48     0.491609 
    15.32     0.500000 
    15.83     0.408635 
    18.98     0.340888 
    23.02     0.201634 
    23.00     0.097998 
    20.54     0.199079 
    24.04     0.227912 
    19.02     0.099025 
    25.36     0.123852 
    12.96     0.000000 
    21.80     0.244240 
    14.30     0.448471 
    15.24     0.500000 
    16.04     0.500000 
    12.64     0.500000 
    17.35     0.331356 
    20.55     0.325466 
    14.59     0.383244 
    11.16     0.500000 
    16.89     0.398744 
    12.33     0.500000 
    15.34     0.500000 
    15.62     0.500000 
    17.80     0.361709 
    16.83     0.457125 
    15.03     0.500000 
    12.31     0.500000 
    16.62     0.337300 
    14.01     0.454624 
    14.10     0.388657 
    16.13     0.437238 
    15.85     0.500000 
    14.26     0.500000 
    18.79     0.334025 
    25.30     0.200025 
    21.98     0.266421 
    14.24     0.353077 
    19.09     0.256584 
    24.94     0.266551 
    19.49     0.182721 
    19.04     0.206412 
    21.08     0.142998 
    23.83     0.107607 
    23.94     0.106207 
    22.64     0.049176 
    23.13     0.032057 
    23.73     0.098237 
    20.21     0.198196 
    22.21     0.060978 
    26.15     0.029787 
    26.61     0.123748 
    23.62     0.067437 
    25.54     0.039449 
