constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    75.08     9.000000  0.850581        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.09     75.50     82.09 
    75.75     9.000000  0.916823        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.75     75.49     82.09 
    75.73     9.000000  0.913263        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.67     75.50     81.97 
    75.08     9.000000  0.683907        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.08 
    75.08     9.000000  0.745444        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.09 
    75.08     9.000000  0.804040        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.09 
    77.52     8.585499  0.787839        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.07 
    78.43     7.278792  0.864122        99.60     95.08     97.40     63.76     10.57     99.40     56.34     80.07    100.00     82.09 
    79.03     7.394662  0.977780        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.04     99.99     82.10 
    78.94     8.044252  0.986148        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.16    100.00     82.07 
    78.96     7.646994  0.959586        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.31    100.00     82.10 
    75.97     8.939265  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     80.00     75.51     82.09 
    76.56     6.943365  0.918455        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.82     75.50     82.10 
    75.84     8.125928  0.879380        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.62     75.49     82.09 
    78.73     7.271180  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.55     96.46     82.10 
    76.64     6.800257  0.955125        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.62     75.50     82.09 
    76.43     8.568726  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.58     75.51     82.07 
    76.45     8.194610  0.976547        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.73     75.50     82.07 
    78.95     7.054290  0.902510        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.31    100.00     82.09 
    79.05     7.168911  0.969647        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.25     99.99     82.12 
    76.43     7.728545  0.926035        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.58     75.51     82.09 
    75.96     8.066848  0.923850        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.85     75.51     82.11 
    78.61     7.611448  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.04     95.84     82.09 
    79.11     6.914870  0.987765        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.91    100.00     82.09 
    76.68     6.727840  0.976547        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.05     75.49     82.10 
    76.48     7.470576  0.933013        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.16     75.50     81.97 
    79.49     6.029797  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     58.76     91.85     96.43     82.10 
    79.60     5.881258  0.959554        99.60     95.08     97.40     63.76     10.57     99.40     56.34     91.71    100.00     82.11 
    79.96     5.485869  0.986609        99.60     95.08     97.40     63.76     10.57     99.40     58.56     93.09     99.99     82.12 
    79.56     4.539781  0.994883        99.60     95.08     97.40     63.76     10.57     99.40     77.45     94.76     75.51     82.09 
    80.45     5.655737  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     67.17     93.02     96.42     82.09 
    79.17     6.368750  0.966820        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.49     99.98     82.10 
    79.19     6.401013  0.983359        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.64    100.00     82.10 
    80.74     5.174569  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     69.39     93.89     96.41     81.92 
    77.77     4.717805  0.969340        99.60     95.08     97.40     63.76     10.57     99.40     59.86     94.47     75.51     82.10 
    80.50     5.568968  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     67.57     93.09     96.42     82.09 
    80.72     5.230594  0.999761        99.60     95.08     97.40     63.76     10.57     99.40     69.08     93.82     96.46     82.07 
    80.50     5.555142  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     67.63     93.09     96.41     82.09 
    80.91     4.931574  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     70.53     94.47     96.15     82.10 
    80.03     5.046047  0.974098        99.60     95.08     97.40     63.76     10.57     99.40     58.62     93.82    100.00     82.10 
    81.76     4.483289  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.33     95.20     96.19     82.10 
    81.85     4.299609  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     79.03     95.35     96.20     82.09 
    82.00     3.985177  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     80.25     95.56     96.41     81.95 
    81.09     4.525908  0.973550        99.60     95.08     97.40     63.76     10.57     99.40     68.28     94.69     99.99     82.10 
    81.97     4.065514  0.999905        99.60     95.08     97.40     63.76     10.57     99.40     79.93     95.49     96.41     82.11 
    82.00     4.092285  0.997074        99.60     95.08     97.40     63.76     10.57     99.40     79.49     95.49     97.12     82.08 
    82.09     4.068158  0.995673        99.60     95.08     97.40     63.76     10.57     99.40     79.43     95.49     98.09     82.11 
    79.79     4.145431  0.996725        99.60     95.08     97.40     63.76     10.57     99.40     79.25     95.42     75.51     81.95 
    79.77     4.152375  0.994137        99.60     95.08     97.40     63.76     10.57     99.40     78.92     95.42     75.49     82.10 
    79.79     4.138061  0.994705        99.60     95.08     97.40     63.76     10.57     99.40     79.04     95.42     75.51     82.12 
    81.92     4.059767  0.998182        99.60     95.08     97.40     63.76     10.57     99.40     79.75     95.49     96.06     82.10 
    81.94     4.006590  0.997899        99.60     95.08     97.40     63.76     10.57     99.40     79.93     95.56     96.03     82.08 
    81.95     4.080708  0.997895        99.60     95.08     97.40     63.76     10.57     99.40     79.64     95.49     96.47     82.09 
    81.88     4.124707  0.998518        99.60     95.08     97.40     63.76     10.57     99.40     79.53     95.49     95.86     82.08 
