constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    81.46     0.500000  0.653554        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.69     75.50     82.09 
    83.56     1.056028  0.722103        99.60     95.08     97.40     63.76     10.57     99.40     90.63     97.05     99.99     82.10 
    79.95     2.998200  0.726061        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.24     99.99     82.08 
    83.42     0.908549  0.622572        99.60     95.08     97.40     63.76     10.57     99.40     89.39     97.05    100.00     81.96 
    81.40     0.500000  0.544025        99.60     95.08     97.40     63.76     10.57     99.40     93.81     96.76     75.51     82.07 
    79.87     2.536969  0.559237        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.44     99.99     82.09 
    77.42     2.578971  0.588344        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.58     75.51     81.96 
    81.37     0.500000  0.512130        99.60     95.08     97.40     63.76     10.57     99.40     93.52     96.84     75.51     82.07 
    82.27     0.500000  0.732983        99.60     95.08     97.40     63.76     10.57     99.40     94.05     96.62     75.50     90.77 
    81.30     0.743271  0.647598        99.60     95.08     97.40     63.76     10.57     99.40     92.68     96.91     75.51     82.09 
    80.03     1.750991  0.608053        99.60     95.08     97.40     63.76     10.57     99.40     56.34     96.25     99.98     81.96 
    78.81     1.713301  0.681893        99.60     95.08     97.40     63.76     10.57     99.40     68.25     96.62     75.50     81.97 
    81.79     0.500000  0.669586        99.60     95.08     97.40     63.76     10.57     99.40     94.41     96.69     75.49     85.48 
    82.07     0.500000  0.700245        99.60     95.08     97.40     63.76     10.57     99.40     94.26     96.62     75.51     88.54 
    80.12     1.082311  0.617293        99.60     95.08     97.40     63.76     10.57     99.40     80.59     97.20     75.51     82.07 
    83.92     0.500000  0.662817        99.60     95.08     97.40     63.76     10.57     99.40     94.45     96.69     99.99     82.21 
    81.84     0.500000  0.691189        99.60     95.08     97.40     63.76     10.57     99.40     94.30     96.69     75.51     86.10 
    80.04     1.740918  0.588069        99.60     95.08     97.40     63.76     10.57     99.40     56.34     96.18    100.00     82.09 
    79.88     1.224842  0.614716        99.60     95.08     97.40     63.76     10.57     99.40     78.40     96.98     75.49     82.09 
    84.54     0.518388  0.719543        99.60     95.08     97.40     63.76     10.57     99.40     94.24     96.69    100.00     88.69 
    81.46     0.500000  0.647041        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.69     75.50     82.10 
    82.55     1.444280  0.734738        99.60     95.08     97.40     63.76     10.57     99.40     80.59     97.05    100.00     82.09 
    81.01     1.140340  0.737306        99.60     95.08     97.40     63.76     10.57     99.40     89.79     97.05     75.49     81.97 
    79.95     1.267641  0.643185        99.60     95.08     97.40     63.76     10.57     99.40     79.01     97.05     75.51     82.08 
    84.74     0.500000  0.739425        99.60     95.08     97.40     63.76     10.57     99.40     94.03     96.62     99.98     90.94 
    84.93     0.500000  0.781687        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62    100.00     92.40 
    81.81     0.771876  0.827830        99.60     95.08     97.40     63.76     10.57     99.40     94.46     96.76     75.49     85.53 
    81.42     0.650953  0.730283        99.60     95.08     97.40     63.76     10.57     99.40     94.11     96.69     75.51     82.12 
    82.49     0.500000  0.828121        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62     75.50     92.44 
    83.64     1.176616  0.782488        99.60     95.08     97.40     63.76     10.57     99.40     91.48     97.05     99.99     82.08 
    81.39     0.925941  0.771061        99.60     95.08     97.40     63.76     10.57     99.40     93.60     96.91     75.50     82.10 
    82.48     0.500000  0.823806        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     75.49     92.39 
    84.64     0.548468  0.752189        99.60     95.08     97.40     63.76     10.57     99.40     94.20     96.69     99.98     89.71 
    82.20     0.500000  0.729756        99.60     95.08     97.40     63.76     10.57     99.40     94.12     96.62     75.49     90.00 
    81.32     0.924053  0.755109        99.60     95.08     97.40     63.76     10.57     99.40     92.91     96.91     75.51     82.09 
    84.84     0.500000  0.763717        99.60     95.08     97.40     63.76     10.57     99.40     93.94     96.62    100.00     92.02 
    81.42     0.751625  0.787963        99.60     95.08     97.40     63.76     10.57     99.40     94.09     96.76     75.50     82.08 
    83.76     1.026342  0.786510        99.60     95.08     97.40     63.76     10.57     99.40     92.80     96.91     99.99     82.10 
    82.31     0.500000  0.748285        99.60     95.08     97.40     63.76     10.57     99.40     93.99     96.62     75.50     91.14 
    81.41     0.870000  0.778823        99.60     95.08     97.40     63.76     10.57     99.40     93.91     96.84     75.50     82.08 
    84.84     0.500000  0.770228        99.60     95.08     97.40     63.76     10.57     99.40     93.91     96.62    100.00     92.06 
    84.84     0.516445  0.772624        99.60     95.08     97.40     63.76     10.57     99.40     93.95     96.62    100.00     92.01 
    83.86     0.817101  0.756405        99.60     95.08     97.40     63.76     10.57     99.40     93.92     96.84     99.98     82.10 
