constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       25.63      0.01836         0.56     78.72     82.64     -5.28    -24.22      5.88     -3.78     25.86     81.28     14.64 
    52       34.52      0.03332        35.60     98.03     92.08     10.19    -16.89     11.52     -1.43     24.39     85.22      6.54 
    53       36.35      0.01887        16.48     98.72     98.88      9.55      7.33     11.56     -3.56     34.23     82.39      7.93 
    54       39.38      0.09300        68.88     80.27     81.44     18.19      7.33     15.20      4.57     24.25     83.53     10.12 
    55       38.86      0.06794        54.32     94.08     71.44     18.83     -0.89      8.68      8.60     28.86     90.42     14.30 
    56       38.09      0.07816        72.00     89.49     83.84     -8.27      0.00      8.56     11.81     30.21     85.23      8.00 
    57       43.54      0.10731        70.00     77.39     84.24     19.04     33.33      6.16      9.78     34.23     83.35     17.88 
    58       39.85      0.14041        67.84     80.64     72.56     27.68     20.89      5.60     -4.70     32.48     79.68     15.83 
    59       37.59      0.07753        52.64     88.75     84.00      4.21     16.22      2.96      1.65     30.62     85.36      9.46 
    60       39.47      0.07746        68.24     93.81     93.68      5.49    -17.33     13.12      8.63     29.82     84.71     14.54 
    61       35.96      0.14657        65.60     85.12     80.80     19.15    -32.44     10.36      7.02     33.53     79.30     11.19 
    62       33.03      0.07723        57.44     95.89     75.76     -4.96    -17.11      8.96     -7.27     28.16     88.59      4.79 
    63       38.74      0.13907        70.96     81.12     64.56     12.11     17.78      4.32     10.16     31.83     83.06     11.56 
    64       33.92      0.12726        54.72     75.57     74.48      9.65     -7.78     14.40      3.17     25.03     82.73      7.23 
    65       40.15      0.08737        59.68     94.35     81.84     19.68     -2.00      5.16      5.52     34.95     89.19     13.11 
    66       43.66      0.07984        65.44     89.01     87.20     25.12     10.22     14.44      3.68     32.84     85.11     23.58 
    67       40.65      0.07829        64.64     89.92     76.96     16.69     12.67     12.48      2.22     30.18     88.72     12.00 
