constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    51       60.92      5.27418        83.20     64.13     93.40      9.07     67.22     67.80     70.63     78.33     60.63     14.81 
    52       50.19      5.38038       104.60     59.47     72.60     -2.13     12.78     44.00     49.92     75.78     63.76     21.11 
    53       51.23      4.35681        95.40     48.53     74.60     28.80      8.33     70.40     44.68     74.91     56.19     10.43 
    54       55.43      6.31291        83.00     70.40     70.00      8.80     49.44     31.20     62.30     70.62     71.88     36.60 
    55       51.83      5.93046        77.40     72.13     68.80     29.60      2.78     37.40     51.19     79.82     70.61     28.52 
    56       51.41      5.37691        96.80     67.20     80.20      6.67      1.11     52.80     52.30     75.56     62.49     18.95 
    57       50.22      5.34394        82.60     61.73     77.40     -0.80     -1.67     58.00     55.87     73.02     68.39     27.65 
    58       55.75      5.37358        89.80     74.80     68.00     28.80     16.11     61.90     54.92     75.89     65.90     21.36 
    59       51.14      6.14516        62.40     78.93     77.40      6.93      3.33     47.40     52.94     74.95     68.71     38.40 
    60       51.22      4.48742        88.00     55.47     80.20     21.33     13.33     63.60     45.40     75.45     59.23     10.19 
    61       49.39      5.25005        92.00     60.80     56.00     11.47     -1.67     56.70     41.67     80.76     68.16     28.02 
    62       52.36      5.68830       100.80     63.60     65.00     20.00     -0.00     56.90     53.02     70.44     64.13     29.75 
    63       53.31      5.47474        88.80     63.07     60.80     38.67     -1.67     59.20     64.37     74.76     69.89     15.19 
    64       52.01      6.10588        94.40     64.53     68.20     26.67    -12.78     51.50     57.78     70.55     73.33     25.93 
    65       55.12      6.09024        91.00     65.47     65.20     18.67     36.67     41.00     53.81     75.45     71.20     32.72 
    66       55.51      4.98730        89.80     65.73     80.40     21.07      7.22     70.30     52.46     71.71     73.42     22.96 
    67       49.91      5.55406        78.40     69.20     78.80     10.40     -8.89     57.90     49.37     70.69     66.39     26.79 
    68       46.27      5.42298        97.20     84.13     58.00      1.60    -40.00     36.20     51.67     82.36     68.03     23.52 
    69       46.45      5.06136        82.00     64.27     68.80     10.93    -20.00     47.00     52.30     80.15     63.49     15.56 
    70       53.29      5.20096        98.80     63.07     67.80      8.27     35.56     52.30     42.06     76.11     70.11     18.83 
    71       52.83      5.70358        86.60     81.07     80.40     -5.33     -2.22     63.00     53.57     73.16     69.57     28.46 
    72       53.97      4.45094        88.00     62.13     74.40     30.93     37.22     70.70     39.76     79.75     48.25      8.52 
    73       46.96      4.69800        82.80     78.93     55.60     -2.67     -8.89     62.70     46.19     76.22     66.89     11.79 
    74       54.12      5.50013        84.40     84.93     74.40     10.93     28.33     60.40     28.02     76.47     71.20     22.10 
    75       46.75      4.63483        83.40     69.73     64.80     -1.07      1.67     58.40     42.22     84.33     50.11     13.95 
    76       49.84      5.52876        97.00     69.73     78.60     15.20    -10.56     38.50     47.54     79.67     63.54     19.14 
    77       49.37      5.17286        68.20     94.67     69.20     20.00     -8.33     41.20     36.75     74.04     72.11     25.86 
    78       48.67      4.89513        85.00     65.33     74.80     -0.53     15.00     49.00     38.17     73.35     69.30     17.28 
    79       51.84      5.28736        76.40     67.87     67.20     21.87     23.33     57.20     52.30     75.71     59.59     16.91 
    80       50.86      5.46665        88.80     80.00     54.20     17.60    -17.78     59.60     55.40     77.42     67.17     26.23 
    81       50.37      5.56655        80.60     56.67     74.00     18.93      8.33     46.00     57.06     74.25     63.67     24.14 
    82       51.31      5.17583        93.00     67.33     63.00      6.13     13.33     51.50     48.41     78.33     73.38     18.70 
    83       51.09      4.98575        90.20     76.80     65.60     17.60      5.00     51.90     43.57     75.49     68.48     16.23 
    84       49.96      5.05386        66.80     64.67     65.60     18.40     31.67     42.00     48.97     75.96     68.53     17.04 
    85       49.52      5.02553        95.20     69.73     68.40    -10.40     -1.67     64.30     49.76     77.35     64.08     18.40 
    86       48.51      5.11640        84.80     59.73     85.60     -6.40      0.56     49.20     49.29     78.80     66.76     16.79 
    87       48.02      5.04351        77.80     57.47     67.60     15.47    -10.56     79.70     39.05     79.09     62.63     11.98 
    88       58.29      5.01142        90.60     71.73     79.20     32.80     40.00     52.80     51.51     78.44     67.89     17.90 
    89       54.03      5.27453        88.80     60.00     86.00     14.67     15.56     61.30     46.75     79.05     69.71     18.46 
    90       49.43      5.20050        74.60     72.53     67.40     -0.80     -6.67     65.70     54.13     76.36     65.53     25.49 
    91       51.97      4.70798        82.00     60.93     76.00      4.80     13.89     71.00     49.37     76.95     65.03     19.69 
    92       50.92      5.01315        69.40     74.67     77.00      2.13     40.56     51.70     41.27     79.42     59.18     13.89 
    93       51.22      4.98600        93.20     64.00     64.80     13.07     10.56     58.40     51.27     78.80     62.09     16.05 
    94       45.32      4.98021        80.60     85.07     79.80      8.80    -26.67     53.90     31.98     71.64     57.91     10.19 
    95       52.41      4.97608        94.00     75.87     78.20     15.73      2.78     50.60     54.60     71.64     68.30     12.35 
    96       47.21      4.99752        80.40     58.00     51.20     -6.13     13.33     64.50     56.98     76.69     67.03     10.06 
    97       49.76      5.01604        76.40     76.00     84.80      9.07    -13.33     49.60     56.67     80.55     61.22     16.60 
    98       49.25      4.97745        93.00     67.60     51.60     41.60      0.56     47.10     40.48     71.60     65.49     13.46 
    99       51.99      5.00018        88.20     63.87     67.60      4.53     12.78     62.40     51.43     83.53     65.85     19.69 
   100       50.11      5.02763        94.40     51.07     81.00     -1.07      6.11     54.90     54.60     72.00     69.02     19.07 
   101       49.51      4.99977        61.60     56.13     88.60     11.20     -5.56     63.90     54.05     73.96     71.93     19.32 
   102       50.96      5.01142        89.80     78.40     71.60     20.53      0.00     46.20     35.56     78.36     75.65     13.52 
   103       47.66      5.66862        83.60     66.00     84.60     11.73    -23.33     48.60     54.05     66.18     64.72     20.49 
   104       54.49      7.65920        83.40     63.07     69.60     30.40     11.11     53.10     54.92     70.25     71.02     38.02 
   105       48.81      9.76907        89.00     66.00     58.20     10.67     25.56     16.10     44.92     58.40     76.37     42.84 
   106       49.23      6.86772        59.60     92.13     63.60     11.47     11.67     37.40     45.32     72.47     72.97     25.68 
   107       52.40      5.65486        83.80     71.33     66.40     30.93      7.78     51.60     46.27     78.65     69.48     17.72 
   108       49.74      7.91362        43.60     80.67     75.80     18.13     13.89     27.10     59.29     73.93     73.70     31.30 
   109       49.27      8.60777        95.60     70.27     80.60      6.67    -18.33     38.80     56.43     63.53     73.11     25.99 
   110       53.07      8.28014       101.40     66.80     75.00     14.40    -20.00     58.80     49.37     73.05     71.66     40.25 
   111       52.39      7.27700        92.20     70.67     70.00     34.67      7.22     27.10     47.78     62.98     73.65     37.59 
   112       50.85      6.15043        82.00     64.80     66.00      6.13     15.00     48.40     51.03     73.78     72.52     28.83 
   113       40.85      4.31967        75.60     58.27     64.20     10.67    -30.00     73.90     30.79     68.15     50.57      6.36 
   114       49.68      5.33604       105.60     73.20     57.60      0.00     -4.44     49.90     51.59     75.49     67.35     20.49 
   115       39.73      3.42330       103.00     21.47     65.00    -11.73     -1.67     85.30     30.95     71.67     26.53      6.73 
   116       31.76      2.78762        79.60      8.27     66.00     -0.00    -31.67     76.80     17.06     69.78     23.54      8.21 
   117       30.21      1.41267        91.00     12.67     34.20     10.93    -12.78     72.50     18.02     62.00     14.15     -0.56 
   118       31.05      2.21230        75.60     17.07     42.40     -5.07      6.11     68.00     20.56     64.58     15.60      5.62 
   119       27.65      0.95751        89.80     15.47     35.40     -5.07    -23.89     74.40     18.02     58.15     13.51      0.74 
   120       35.36      3.02389       101.40     21.47     68.00      0.27    -25.00     69.70     17.86     67.53     23.95      8.46 
   121       42.12      3.02998        91.00     22.67     65.00    -16.27     31.67     86.30     29.05     70.73     28.30     12.72 
   122       26.06      1.41856        53.40     18.00     42.00     -3.20     -2.22     68.40      6.75     58.55     14.20      4.69 
   123       37.27      2.20984        79.20     20.80     31.00      4.27     60.00     78.00     15.24     66.33     16.05      1.85 
   124       34.35      0.60619        76.80     16.80     45.40     10.13     24.44     69.70     19.76     61.16     14.74      4.57 
   125       25.72      1.75055        89.60     17.07     41.20    -25.60    -45.00     78.70     19.21     58.40     13.92      9.69 
   126       37.38      3.21758        96.60     26.00     56.20     19.47    -21.67     67.90     17.46     74.47     26.03     11.30 
   127       29.63      2.02955        72.60     11.20     35.20      0.53     -3.33     76.10     21.03     60.58     15.96      6.42 
   128       36.22      2.77209        83.40     22.67     61.20    -12.00     17.78     70.60     17.22     71.60     21.45      8.27 
   129       43.72      4.36367        73.20     54.00     71.00     15.47    -17.22     58.70     33.33     81.49     56.51     10.68 
   130       49.23      5.43426        78.40     74.80     74.00     22.93    -11.67     45.60     48.17     74.15     66.80     19.14 
   131       51.06      4.69073        82.80     64.80     64.20     29.33      2.78     60.70     42.30     80.76     64.44     18.46 
   132       51.52      5.15734        60.60     64.93     69.20     40.00      8.89     63.40     61.90     73.35     60.68     12.28 
   133       49.17      4.43659        65.20     64.40     69.80      6.93     41.11     62.60     40.63     78.98     56.19      5.86 
   134       46.19      5.62394        75.40     67.07     79.80      0.27    -38.33     48.80     56.51     71.09     70.66     30.62 
   135       52.95      5.14341        93.00     84.67     70.40     20.53     -4.44     53.00     51.67     82.25     64.90     13.52 
   136       52.00      4.55369        86.80     64.67     68.60     15.47      8.89     62.20     54.29     80.36     66.35     12.35 
   137       39.34      3.38605        74.80     41.20     66.40     23.47    -11.11     62.40     21.90     68.04     37.28      9.01 
   138       46.87      4.42416       101.40     65.73     69.40      7.73    -22.22     67.40     47.70     82.55     41.68      7.28 
   139       41.84      3.79423       102.40     51.47     70.20     -0.80    -16.67     69.60     37.14     73.67     30.98      0.43 
   140       48.66      4.92759        96.20     72.67     71.60     -3.20      1.11     50.50     39.29     76.80     67.98     13.64 
   141       48.72      5.81342        68.40     58.80     65.40      2.67      8.89     50.50     51.59     78.55     66.08     36.36 
   142       50.35      6.83112        90.20     83.07     63.20     19.47     -6.67     38.80     46.75     73.60     71.61     23.46 
   143       53.13      6.42721        92.80     69.60     68.20     11.73     42.22     28.20     52.06     67.75     73.88     24.88 
   144       51.38      6.38457        89.00     67.47     66.60     15.47     13.33     38.40     56.67     68.62     68.71     29.57 
   145       49.88      5.18685       103.20     70.93     79.00    -15.47     -1.11     56.10     44.68     71.75     67.12     22.59 
   146       55.55      7.18503        86.20     70.93     82.60     22.93     21.11     38.90     46.83     73.89     75.51     36.60 
   147       55.11      6.07909        94.20     84.53     96.40     13.60    -15.56     46.00     60.87     70.58     67.85     32.59 
   148       53.21      6.93939        98.40     64.93     65.60      1.87     27.78     41.20     52.14     73.93     72.65     33.58 
   149       50.84      6.60253        89.60     67.87     66.80     26.40     13.33     33.90     45.32     75.35     67.39     22.47 
   150       50.89      7.61401        89.60     58.80     69.80     30.40    -16.67     41.00     61.27     71.05     78.78     24.88 
   151       48.31      7.09523        91.20     52.00     80.60     -5.07      5.56     31.40     48.02     73.71     73.38     32.28 
   152       48.55      7.77542        81.20     80.53     73.20     12.27    -10.56     30.50     40.32     72.25     74.47     31.36 
   153       43.66      8.55121        61.60     67.87     60.80     20.80    -41.11     32.10     61.27     70.51     72.06     30.68 
   154       55.97      9.27793        97.20     71.60     75.00      4.27     41.67     46.40     56.19     62.40     72.38     32.59 
   155       48.29      8.30129        82.20     73.20     62.00     22.93    -25.00     25.70     67.70     70.44     72.79     30.93 
   156       51.74      8.19324        90.60     70.67     74.20     15.73      7.22     18.00     58.73     70.07     69.66     42.47 
   157       55.59      8.47624        92.80     68.53     71.20     29.07      4.44     50.40     57.78     69.05     72.97     39.63 
   158       51.72      7.97702        93.60     88.40     75.60     18.67    -20.00     44.40     39.44     71.45     70.61     35.06 
   159       52.47      8.82181        74.40     72.67     82.40      6.13     35.56     36.60     51.19     66.91     70.07     28.77 
   160       58.68      8.38714        99.40     74.93     80.00     37.33     10.56     58.70     57.78     64.62     72.43     31.05 
   161       49.34      9.24681        86.20     65.60     70.40      7.73    -16.11     52.90     55.40     67.75     67.76     35.74 
   162       56.62      9.44656        91.40     73.73     69.20     16.53     41.67     35.80     61.11     66.22     77.78     32.72 
   163       49.85      9.07023        89.00     65.73     88.60     14.93      8.33     24.10     46.43     60.80     68.93     31.67 
   164       48.95      9.35387        76.00     73.73     68.00     33.07    -12.22     46.80     53.41     57.56     66.89     26.30 
   165       53.01      9.87072        89.40     80.27     70.20     19.20     -2.78     43.40     57.46     62.51     71.66     38.77 
   166       50.32      8.61295        98.60     65.20     74.40     18.13    -22.78     44.10     58.10     60.80     71.56     35.06 
   167       43.79      9.34414        83.00     84.53     68.60      8.80    -25.00      8.80     43.65     59.35     71.66     34.51 
   168       49.84      9.54390        83.20     81.33     59.60     25.07     -6.11     38.80     57.62     59.75     71.16     27.96 
   169       49.54      9.32412        83.60     72.00     71.00     -6.67     -0.00     33.20     59.92     64.18     78.37     39.81 
   170       47.17      9.89829        78.80     69.20     73.00     -4.80    -15.56     38.90     63.73     58.29     70.57     39.57 
   171       47.40      9.19365        88.60     56.13     59.20     18.13     -0.00     40.10     44.84     67.02     72.56     27.41 
   172       49.53      9.86626        85.00     63.07     88.80     10.93    -16.11     41.10     52.30     59.38     75.56     35.25 
   173       50.18      9.23521        91.60     72.00     84.60     18.13    -26.67     37.70     55.56     66.22     74.47     28.15 
   174       43.10      9.44339        98.80     58.00     57.60      4.00    -36.67     38.60     48.10     65.45     69.25     27.84 
   175       48.47      9.38747        81.60     75.60     71.80     -5.60      3.33     54.70     49.76     60.73     68.62     24.14 
   176       53.82      9.30075        70.00     76.80     61.20     26.13     25.56     52.30     53.73     66.47     69.30     36.73 
