constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  
BanditTestBatch: numCases: 11
BanditTestBatch: maxim sum reward: 4919.0
BanditTestBatch: random reward: 3305.0

    30.39     0.100000 
    14.56     0.000000 
    25.63     0.109215 
    12.13     0.000000 
    31.43     0.072668 
    13.10     0.000000 
    15.87     0.008761 
    35.37     0.160572 
    31.44     0.260689 
    25.46     0.287488 
    26.39     0.259756 
    26.53     0.249373 
    23.91     0.457061 
    23.61     0.357397 
    23.52     0.411830 
    18.14     0.460179 
    22.31     0.407438 
    34.22     0.229113 
    23.67     0.285300 
    33.50     0.158416 
    31.46     0.374322 
    22.75     0.334281 
    31.63     0.184709 
    31.84     0.297252 
    29.48     0.246916 
    28.35     0.365386 
    21.83     0.458929 
    27.81     0.259277 
    27.41     0.369434 
    30.87     0.258765 
    26.24     0.265351 
    27.62     0.156502 
    31.34     0.142798 
    25.86     0.282935 
    29.22     0.189941 
    28.15     0.087222 
    14.25     0.000000 
    31.77     0.180936 
    28.73     0.024931 
    26.37     0.208368 
    27.16     0.014642 
    27.34     0.153605 
    30.27     0.098703 
    32.09     0.044085 
    28.34     0.033229 
    33.17     0.159933 
    26.87     0.123362 
    30.75     0.113955 
    25.92     0.017407 
    24.18     0.246593 
    27.81     0.131358 
    28.03     0.055320 
    32.19     0.107203 
    26.77     0.178265 
     8.29     0.000000 
    29.63     0.106724 
    27.52     0.162984 
    30.23     0.056331 
    12.64     0.000000 
    29.41     0.106035 
     9.64     0.000000 
    29.80     0.058331 
    34.10     0.113643 
    30.51     0.162460 
    25.40     0.067801 
    28.16     0.065658 
    27.65     0.042283 
    30.93     0.178337 
    27.28     0.146774 
    27.82     0.154402 
    28.00     0.189328 
    27.24     0.056062 
    26.85     0.065467 
    35.19     0.117619 
    31.73     0.097419 
    29.27     0.172927 
    27.95     0.063873 
    32.14     0.139787 
    32.97     0.094457 
    27.09     0.073899 
    33.19     0.120493 
    27.72     0.138794 
    30.30     0.136322 
    28.07     0.107731 
    31.52     0.112367 
    30.04     0.123094 
    34.03     0.094469 
    28.20     0.068613 
    31.07     0.110700 
    27.33     0.100409 
    33.11     0.092765 
    31.19     0.093198 
    29.08     0.092632 
    26.51     0.095140 
    28.14     0.094703 
    33.01     0.098760 
    25.60     0.101984 
    31.11     0.096583 
    29.64     0.100419 
    33.65     0.093812 
    29.38     0.092941 
    29.92     0.093812 
    13.73     0.000000 
    22.86     0.057264 
    29.30     0.172164 
    23.93     0.224773 
    25.85     0.272258 
    23.84     0.302084 
    25.21     0.306725 
    26.47     0.166312 
    14.41     0.000000 
    22.09     0.020773 
    21.94     0.035693 
    29.14     0.113964 
    19.52     0.010016 
     6.97     0.000000 
    25.97     0.051821 
    15.96     0.000000 
    31.41     0.171884 
    30.53     0.098816 
    26.88     0.250962 
    21.47     0.450165 
    29.96     0.284079 
    25.32     0.421482 
    22.86     0.417667 
    25.55     0.254649 
    31.25     0.354267 
    29.04     0.264848 
    27.56     0.233052 
    24.88     0.057060 
    26.65     0.158852 
    24.71     0.314906 
    14.27     0.000000 
    27.94     0.088178 
    37.16     0.178321 
    26.32     0.174959 
    33.11     0.038371 
    12.67     0.000000 
    33.06     0.152297 
    23.36     0.100149 
    22.64     0.073111 
    10.50     0.000000 
    26.41     0.117231 
     9.18     0.000000 
    27.85     0.028695 
     7.44     0.000000 
    28.45     0.147469 
    33.76     0.211396 
    27.77     0.175676 
    31.47     0.132358 
    29.68     0.345123 
    25.53     0.327596 
    30.76     0.168948 
    27.62     0.267600 
    32.81     0.245955 
    20.35     0.331876 
    27.30     0.153033 
    26.06     0.336510 
    28.50     0.194051 
    26.97     0.167260 
    29.58     0.248784 
    26.62     0.138456 
    30.83     0.188712 
    30.31     0.104687 
    24.65     0.020140 
