constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    16    52523.69   2328.81     91.28     51.00           92.12     65.58     71.38     48.83     40.97     41.63     48.16     56.43     85.29     49.88    100.16     97.03    -75.00     99.20     31.25     19.17     60.62     18.75     50.13     13.33     66.00     74.12     89.43      9.44     53.19     36.69     41.33     49.67     33.53     55.63     87.05     16.46     11.84     75.31     68.27     55.61     48.59 
    17    52489.35   2363.15     91.21     50.81           93.88     65.10     73.53     47.14     38.56     39.82     49.49     52.94     85.01     49.89    100.18     97.35    -47.06     99.20     22.35     15.29     59.76     22.35     49.53     16.24     60.94     74.26     89.73     12.58     53.19     36.98     36.47     37.41     30.79     56.44     87.23     13.30     14.58     74.54     67.53     55.18     48.43 
    18    52486.56   2365.94     91.15     50.28           88.22     65.78     72.33     46.67     40.43     39.94     49.25     52.91     84.33     51.17    100.25     97.22    -57.78     99.20     21.11     11.11     57.78     22.22     45.67     18.07     64.89     74.17     89.46     10.32     53.19     38.60     40.74     31.11     32.35     56.55     86.62     15.25     14.54     74.92     67.05     55.88     48.88 
    19    52497.68   2354.82     91.12     50.10           89.47     65.47     68.95     48.21     41.23     37.21     47.20     54.18     84.01     52.60    100.24     97.11    -56.84     99.20     18.95     16.49     58.32     14.74     46.00     22.95     58.32     74.58     90.10     13.92     53.20     38.36     34.18     31.37     33.99     56.02     86.64     17.69     12.82     75.55     66.68     55.00     49.43 
    20    52490.60   2361.90     91.11     49.74           90.90     66.73     68.70     44.53     38.89     38.80     47.06     54.11     84.63     53.36     99.78     97.75    -68.00     99.20     12.00     16.67     56.90      9.00     52.30     23.73     58.00     74.50     89.95     14.40     53.20     39.75     35.20     33.73     33.27     58.61     86.71     15.55     14.47     74.90     66.15     54.79     50.03 
    21    52490.48   2362.02     91.04     49.26           91.14     66.22     68.86     41.84     37.04     38.76     46.94     53.87     84.06     52.97     99.33     97.62    -76.19     99.20     17.14     12.38     58.76      7.62     58.29     24.44     53.14     74.62     90.21     14.92     53.19     39.96     28.51     28.76     36.27     57.52     86.75     13.40     16.87     74.74     65.80     55.78     51.72 
    22    52495.82   2356.68     91.02     49.39           89.55     66.48     68.36     43.52     36.36     39.45     46.32     53.75     84.42     52.05     99.30     97.05    -69.09     99.18     17.27      9.09     61.64      7.27     60.45     22.18     48.00     74.70     90.70     12.89     53.18     39.97     29.45     31.39     36.83     59.63     86.68     15.98     15.28     74.47     65.68     55.95     52.12 
    23    52493.00   2359.50     90.93     49.45           89.39     66.90     69.13     44.23     32.61     42.00     46.38     54.01     84.21     51.48     99.39     96.85    -59.13     99.18     20.87      2.61     62.52      0.87     60.87     21.51     50.26     75.02     90.23     13.74     53.18     40.15     27.07     33.91     36.37     58.24     86.42     15.05     16.05     74.94     65.36     56.09     51.69 
    24    52498.67   2353.83     90.92     49.14           89.50     66.89     66.83     40.67     30.32     42.08     46.99     54.36     83.92     51.54     99.38     96.88    -56.67     99.18     15.83      7.22     61.67     -2.50     65.25     16.67     50.00     75.02     90.05     14.89     53.02     37.79     24.00     34.89     36.95     59.20     86.51     16.91     14.63     75.59     65.75     56.01     50.90 
    25    52513.68   2338.82     90.95     49.64           84.88     66.72     68.56     40.80     30.89     44.00     48.10     54.75     83.37     51.21     99.48     96.90    -48.80     99.18     13.60      7.20     62.96     -4.00     63.28     18.93     55.52     75.00     90.10     17.65     53.03     38.04     28.43     33.76     36.52     60.59     86.59     16.33     14.34     75.94     66.39     55.56     50.88 
