constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    16    52735.06   2117.44     91.02     49.98           73.00     68.08     67.50     20.50    -13.89     59.38     51.04     60.25     82.79     44.75    100.03     96.09     15.00     99.13     16.25    -31.67     46.75     -6.25     86.50     19.00     10.00     77.38     90.06      5.00     90.39     44.23     41.67     52.67     43.81     57.61     89.34     13.51     34.57     76.67     69.18     51.46     47.47 
    17    52749.82   2102.68     91.03     49.81           73.41     67.61     67.65     25.33    -21.57     60.65     50.93     60.94     82.93     46.44    100.09     95.88     22.35     99.13     16.47    -32.55     50.47     -5.88     82.00     16.86      9.65     77.56     90.81      4.84     90.39     42.99     33.02     52.94     43.05     58.53     89.14     12.63     31.48     76.04     70.00     52.99     47.86 
    18    52758.56   2093.94     91.11     50.73           74.78     67.41     68.33     29.78    -20.37     61.28     51.85     62.04     82.41     46.81    100.06     95.28     40.00     99.11     14.44    -28.89     51.00     -6.67     86.67     16.89      3.11     77.53     91.33      6.47     90.44     44.14     37.19     53.93     42.37     57.43     89.26     13.48     31.21     75.76     69.57     54.07     47.53 
    19    52744.21   2108.29     91.11     50.34           76.21     67.72     67.05     27.30    -18.42     62.89     51.42     59.37     82.05     46.10    100.26     94.74     30.53     99.12     13.68    -26.32     51.79     -5.26     80.11      8.63     -1.89     77.37     91.60      9.24     90.49     41.60     51.02     50.18     40.73     57.58     89.32     11.95     37.35     75.33     69.72     53.41     48.54 
    20    52739.60   2112.90     91.08     49.94           76.90     67.20     66.10     25.60    -20.56     60.95     51.87     59.75     81.61     47.28    100.25     94.62     32.00     99.12      9.00    -22.00     55.50     -9.00     79.90      7.47     -2.80     77.05     91.02     10.67     90.48     41.60     43.73     50.67     40.37     58.47     89.06     10.77     37.13     75.63     70.39     52.16     47.76 
    21    52749.57   2102.93     91.12     50.34           77.33     68.25     65.33     20.51    -18.78     59.43     52.57     60.26     83.03     47.24    100.26     93.57     36.19     99.12     10.48    -23.81     58.57    -10.48     81.14      9.08     -3.24     76.74     91.46     12.72     90.51     42.48     39.43     54.03     39.79     59.55     88.96     12.40     43.31     75.36     70.80     51.81     47.26 
    22    52755.82   2096.68     91.18     50.76           77.82     67.52     66.82     20.97    -20.20     58.36     53.07     60.18     82.87     48.77    100.23     93.64     36.36     99.13     11.82    -20.00     61.00    -11.82     82.27      8.61      4.36     76.66     91.04     11.84     90.55     42.15     35.27     58.06     40.10     60.44     88.90     11.86     43.13     75.86     70.11     52.44     48.12 
    23    52772.22   2080.28     91.32     51.41           78.26     68.70     69.22     24.17    -17.87     58.61     52.35     60.85     83.12     48.07    100.20     93.80     36.52     99.13     15.65    -14.78     62.35     -8.70     77.04      6.09     12.00     76.65     90.41     14.20     90.57     41.81     32.64     56.52     39.62     61.08     88.92     14.30     42.41     76.02     70.35     53.58     48.40 
    24    52772.50   2080.00     91.35     51.51           78.25     67.22     68.83     24.78    -15.51     56.71     53.41     60.29     83.01     49.49    100.02     93.85     40.83     99.13     10.00    -10.56     62.83     -6.67     76.50      7.22     13.67     76.69     89.96     14.52     90.58     42.10     33.11     54.11     40.77     59.86     88.75     12.50     40.69     76.57     70.49     53.24     48.61 
    25    52779.52   2072.98     91.32     51.30           78.96     66.29     69.04     25.12    -13.11     54.32     53.27     60.81     82.46     50.27    100.10     94.50     40.80     99.14     10.40    -12.53     62.96    -10.40     76.00      6.88      8.48     76.90     89.59     13.60     90.62     40.21     33.76     54.88     42.50     59.76     88.73     14.90     39.11     77.00     70.45     53.07     49.19 
    26    52783.42   2069.08     91.35     50.84           79.46     67.38     69.92     25.03     -9.19     55.12     52.78     60.92     81.74     51.09    100.10     94.23     31.54     99.14      6.92    -14.36     62.77     -6.15     75.08      4.00      4.92     76.81     89.63     13.57     90.62     41.16     29.64     54.26     40.73     59.03     88.76     15.70     38.63     77.26     70.83     52.55     49.35 
    27    52774.63   2077.87     91.27     50.11           79.11     67.90     70.37     23.95    -10.70     54.41     52.20     60.40     81.09     50.23    100.07     93.98     20.00     99.14      6.67    -16.05     63.78     -8.15     75.78      0.84      4.30     76.76     89.97     13.09     90.65     42.40     28.00     55.75     39.60     57.68     88.49     17.40     34.40     77.11     70.47     53.20     49.74 
    28    52770.75   2081.75     91.28     50.57           79.43     67.05     71.36     25.90    -10.52     56.21     51.59     60.65     80.68     49.10    100.11     94.20     25.71     99.14      9.29    -17.62     64.00     -7.86     73.86      1.90      3.71     76.70     90.13     12.76     90.67     43.03     29.33     58.00     40.45     57.46     88.55     17.41     39.13     76.64     70.28     53.50     49.19 
    29    52782.03   2070.47     91.34     50.70           78.69     66.30     72.14     25.98    -11.30     56.07     50.60     61.02     81.67     48.51     99.95     94.48     28.28     99.14      8.28    -14.94     64.28     -8.97     69.17     -0.78      9.79     76.88     90.32     14.54     90.69     40.82     28.74     59.36     40.15     57.05     88.63     18.89     40.68     76.96     70.58     53.95     49.30 
    30    52777.63   2074.87     91.38     51.30           79.13     66.36     73.40     26.04    -11.85     57.03     50.77     60.19     81.63     47.72    100.08     94.50     34.67     99.15     10.67    -12.89     65.40     -8.00     76.20     -4.09     12.00     76.72     90.24     15.02     90.71     40.64     29.24     60.53     39.07     55.02     88.66     20.32     43.40     77.32     69.91     54.05     49.09 
    31    52762.03   2090.47     91.30     50.52           79.29     65.76     73.10     27.66    -11.11     56.81     49.95     60.16     81.65     49.06    100.00     94.19     20.65     99.15     14.19    -15.27     67.16     -9.03     74.26     -5.98      8.90     76.58     90.38     16.39     90.72     37.05     26.80     61.46     38.14     54.14     88.58     20.73     38.54     76.84     69.52     54.02     48.76 
    32    52759.66   2092.84     91.31     50.38           80.12     65.88     73.44     26.92    -11.11     57.78     50.02     60.74     82.04     48.71    100.06     93.98     21.25     99.15     11.25    -15.42     66.50     -5.00     74.69     -7.92      8.25     76.61     90.47     17.89     90.69     37.85     23.00     63.83     36.74     52.88     88.56     19.87     35.97     76.62     69.74     53.13     49.01 
    33    52758.85   2093.65     91.30     50.30           81.09     65.41     72.73     26.46    -12.12     58.06     49.86     59.83     81.86     48.92    100.14     93.79     18.18     99.15     13.33    -13.13     66.85     -5.45     75.27     -8.20      6.91     76.58     90.59     18.01     90.68     37.66     20.73     65.17     37.58     53.02     88.59     18.59     35.88     76.74     69.63     53.25     49.45 
    34    52754.97   2097.53     91.29     49.95           77.41     66.43     72.41     26.43    -10.13     58.68     48.53     60.41     82.22     48.80    100.13     93.68     12.35     99.15     14.71    -12.94     65.88     -5.29     72.29     -7.61      4.47     76.72     90.39     16.97     90.70     36.76     18.27     65.49     37.60     52.68     88.58     19.26     38.05     76.90     69.46     53.23     49.13 
    35    52764.74   2087.76     91.27     49.86           77.60     65.83     71.89     25.94    -10.00     57.91     46.92     60.55     81.92     48.80    100.14     93.36     10.29     99.15     14.29    -12.00     64.34     -7.43     71.71     -6.82      9.71     76.89     90.69     19.70     90.69     36.69     18.25     61.30     39.12     53.21     88.66     18.63     36.44     77.15     69.81     53.78     49.69 
    36    52767.64   2084.86     91.31     50.01           78.00     64.00     72.67     25.78     -8.33     58.58     47.22     60.54     81.51     49.91    100.25     93.54     16.11     99.16     12.22    -10.37     64.72     -8.33     73.83    -11.26      9.11     77.03     90.12     20.00     90.71     36.38     16.59     61.11     39.46     53.16     88.61     19.47     37.41     77.06     69.87     54.54     49.83 
    37    52770.57   2081.93     91.28     49.89           76.00     63.24     72.54     22.09     -7.06     58.43     47.19     60.59     81.21     50.90    100.14     93.85     11.89     99.16     14.05    -12.43     66.92     -9.19     73.73     -8.47      7.68     76.86     90.12     20.43     90.72     36.22     16.32     62.88     40.16     53.20     88.55     18.78     37.46     77.17     69.90     54.59     50.22 
    38    52771.21   2081.29     91.30     50.24           76.79     62.98     73.89     22.32     -6.14     58.79     47.49     60.56     81.64     51.43     99.93     93.88     16.84     99.16     14.21    -13.33     66.47    -10.00     75.84     -6.32     10.74     76.91     90.19     21.22     90.71     36.06     16.91     59.65     39.38     53.88     88.53     17.73     38.52     77.34     69.52     54.79     50.21 
    39    52770.87   2081.63     91.33     50.19           78.00     62.22     74.82     21.16     -5.84     59.62     47.68     60.23     81.87     52.18     99.88     93.65      2.56     99.16     15.90    -13.16     66.62     -8.21     73.54     -3.32     12.21     76.86     90.49     22.64     90.72     35.76     19.52     61.98     36.66     53.74     88.58     18.69     39.85     77.21     69.62     54.53     49.43 
    40    52766.57   2085.92     91.32     50.58           77.75     61.37     74.60     22.00     -5.14     60.65     46.90     60.25     81.42     52.35     99.96     93.87      9.00     99.16     17.50    -13.67     65.85     -7.50     76.60     -1.40     14.60     76.99     90.34     24.00     90.69     35.78     19.60     62.27     37.62     53.49     88.26     17.28     38.40     77.05     69.75     54.46     49.22 
    41    52766.32   2086.18     91.35     50.39           77.85     61.56     74.54     22.60     -4.61     61.22     47.93     60.30     81.21     52.83     99.80     93.90     -5.85     99.16     20.00     -9.27     65.80     -7.32     75.41     -1.14     18.05     76.93     90.55     23.04     90.71     35.56     19.41     60.26     37.13     53.59     88.29     16.73     37.96     76.83     69.84     54.74     49.02 
    42    52770.21   2082.29     91.35     50.28           78.14     61.68     74.90     23.81     -3.84     60.98     47.77     60.13     81.00     52.81     99.77     93.99     -7.62     99.16     20.00     -9.84     66.00     -9.05     72.29     -1.59     18.67     76.86     90.54     21.44     90.69     35.85     18.35     61.27     37.29     54.41     88.34     17.71     37.39     77.01     69.78     55.19     49.07 
    43    52775.98   2076.52     91.36     50.40           78.37     61.40     74.56     24.59     -3.49     60.88     48.12     60.69     81.21     53.04     99.74     93.84    -10.23     99.16     21.86     -9.46     66.05     -8.84     73.07      1.09     16.28     76.80     90.43     22.73     90.68     35.79     18.20     62.05     36.97     54.43     88.33     19.31     36.10     76.78     69.95     55.05     49.30 
    44    52775.61   2076.89     91.35     50.47           78.45     62.45     75.23     25.45     -4.42     60.52     46.55     60.69     81.10     52.96     99.72     93.92     -4.09     99.16     19.55     -9.70     64.09     -9.09     73.27      2.24     18.91     76.74     90.39     23.52     90.70     36.17     17.58     61.39     36.53     54.32     88.32     20.40     33.56     76.67     70.18     55.10     48.97 
    45    52773.64   2078.86     91.37     50.56           79.02     61.42     75.87     25.93     -3.33     60.27     45.64     59.94     81.74     52.11     99.62     94.00     -6.22     99.16     20.44     -8.15     64.67     -7.11     71.47      5.66     17.51     76.86     90.35     22.96     90.69     36.51     15.79     62.96     36.41     54.61     88.30     21.29     34.11     76.85     70.12     54.53     48.86 
    46    52779.11   2073.39     91.43     50.89           78.65     61.80     75.74     26.78     -2.66     59.89     45.36     60.20     82.29     51.70     99.70     94.13     -9.57     99.17     21.30     -6.96     64.65     -4.35     74.30      7.13     18.09     76.97     90.59     23.01     90.70     36.80     17.10     63.25     36.08     54.28     88.27     21.52     36.31     77.13     69.82     54.81     49.00 
    47    52777.64   2074.86     91.43     50.98           79.32     62.13     74.81     27.94     -1.65     60.66     44.56     59.99     81.96     51.80     99.72     94.15     -8.94     99.16     20.85     -8.65     64.77     -2.98     75.11      9.05     22.38     76.98     90.91     23.03     90.69     36.48     15.97     61.93     35.10     53.97     88.31     20.86     35.29     76.95     69.92     54.65     49.22 
    48    52771.12   2081.38     91.42     50.78           79.71     62.08     75.33     28.94     -0.81     60.56     44.59     59.60     81.58     52.12     99.55     93.91    -12.50     99.16     19.58     -6.11     64.00     -2.50     76.13      8.11     19.33     76.90     91.09     22.93     90.72     37.13     14.22     61.94     35.09     53.77     88.36     19.96     33.91     76.70     69.86     55.03     48.73 
    49    52762.06   2090.44     91.38     50.52           79.84     62.78     75.22     30.01     -2.72     59.49     44.51     59.36     80.93     52.27     99.46     93.72    -11.43     99.16     18.37     -6.39     62.86     -3.27     73.67      9.17     19.84     76.91     91.21     22.43     90.72     36.87     11.89     61.96     35.21     54.60     88.39     19.13     33.50     76.52     69.66     54.90     48.55 
