constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  
MABsolver_config: params: weights:  [  0.708700  ]  [  42.830000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    16    52172.88   2679.62     91.21     53.42           89.62     78.92     76.38     10.83     11.46     52.62     59.18     73.50     81.94     29.13     98.50     97.03    146.25     99.60     -5.00     -1.67     73.50     32.50     41.88     24.50     31.00     30.28     89.34      1.89     90.80     30.31     87.33     36.83     39.78     76.05     14.56     22.57     27.39     81.26     76.39     35.61     34.30 
    17    52190.06   2662.44     91.19     52.55           90.24     77.02     74.82      8.55     10.13     53.82     58.36     73.26     81.70     29.30     98.35     96.76    129.41     99.60     -2.35      5.88     71.76     30.59     41.76     24.39     32.71     30.09     89.43      2.85     90.80     31.98     75.69     26.59     38.76     77.64     18.62     24.31     25.09     80.17     77.14     35.08     34.06 
    18    52160.06   2692.44     91.11     52.26           91.11     77.93     72.44     12.15      8.64     51.61     58.60     72.75     82.09     30.35     98.22     97.22    128.89     99.60     -1.11      5.19     74.33     27.78     45.33     22.96     28.89     30.17     88.98      3.90     90.80     31.62     69.78     27.11     41.17     77.61     16.65     22.80     23.05     79.76     76.30     34.38     34.44 
    19    52153.16   2699.34     91.05     51.61           92.42     79.51     69.37     11.16      9.06     53.05     58.48     71.39     81.64     30.21     98.18     97.50    126.32     99.60      1.05      2.46     68.84     25.26     49.47     21.68     26.32     30.24     88.73      7.93     90.80     30.72     56.91     27.72     39.94     76.24     14.72     23.30     22.23     80.59     76.81     35.12     34.63 
    20    52136.05   2716.45     91.07     51.17           93.00     80.60     71.20     15.33     14.17     56.55     60.24     72.09     81.86     29.94     98.22     97.38     97.00     99.60     -1.00      2.00     68.30     22.00     51.40     21.20     19.60     30.18     88.30      8.71     90.80     31.82     63.20     27.87     40.37     74.65     13.34     21.30     26.60     80.50     75.85     34.70     34.46 
    21    52163.00   2689.50     91.11     50.94           92.00     79.56     70.76     13.90     16.40     57.43     58.16     72.16     81.13     29.84     98.14     97.50     84.76     99.60     -3.81      1.59     70.48     23.81     45.14     16.83     15.81     30.21     88.57     11.37     90.80     33.39     64.57     31.05     42.15     75.39     17.18     23.62     29.94     80.63     75.08     34.96     34.63 
    22    52137.23   2715.27     91.03     50.45           90.55     78.91     72.18     14.06     17.42     58.91     57.40     71.42     80.25     29.85     98.23     97.50     75.45     99.60     -0.91      1.21     71.73     18.18     43.55     13.58     21.09     30.00     88.51     11.19     90.80     34.10     63.39     27.27     41.80     75.11     15.53     22.77     31.53     80.02     75.22     34.81     34.49 
    23    52106.17   2746.33     90.96     49.90           90.87     80.64     73.91     14.78     17.63     59.43     56.14     71.34     80.89     28.93     98.24     97.07     72.17     99.60     -3.48     -0.87     72.52     20.00     42.87     12.70     13.39     29.98     88.18     12.04     90.80     34.96     65.33     22.32     42.95     72.88     14.03     21.27     30.20     79.53     74.70     34.38     33.93 
    24    52139.17   2713.33     90.98     49.57           92.67     80.44     75.33     11.00     12.73     60.62     57.31     71.64     82.09     29.14     98.37     96.77     58.33     99.60     -1.67     -0.56     72.92     19.17     45.25     10.33      8.67     29.88     88.01     12.30     90.80     35.85     68.22     25.44     43.57     71.04     17.30     20.29     28.19     79.63     75.18     34.35     34.00 
    25    52134.08   2718.42     91.05     50.45           93.68     80.75     77.44     14.24     12.89     58.96     56.63     71.85     82.10     30.10     98.12     96.70     70.40     99.60     -0.80      2.93     72.32     19.20     52.72      8.27     14.56     29.90     88.10     12.39     90.80     36.71     74.29     23.84     41.50     71.52     15.67     18.48     26.85     79.85     75.32     34.56     34.31 
