constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    16    52809.62   2042.88     91.76     54.73           76.88     65.75     69.25     19.00     17.36     47.25     50.89     59.05     84.58     56.79     97.72     95.47     77.50     99.17     23.75      8.33     62.50     25.00     31.38     33.33     16.50     74.75     89.46     34.00     90.86     51.85     26.00     49.00     50.47     65.78     89.13     15.47     19.41     75.73     70.06     57.72     47.81 
    17    52804.76   2047.74     91.82     55.39           78.12     65.02     72.00     17.33     24.18     50.35     49.91     58.74     85.67     57.12     97.74     96.32     76.47     99.18     25.88      9.80     63.18     17.65     38.94     31.61     27.53     74.74     90.02     32.65     90.76     52.18     19.84     53.10     50.47     63.95     89.33     16.87     23.59     75.27     69.17     57.69     47.09 
    18    52819.94   2032.56     91.84     55.88           79.78     62.52     71.67     15.70     23.77     53.44     48.72     59.09     85.41     56.48     98.06     96.94     93.33     99.16     30.00      5.93     62.89     17.78     39.00     32.00     26.22     74.64     90.58     35.51     90.78     50.43     18.81     49.93     50.83     62.65     89.38     18.01     26.24     74.96     69.64     58.68     48.50 
    19    52809.05   2043.45     91.80     55.83           80.74     62.04     71.16     18.88     22.22     50.21     46.87     58.64     84.80     55.52     98.03     96.97     94.74     99.16     28.42      1.05     66.74     17.89     38.11     26.32     30.95     74.55     90.24     32.82     90.81     51.32     19.30     50.88     52.39     60.81     89.34     20.25     31.30     74.30     69.30     58.80     49.85 
    20    52792.85   2059.65     91.71     54.91           80.70     62.67     72.10     19.60     25.28     51.35     45.71     58.69     83.85     55.03     98.28     97.13     72.00     99.16     29.00     -6.00     65.00     17.00     33.40     28.40     30.40     74.92     90.20     33.96     90.82     51.32     16.00     51.47     51.78     61.68     89.30     21.81     29.47     73.55     68.92     59.00     48.74 
    21    52793.57   2058.93     91.69     55.12           82.10     61.52     70.48     20.13     21.16     49.33     46.41     58.55     83.24     55.88     98.29     97.26     71.43     99.16     29.52     -2.22     63.90     13.33     39.71     30.29     40.57     74.83     89.79     33.54     90.85     49.04     15.56     53.78     51.76     60.54     89.23     23.56     25.99     73.19     69.40     59.53     48.76 
    22    52788.41   2064.09     91.69     54.46           81.91     62.24     68.82     19.03     20.20     49.18     46.39     58.43     83.94     54.83     98.34     97.27     61.82     99.16     30.00     -1.21     63.91     16.36     39.73     25.58     32.73     74.82     89.25     32.77     90.89     49.03     13.45     54.67     50.51     60.94     89.44     21.46     27.47     73.57     69.15     59.71     49.33 
    23    52776.78   2075.72     91.69     54.82           81.39     65.22     69.57     20.58     17.15     46.13     46.41     58.07     83.10     55.42     98.24     97.07     71.30     99.17     33.91     -0.29     65.48     16.52     48.87     24.17     33.22     74.76     89.36     30.98     90.90     48.39      9.45     52.00     50.14     59.62     89.48     21.02     30.48     73.25     68.88     60.29     48.66 
    24    52780.33   2072.17     91.73     54.87           80.42     64.83     71.33     22.56     19.44     44.12     47.72     58.11     83.01     56.07     98.17     96.98     64.17     99.17     30.00      0.56     65.17     15.83     56.75     23.22     25.67     74.73     89.86     31.41     90.90     47.85     15.78     51.22     51.71     59.41     89.33     20.27     33.51     74.20     68.29     60.09     48.16 
    25    52781.60   2070.90     91.71     54.60           79.44     66.19     71.20     23.31     17.56     44.56     47.94     58.12     83.06     57.41     98.20     97.10     57.60     99.17     33.60     -0.27     64.64     13.60     55.60     23.20     24.16     74.68     89.84     31.31     90.89     47.59     17.76     49.55     50.43     59.60     89.25     18.91     34.00     73.98     68.90     60.23     47.80 
    26    52774.15   2078.35     91.63     53.90           78.77     66.82     70.69     24.31     14.74     43.00     47.71     58.50     82.77     56.89     98.12     97.21     54.62     99.17     35.38     -3.08     59.92     13.08     59.62     21.13     12.92     74.54     89.81     31.49     90.88     47.03     16.10     48.41     51.40     60.85     89.23     17.76     33.22     73.71     69.12     60.58     47.73 
    27    52787.81   2064.69     91.69     54.07           78.59     67.36     69.85     22.27     16.87     43.70     48.21     58.95     83.61     57.29     98.24     96.85     54.81     99.17     32.59     -4.69     60.52     14.81     57.78     24.54     13.78     74.50     89.62     33.63     90.90     47.51     18.52     46.07     49.05     60.07     89.26     19.10     35.11     73.79     69.61     60.61     48.16 
    28    52772.61   2079.89     91.67     54.37           79.43     67.57     72.43     22.10     19.44     44.71     48.81     59.03     83.50     56.99     98.05     96.52     59.29     99.16     36.43     -8.10     61.14     14.29     65.29     21.33     12.29     74.55     89.45     32.38     90.89     45.45     21.71     45.90     47.93     60.57     89.34     17.34     35.94     73.54     68.99     60.44     47.40 
