constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    16    52465.31   2387.19     91.21     46.81           91.62     75.83     78.00     11.50     -0.69     55.62     59.28     53.59     90.53     34.99     99.62     97.34    -31.25     99.60     -1.25      3.33     53.12     21.25     49.75     25.67     37.00     25.31     83.90     11.11     87.40     34.85     17.33      6.83     30.37     53.96     82.92     31.86     38.16     73.32     73.60     39.18     37.51 
    17    52458.41   2394.09     91.16     45.89           92.24     78.67     79.41      9.18      0.00     57.82     58.36     54.67     89.28     34.50     99.44     97.50    -51.76     99.60     -1.18      2.75     51.18     21.18     42.82     23.14     30.82     25.47     84.10      6.41     87.40     35.10     20.16     15.14     29.91     52.82     82.91     28.10     37.48     74.12     73.11     38.79     37.42 
    18    52466.50   2386.00     91.24     46.89           92.33     78.37     80.56      8.44      1.54     54.06     58.95     54.67     90.63     34.81     99.25     97.50    -42.22     99.60      6.67      4.44     52.89     22.22     40.33     22.52     32.44     25.67     84.08      9.43     87.40     35.86     26.22     19.70     29.54     55.12     82.80     29.50     37.23     73.96     73.44     38.41     36.72 
    19    52467.53   2384.97     91.20     47.12           93.05     77.61     79.05      9.33      4.09     50.89     58.31     54.18     90.31     34.67     99.03     97.89    -26.32     99.60      7.37      1.05     55.16     20.00     38.74     21.68     28.00     25.58     83.93     11.95     87.40     37.59     21.26     21.96     32.32     56.02     82.87     26.49     39.03     74.98     72.96     38.70     36.53 
    20    52467.35   2385.15     91.16     46.50           94.00     77.13     80.00      8.93      6.11     49.90     58.41     54.24     90.25     34.60     98.72     97.75    -45.00     99.60      4.00     -3.33     54.00     21.00     38.50     23.07     25.60     26.00     84.55     12.18     87.40     37.91     25.87     21.33     33.32     54.85     82.99     23.47     39.68     75.51     72.57     39.15     36.34 
    21    52459.19   2393.31     91.16     46.81           93.71     77.21     79.14     11.24      7.41     48.38     58.05     53.90     91.12     35.54     98.79     97.62    -32.38     99.60      5.71     -3.49     53.52     21.90     38.86     19.87     25.71     26.02     85.05     11.79     87.40     38.14     23.43     24.06     33.96     55.73     82.98     22.46     37.23     75.16     72.06     38.46     36.49 
    22    52465.91   2386.59     91.15     46.18           93.73     77.45     77.73     10.18      2.78     49.27     57.94     54.02     91.65     34.74     98.89     97.50    -54.55     99.60      3.64     -0.61     54.27     22.73     37.27     26.18     26.18     26.00     85.29     15.31     87.40     38.52     20.24     21.45     32.84     57.92     83.00     23.81     33.85     75.80     71.62     38.56     36.33 
    23    52467.35   2385.15     91.15     46.02           93.57     78.03     75.83      6.55      2.17     50.70     56.87     53.71     91.42     35.35     98.89     96.74    -51.30     99.60      4.35      3.77     55.04     25.22     36.87     24.64     20.00     26.00     85.09     12.81     87.40     34.64     15.94     25.57     34.05     58.37     83.05     25.62     33.26     76.42     71.36     38.85     36.27 
    24    52473.00   2379.50     91.07     45.56           93.75     78.28     74.50      5.44      0.46     50.04     55.75     53.76     91.35     34.88     98.83     96.15    -63.33     99.60      6.67      1.67     57.33     17.50     33.50     19.89     23.33     26.02     85.16     13.41     87.40     33.74     19.11     29.78     36.29     58.46     83.09     26.97     32.98     76.32     71.59     39.36     36.60 
    25    52474.56   2377.94     91.13     46.05           93.52     78.35     76.00      7.95     -0.89     48.48     55.87     53.29     90.71     34.20     98.92     95.90    -64.80     99.60      9.60      8.80     59.28     19.20     37.36     19.68     22.88     25.98     85.15     15.52     87.40     29.28     22.45     30.35     37.12     57.78     83.18     28.41     33.23     76.86     71.30     39.21     36.58 
