constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   194    3514.06    404.94     90.37     58.24          293.92    280.37    188.19    225.15    103.80    550.65    453.34    571.50    374.30    472.83 
   195    3513.96    405.04     90.36     58.20          293.84    280.25    188.13    225.13    103.78    550.67    453.63    571.47    374.16    472.90 
   196    3514.55    404.45     90.36     58.21          293.92    280.28    187.99    225.13    103.74    550.76    453.76    571.71    374.21    473.04 
   197    3515.46    403.54     90.39     58.32          293.96    280.31    187.96    225.31    103.78    550.85    453.86    572.03    374.52    472.90 
   198    3515.75    403.25     90.38     58.24          293.91    280.23    187.94    225.16    103.68    551.07    453.86    572.17    374.74    473.01 
   199    3515.80    403.20     90.38     58.22          293.94    280.36    187.78    225.23    103.65    550.71    453.93    572.50    374.69    473.02 
   200    3515.20    403.79     90.37     58.19          293.93    280.40    187.78    225.37    103.63    550.42    453.77    572.34    374.56    473.00 
   201    3515.46    403.54     90.38     58.20          293.95    280.37    187.85    225.35    103.61    550.41    453.80    572.46    374.91    472.74 
   202    3515.67    403.33     90.38     58.20          294.00    280.32    187.71    225.33    103.59    550.55    454.07    572.28    374.99    472.82 
   203    3515.74    403.26     90.38     58.21          294.05    280.44    187.72    225.35    103.56    550.58    453.89    572.04    375.02    473.08 
   204    3516.02    402.98     90.38     58.23          294.13    280.31    187.85    225.35    103.52    550.72    454.00    572.07    375.07    473.00 
   205    3516.55    402.45     90.40     58.29          294.10    280.48    187.92    225.48    103.47    550.90    453.86    572.26    374.97    473.11 
   206    3516.60    402.40     90.40     58.32          294.11    280.62    187.92    225.53    103.47    550.86    453.85    571.97    374.90    473.37 
   207    3516.82    402.18     90.41     58.35          294.08    280.59    188.02    225.60    103.45    551.02    453.74    572.01    374.87    473.42 
   208    3517.10    401.90     90.41     58.37          294.10    280.51    188.02    225.58    103.45    551.18    453.92    572.02    374.75    473.56 
   209    3516.96    402.04     90.41     58.37          294.10    280.44    187.92    225.52    103.51    551.40    454.00    571.97    374.64    473.46 
   210    3517.02    401.98     90.41     58.38          294.02    280.41    187.90    225.47    103.55    551.50    454.12    571.84    374.54    473.66 
   211    3517.17    401.83     90.41     58.36          294.02    280.35    187.92    225.44    103.51    551.56    454.11    571.98    374.66    473.62 
   212    3516.08    402.92     90.37     58.22          294.07    280.38    187.68    225.42    103.45    551.26    454.04    571.75    374.57    473.48 
   213    3516.10    402.90     90.37     58.18          294.03    280.41    187.76    225.36    103.37    551.32    453.95    572.00    374.65    473.26 
   214    3516.36    402.64     90.38     58.19          294.19    280.37    187.88    225.18    103.36    551.37    453.98    571.88    374.85    473.29 
   215    3516.31    402.69     90.37     58.15          294.27    280.40    187.79    225.07    103.35    551.32    453.83    572.18    374.73    473.37 
   216    3515.62    403.38     90.35     58.02          294.03    280.35    187.79    224.92    103.34    550.99    453.82    572.25    374.76    473.36 
   217    3515.15    403.85     90.34     57.98          294.10    280.36    187.72    224.86    103.36    550.65    453.83    572.12    374.56    473.58 
   218    3515.06    403.94     90.34     57.96          294.14    280.41    187.66    224.88    103.33    550.60    453.89    572.04    374.78    473.33 
   219    3514.58    404.42     90.33     57.94          294.16    280.32    187.58    224.95    103.32    550.55    453.88    571.75    374.73    473.32 
   220    3514.86    404.14     90.33     57.96          294.10    280.21    187.60    225.00    103.34    550.55    454.10    571.83    374.74    473.40 
   221    3514.51    404.49     90.33     57.92          294.13    280.21    187.64    224.96    103.33    550.25    454.07    571.84    374.63    473.45 
   222    3514.58    404.42     90.33     57.90          294.22    280.39    187.66    224.90    103.26    550.10    454.08    571.86    374.73    473.38 
   223    3513.90    405.10     90.32     57.87          294.33    280.31    187.61    224.93    103.26    549.85    454.05    571.71    374.68    473.16 
   224    3514.11    404.89     90.33     57.90          294.45    280.49    187.66    224.84    103.27    549.90    454.06    571.57    374.97    472.89 
   225    3514.32    404.68     90.33     57.92          294.49    280.56    187.68    224.84    103.25    549.97    453.97    571.61    374.97    472.96 
   226    3514.27    404.73     90.33     57.94          294.53    280.40    187.71    224.77    103.34    550.09    453.73    571.70    375.07    472.94 
   227    3513.37    405.63     90.31     57.91          294.55    280.32    187.50    224.79    103.40    550.27    453.81    571.12    375.00    472.60 
   228    3512.77    406.23     90.30     57.86          294.50    280.36    187.48    224.73    103.39    550.29    453.94    570.77    374.89    472.43 
   229    3512.71    406.29     90.30     57.81          294.50    280.39    187.47    224.73    103.32    550.08    453.90    570.86    375.03    472.41 
   230    3511.75    407.25     90.28     57.71          294.48    280.26    187.40    224.73    103.32    549.79    453.61    570.90    375.12    472.14 
   231    3511.38    407.62     90.26     57.68          294.46    280.16    187.30    224.75    103.30    549.90    453.81    570.53    374.97    472.19 
   232    3511.43    407.57     90.26     57.63          294.44    280.15    187.25    224.68    103.24    550.14    453.56    570.72    374.91    472.33 
   233    3511.41    407.59     90.25     57.60          294.40    280.18    186.99    224.76    103.24    550.18    453.39    570.76    375.00    472.51 
   234    3511.38    407.62     90.24     57.56          294.38    280.19    187.03    224.61    103.21    550.27    453.42    570.89    374.94    472.43 
   235    3511.45    407.55     90.25     57.59          294.36    280.26    187.03    224.59    103.29    550.01    453.48    571.08    374.97    472.38 
   236    3512.00    407.00     90.26     57.62          294.39    280.26    187.02    224.53    103.32    550.05    453.67    571.29    375.16    472.31 
   237    3511.97    407.03     90.26     57.64          294.35    280.16    187.06    224.53    103.37    550.06    453.68    571.29    375.14    472.34 
   238    3512.62    406.38     90.27     57.65          294.42    280.18    187.02    224.54    103.29    550.14    453.93    571.25    375.40    472.46 
   239    3513.31    405.69     90.28     57.67          294.44    280.33    186.98    224.52    103.23    550.32    453.97    571.45    375.50    472.57 
   240    3513.46    405.54     90.29     57.75          294.40    280.40    186.98    224.63    103.33    550.48    453.85    571.50    375.59    472.30 
   241    3513.17    405.83     90.29     57.71          294.36    280.44    186.84    224.58    103.37    550.19    453.98    571.38    375.76    472.29 
   242    3512.82    406.18     90.28     57.70          294.39    280.42    186.78    224.50    103.40    550.38    453.94    571.12    375.64    472.25 
   243    3512.35    406.65     90.27     57.65          294.43    280.38    186.86    224.45    103.35    550.42    453.87    571.02    375.54    472.03 
   244    3512.52    406.48     90.27     57.68          294.46    280.51    186.91    224.57    103.31    550.45    453.74    570.95    375.59    472.05 
   245    3512.72    406.28     90.28     57.69          294.46    280.47    187.02    224.61    103.24    550.56    453.58    570.90    375.54    472.35 
   246    3513.14    405.86     90.29     57.78          294.44    280.52    187.10    224.78    103.29    550.63    453.48    571.05    375.54    472.31 
   247    3513.22    405.78     90.30     57.82          294.38    280.56    187.14    224.77    103.36    550.67    453.38    571.10    375.64    472.22 
   248    3513.13    405.87     90.30     57.79          294.35    280.58    187.12    224.71    103.35    550.67    453.50    571.02    375.68    472.17 
   249    3513.19    405.81     90.30     57.80          294.29    280.50    187.23    224.64    103.38    550.70    453.55    571.03    375.77    472.10 
   250    3513.37    405.63     90.31     57.83          294.33    280.38    187.23    224.61    103.43    550.80    453.61    570.97    375.67    472.33 
   251    3513.28    405.72     90.30     57.81          294.35    280.27    187.20    224.61    103.41    550.83    453.68    570.91    375.70    472.31 
   252    3512.71    406.29     90.29     57.81          294.39    280.26    187.17    224.67    103.47    550.53    453.60    570.85    375.57    472.20 
   253    3512.96    406.04     90.30     57.81          294.42    280.32    187.20    224.69    103.43    550.27    453.56    570.97    375.72    472.38 
   254    3513.23    405.77     90.31     57.86          294.38    280.31    187.26    224.66    103.52    550.28    453.53    570.81    375.71    472.77 
   255    3513.16    405.84     90.32     57.90          294.33    280.23    187.24    224.69    103.62    550.41    453.27    570.78    375.85    472.74 
   256    3512.55    406.45     90.31     57.87          294.38    280.32    187.29    224.65    103.63    550.16    453.07    570.70    375.78    472.57 
   257    3512.68    406.32     90.32     57.93          294.45    280.35    187.32    224.75    103.68    549.97    453.12    570.76    375.70    472.60 
   258    3512.66    406.34     90.31     57.90          294.44    280.35    187.36    224.66    103.63    550.02    453.24    570.82    375.71    472.43 
   259    3512.55    406.45     90.31     57.87          294.44    280.36    187.32    224.64    103.62    550.02    453.10    570.82    375.87    472.36 
   260    3512.16    406.84     90.31     57.86          294.48    280.26    187.35    224.62    103.66    549.85    452.95    570.62    375.79    472.57 
   261    3512.29    406.71     90.30     57.83          294.51    280.19    187.42    224.62    103.59    549.66    452.86    570.88    375.89    472.67 
   262    3511.74    407.26     90.29     57.80          294.46    280.16    187.21    224.67    103.65    549.56    452.92    570.42    375.89    472.80 
   263    3512.40    406.60     90.31     57.90          294.42    280.27    187.26    224.66    103.73    549.69    453.02    570.41    375.88    473.06 
   264    3512.29    406.71     90.32     57.93          294.47    280.18    187.25    224.73    103.80    549.71    452.90    570.52    375.86    472.87 
   265    3512.68    406.32     90.33     58.01          294.48    280.29    187.29    224.83    103.84    549.76    452.78    570.73    375.81    472.87 
   266    3512.53    406.47     90.33     58.00          294.47    280.28    187.34    224.76    103.86    549.67    452.65    570.91    375.65    472.93 
   267    3512.35    406.65     90.32     57.98          294.39    280.21    187.37    224.88    103.81    549.80    452.74    570.83    375.60    472.73 
   268    3513.13    405.87     90.34     58.05          294.43    280.21    187.40    224.89    103.83    549.85    452.85    570.96    375.77    472.93 
   269    3513.38    405.62     90.34     58.05          294.42    280.26    187.45    224.74    103.84    550.00    452.94    571.04    375.70    472.99 
   270    3513.07    405.93     90.34     58.05          294.40    280.24    187.38    224.79    103.88    549.86    452.93    570.93    375.66    473.00 
   271    3512.62    406.38     90.33     58.01          294.39    280.14    187.41    224.77    103.88    549.62    453.10    570.80    375.52    472.99 
   272    3512.69    406.31     90.33     58.06          294.44    280.18    187.43    224.75    103.93    549.79    453.03    570.59    375.44    473.12 
   273    3513.28    405.72     90.35     58.13          294.40    280.23    187.49    224.84    103.96    549.77    453.06    570.82    375.32    473.39 
   274    3513.42    405.58     90.36     58.20          294.41    280.16    187.50    224.94    104.07    549.52    453.08    571.03    375.32    473.39 
   275    3513.01    405.99     90.35     58.14          294.38    280.20    187.51    225.03    103.98    549.33    452.93    571.09    375.24    473.33 
   276    3513.11    405.89     90.35     58.14          294.34    280.10    187.54    225.02    103.97    549.54    452.99    571.03    375.20    473.38 
   277    3512.81    406.19     90.34     58.11          294.27    280.16    187.60    225.00    103.97    549.55    452.87    571.15    375.12    473.12 
   278    3512.63    406.37     90.34     58.11          294.27    280.19    187.59    225.14    103.95    549.36    452.73    571.40    375.04    472.95 
   279    3512.44    406.56     90.34     58.09          294.23    280.19    187.53    225.22    103.95    549.06    452.80    571.32    375.16    472.99 
   280    3512.35    406.65     90.33     58.05          294.25    280.22    187.36    225.12    103.95    549.18    452.89    571.28    375.29    472.80 
   281    3512.51    406.49     90.33     58.05          294.22    280.25    187.40    225.20    103.89    549.16    452.87    571.41    375.26    472.86 
   282    3513.05    405.95     90.34     58.10          294.23    280.27    187.43    225.31    103.87    549.17    452.99    571.63    375.24    472.89 
   283    3513.65    405.35     90.36     58.17          294.22    280.27    187.40    225.38    103.93    549.24    453.04    571.88    375.26    473.03 
   284    3513.37    405.63     90.35     58.12          294.20    280.25    187.39    225.32    103.88    549.31    453.09    571.73    375.24    472.96 
   285    3513.58    405.42     90.36     58.15          294.21    280.32    187.42    225.26    103.92    549.34    453.03    571.68    375.35    473.05 
   286    3513.66    405.34     90.36     58.16          294.24    280.38    187.43    225.31    103.91    549.35    452.94    571.81    375.17    473.12 
   287    3513.07    405.93     90.34     58.12          294.25    280.36    187.38    225.29    103.87    549.53    453.02    571.36    375.04    472.98 
   288    3513.19    405.81     90.35     58.18          294.27    280.39    187.40    225.29    103.96    549.49    452.88    571.41    375.05    473.05 
   289    3512.99    406.01     90.35     58.18          294.30    280.37    187.42    225.35    103.94    549.45    453.01    571.30    374.95    472.89 
   290    3512.87    406.13     90.34     58.15          294.35    280.33    187.42    225.26    103.93    549.56    453.02    571.37    374.81    472.82 
   291    3513.15    405.85     90.35     58.16          294.38    280.35    187.39    225.21    103.93    549.54    453.01    571.64    374.69    472.99 
   292    3513.23    405.77     90.34     58.14          294.37    280.35    187.36    225.09    103.94    549.69    453.03    571.67    374.55    473.17 
   293    3512.72    406.28     90.33     58.06          294.40    280.24    187.30    224.99    103.90    549.53    453.03    571.62    374.51    473.19 
   294    3512.65    406.35     90.32     58.04          294.42    280.20    187.28    224.93    103.90    549.56    453.19    571.50    374.40    473.26 
   295    3512.16    406.84     90.31     57.99          294.46    280.11    187.21    224.84    103.91    549.33    453.26    571.35    374.34    473.36 
   296    3512.17    406.83     90.31     58.00          294.50    280.09    187.19    224.79    103.94    549.48    453.19    571.31    374.35    473.31 
   297    3512.56    406.44     90.32     58.02          294.43    280.13    187.19    224.88    103.91    549.57    453.26    571.59    374.32    473.28 
   298    3512.81    406.19     90.33     58.06          294.44    280.21    187.11    224.84    103.99    549.57    453.19    571.53    374.54    473.38 
   299    3512.53    406.47     90.32     58.08          294.38    280.10    187.12    224.97    104.02    549.68    453.29    571.37    374.40    473.20 
   300    3512.45    406.55     90.32     58.06          294.35    280.13    187.01    225.03    103.99    549.60    453.38    571.36    374.36    473.23 
   301    3512.35    406.65     90.31     58.04          294.35    280.18    187.03    224.99    103.96    549.73    453.34    571.21    374.39    473.16 
   302    3513.07    405.93     90.33     58.08          294.29    280.25    187.12    224.99    103.94    549.78    453.43    571.34    374.50    473.43 
   303    3513.17    405.83     90.33     58.09          294.27    280.29    187.14    224.97    103.94    549.82    453.38    571.42    374.47    473.47 
   304    3512.83    406.17     90.32     58.04          294.25    280.26    187.15    224.97    103.90    549.70    453.42    571.39    374.37    473.42 
   305    3512.80    406.20     90.32     58.06          294.21    280.28    187.20    224.99    103.94    549.79    453.31    571.58    374.24    473.27 
   306    3512.83    406.17     90.33     58.05          294.19    280.34    187.28    224.95    103.92    549.60    453.28    571.54    374.29    473.43 
   307    3512.76    406.24     90.33     58.06          294.14    280.28    187.45    224.94    103.90    549.64    453.48    571.27    374.12    473.53 
   308    3512.96    406.04     90.33     58.10          294.18    280.32    187.47    224.89    103.94    549.76    453.47    571.35    374.04    473.54 
   309    3512.78    406.22     90.33     58.07          294.15    280.39    187.46    224.84    103.93    549.81    453.35    571.30    374.13    473.43 
   310    3512.76    406.24     90.33     58.07          294.12    280.49    187.48    224.75    103.95    549.79    453.29    571.41    374.06    473.40 
   311    3512.97    406.03     90.33     58.10          294.14    280.50    187.45    224.80    103.97    549.87    453.35    571.49    374.04    473.36 
   312    3513.24    405.76     90.34     58.11          294.07    280.57    187.45    224.82    103.95    549.93    453.41    571.46    374.25    473.33 
   313    3513.29    405.71     90.33     58.06          294.07    280.53    187.41    224.78    103.92    549.67    453.66    571.69    374.28    473.29 
   314    3513.60    405.40     90.34     58.11          294.03    280.40    187.37    224.80    104.00    549.74    453.61    571.78    374.48    473.39 
   315    3513.21    405.79     90.33     58.02          293.95    280.37    187.30    224.77    103.94    549.60    453.74    571.74    374.37    473.43 
   316    3513.12    405.88     90.32     57.99          293.95    280.39    187.29    224.71    103.92    549.61    453.70    571.86    374.32    473.37 
   317    3513.21    405.79     90.33     58.02          293.96    280.36    187.27    224.77    103.95    549.65    453.63    571.87    374.34    473.41 
   318    3513.42    405.58     90.33     58.01          293.96    280.39    187.24    224.60    103.99    549.59    453.75    572.06    374.58    473.25 
   319    3513.75    405.25     90.34     58.09          293.96    280.35    187.31    224.71    104.06    549.67    453.83    572.18    374.50    473.17 
   320    3514.11    404.89     90.35     58.15          293.99    280.32    187.32    224.77    104.09    549.73    453.95    572.31    374.42    473.20 
   321    3513.94    405.06     90.35     58.13          293.97    280.27    187.29    224.81    104.06    549.85    453.92    572.36    374.32    473.08 
   322    3513.94    405.06     90.34     58.12          293.94    280.27    187.26    224.83    104.03    549.84    454.14    572.23    374.20    473.18 
   323    3513.64    405.36     90.33     58.08          293.88    280.17    187.21    224.77    104.03    550.03    454.23    572.17    374.14    473.00 
   324    3513.19    405.81     90.32     58.03          293.82    280.15    187.23    224.68    104.04    550.12    454.02    572.12    374.03    472.98 
   325    3512.84    406.16     90.32     58.01          293.78    280.17    187.24    224.64    104.07    549.98    454.10    571.99    374.00    472.86 
   326    3512.79    406.21     90.31     58.01          293.79    280.21    187.13    224.70    104.06    550.07    454.04    572.18    373.83    472.79 
   327    3512.63    406.37     90.31     57.97          293.80    280.32    187.08    224.71    104.01    549.96    454.02    572.10    373.83    472.78 
   328    3512.36    406.64     90.30     57.96          293.70    280.26    187.11    224.75    104.03    549.95    454.01    572.04    373.79    472.73 
   329    3512.48    406.52     90.30     57.95          293.69    280.28    187.05    224.71    104.02    550.05    454.12    572.00    373.80    472.77 
   330    3512.04    406.96     90.29     57.93          293.70    280.20    187.09    224.69    104.03    549.83    454.19    571.79    373.70    472.82 
   331    3511.74    407.26     90.28     57.87          293.67    280.17    187.11    224.63    103.98    549.85    454.25    571.64    373.68    472.77 
   332    3511.75    407.25     90.28     57.84          293.61    280.20    187.14    224.61    103.93    549.92    454.10    571.94    373.60    472.69 
   333    3511.46    407.54     90.27     57.80          293.60    280.28    187.13    224.69    103.87    549.73    453.96    571.91    373.58    472.71 
   334    3511.33    407.67     90.27     57.79          293.63    280.28    187.21    224.67    103.85    549.74    453.88    571.93    373.63    472.50 
   335    3511.11    407.89     90.27     57.77          293.68    280.32    187.20    224.68    103.83    549.59    453.75    571.90    373.63    472.54 
   336    3511.01    407.99     90.26     57.76          293.63    280.24    187.17    224.70    103.83    549.70    453.72    571.85    373.67    472.50 
   337    3510.77    408.23     90.26     57.73          293.69    280.18    187.16    224.64    103.83    549.59    453.72    571.84    373.67    472.44 
   338    3510.60    408.40     90.25     57.70          293.70    280.09    187.23    224.67    103.77    549.72    453.66    571.87    373.62    472.28 
   339    3510.45    408.55     90.25     57.73          293.68    280.12    187.34    224.72    103.78    549.81    453.60    571.81    373.53    472.05 
   340    3510.89    408.11     90.26     57.79          293.69    280.14    187.35    224.74    103.82    549.85    453.70    571.94    373.58    472.09 
   341    3510.97    408.03     90.27     57.80          293.68    280.13    187.40    224.75    103.84    549.89    453.70    572.00    373.68    471.90 
   342    3510.95    408.05     90.27     57.80          293.71    280.11    187.46    224.81    103.78    549.71    453.88    571.96    373.67    471.86 
   343    3510.97    408.03     90.27     57.79          293.69    280.03    187.44    224.72    103.81    549.78    453.87    571.85    373.78    471.99 
   344    3511.04    407.96     90.27     57.79          293.71    280.11    187.40    224.70    103.80    549.85    453.84    571.79    373.82    472.03 
   345    3510.87    408.13     90.26     57.73          293.67    280.13    187.42    224.62    103.74    549.82    453.73    571.88    373.81    472.04 
   346    3510.51    408.49     90.25     57.71          293.68    280.11    187.38    224.66    103.76    549.66    453.65    571.82    373.81    471.98 
   347    3510.83    408.17     90.26     57.75          293.65    280.07    187.42    224.78    103.76    549.73    453.64    571.99    373.81    471.98 
   348    3510.89    408.11     90.27     57.75          293.66    280.08    187.49    224.77    103.76    549.62    453.65    572.20    373.76    471.91 
   349    3510.77    408.23     90.26     57.74          293.70    280.01    187.52    224.73    103.73    549.70    453.66    572.02    373.76    471.95 
   350    3510.46    408.54     90.25     57.66          293.67    280.04    187.47    224.68    103.66    549.77    453.53    572.04    373.73    471.86 
   351    3510.20    408.80     90.24     57.64          293.65    280.15    187.51    224.65    103.63    549.74    453.38    571.91    373.72    471.87 
   352    3509.78    409.22     90.24     57.62          293.66    280.20    187.56    224.66    103.63    549.56    453.27    571.98    373.64    471.61 
   353    3509.97    409.03     90.25     57.66          293.67    280.23    187.55    224.73    103.67    549.52    453.32    572.01    373.58    471.69 
   354    3510.19    408.81     90.25     57.66          293.66    280.25    187.54    224.76    103.61    549.60    453.47    571.91    373.58    471.80 
   355    3510.10    408.90     90.25     57.65          293.72    280.26    187.48    224.71    103.63    549.42    453.49    571.81    373.67    471.89 
   356    3509.74    409.26     90.24     57.61          293.66    280.27    187.48    224.66    103.63    549.48    453.32    571.76    373.57    471.90 
   357    3509.90    409.10     90.24     57.64          293.65    280.36    187.46    224.70    103.65    549.59    453.39    571.76    373.54    471.81 
   358    3510.09    408.91     90.25     57.68          293.69    280.45    187.46    224.68    103.67    549.68    453.23    571.94    373.48    471.81 
   359    3509.87    409.13     90.24     57.66          293.71    280.43    187.48    224.60    103.67    549.66    453.29    571.70    373.40    471.93 
   360    3509.90    409.10     90.24     57.67          293.73    280.42    187.49    224.57    103.69    549.69    453.35    571.68    373.53    471.74 
   361    3510.00    409.00     90.24     57.64          293.75    280.44    187.49    224.50    103.66    549.56    453.36    571.70    373.59    471.95 
   362    3509.97    409.03     90.24     57.63          293.74    280.40    187.44    224.44    103.67    549.63    453.41    571.62    373.59    472.02 
   363    3510.03    408.97     90.24     57.64          293.82    280.37    187.43    224.47    103.65    549.71    453.43    571.44    373.57    472.14 
   364    3510.10    408.90     90.24     57.62          293.87    280.37    187.44    224.41    103.60    549.86    453.40    571.49    373.57    472.08 
   365    3509.87    409.13     90.23     57.61          293.91    280.41    187.42    224.41    103.59    549.89    453.39    571.50    373.48    471.88 
   366    3509.89    409.11     90.24     57.64          293.88    280.34    187.42    224.49    103.62    549.89    453.53    571.40    373.40    471.92 
   367    3510.12    408.88     90.24     57.63          293.85    280.37    187.48    224.45    103.60    549.74    453.64    571.52    373.49    471.99 
   368    3510.37    408.63     90.25     57.67          293.90    280.30    187.50    224.43    103.64    549.80    453.56    571.64    373.56    472.05 
   369    3510.30    408.70     90.25     57.67          293.91    280.33    187.51    224.40    103.66    549.76    453.58    571.66    373.51    471.99 
   370    3510.17    408.83     90.24     57.63          293.92    280.29    187.41    224.33    103.67    549.58    453.77    571.70    373.53    471.97 
   371    3510.05    408.95     90.24     57.62          293.95    280.29    187.39    224.25    103.68    549.61    453.67    571.73    373.47    471.99 
   372    3509.92    409.08     90.24     57.60          293.94    280.33    187.42    224.19    103.69    549.48    453.58    571.74    373.55    472.00 
   373    3509.68    409.32     90.23     57.55          293.87    280.37    187.39    224.20    103.64    549.57    453.47    571.75    373.55    471.86 
   374    3509.64    409.36     90.23     57.55          293.83    280.32    187.42    224.21    103.65    549.63    453.42    571.68    373.53    471.95 
   375    3509.64    409.36     90.22     57.53          293.83    280.33    187.46    224.16    103.61    549.75    453.45    571.75    373.46    471.83 
   376    3509.56    409.44     90.22     57.53          293.86    280.34    187.47    224.19    103.61    549.63    453.42    571.89    373.38    471.77 
   377    3509.26    409.74     90.22     57.50          293.86    280.25    187.45    224.20    103.62    549.49    453.28    572.01    373.38    471.72 
   378    3509.58    409.42     90.22     57.54          293.88    280.21    187.47    224.20    103.65    549.54    453.33    572.17    373.43    471.70 
   379    3509.68    409.32     90.22     57.53          293.91    280.17    187.47    224.25    103.61    549.56    453.28    572.21    373.40    471.83 
   380    3509.43    409.57     90.22     57.51          293.87    280.17    187.42    224.33    103.59    549.45    453.24    572.16    373.35    471.85 
   381    3509.45    409.55     90.21     57.49          293.87    280.18    187.36    224.24    103.60    549.59    453.29    572.29    373.26    471.77 
   382    3509.70    409.30     90.22     57.51          293.88    280.17    187.37    224.28    103.59    549.47    453.42    572.45    373.30    471.77 
   383    3509.69    409.31     90.21     57.49          293.84    280.18    187.32    224.29    103.57    549.58    453.50    572.49    373.23    471.69 
   384    3509.82    409.18     90.22     57.51          293.83    280.21    187.34    224.32    103.59    549.36    453.66    572.56    373.12    471.83 
   385    3509.78    409.22     90.22     57.51          293.83    280.21    187.36    224.32    103.60    549.19    453.70    572.74    373.07    471.77 
   386    3509.74    409.26     90.22     57.51          293.83    280.16    187.35    224.35    103.61    549.29    453.60    572.73    373.11    471.71 
   387    3509.98    409.02     90.23     57.55          293.81    280.17    187.42    224.38    103.60    549.41    453.61    572.65    373.24    471.68 
   388    3509.71    409.29     90.22     57.52          293.84    280.18    187.40    224.42    103.56    549.36    453.48    572.58    373.19    471.69 
   389    3510.06    408.94     90.23     57.56          293.92    280.22    187.41    224.45    103.56    549.45    453.46    572.57    373.30    471.72 
   390    3510.17    408.83     90.23     57.59          293.89    280.24    187.46    224.46    103.60    549.52    453.39    572.75    373.24    471.63 
   391    3510.49    408.51     90.24     57.63          293.92    280.21    187.50    224.51    103.60    549.55    453.49    572.73    373.33    471.64 
   392    3510.58    408.42     90.25     57.64          293.94    280.21    187.54    224.47    103.62    549.56    453.45    572.86    373.24    471.69 
   393    3510.67    408.33     90.25     57.68          293.99    280.23    187.59    224.48    103.65    549.58    453.45    572.88    373.25    471.57 
   394    3510.36    408.64     90.25     57.65          294.01    280.13    187.58    224.49    103.65    549.36    453.44    572.77    373.28    471.65 
   395    3510.32    408.68     90.24     57.61          294.05    280.10    187.57    224.42    103.58    549.40    453.48    572.66    373.47    471.60 
   396    3510.39    408.61     90.24     57.57          294.04    280.17    187.54    224.30    103.56    549.48    453.62    572.62    373.59    471.48 
   397    3510.60    408.40     90.24     57.57          294.06    280.16    187.58    224.34    103.49    549.52    453.61    572.73    373.60    471.51 
   398    3510.86    408.14     90.25     57.61          294.06    280.12    187.53    224.42    103.52    549.63    453.62    572.71    373.76    471.48 
   399    3510.64    408.36     90.24     57.57          294.11    280.15    187.46    224.41    103.49    549.43    453.67    572.76    373.69    471.47 
   400    3511.10    407.90     90.25     57.61          294.16    280.24    187.44    224.45    103.47    549.53    453.61    572.78    373.85    471.57 
   401    3511.22    407.78     90.25     57.62          294.18    280.20    187.46    224.47    103.47    549.58    453.57    572.91    373.98    471.40 
   402    3511.23    407.77     90.25     57.61          294.18    280.22    187.48    224.38    103.46    549.68    453.45    572.94    373.93    471.50 
   403    3511.45    407.55     90.25     57.61          294.20    280.24    187.45    224.42    103.42    549.72    453.55    573.01    373.90    471.54 
   404    3511.19    407.81     90.25     57.62          294.15    280.24    187.42    224.47    103.48    549.61    453.54    572.96    373.80    471.53 
   405    3511.03    407.97     90.24     57.58          294.12    280.25    187.40    224.40    103.46    549.70    453.36    573.00    373.85    471.49 
   406    3510.77    408.23     90.24     57.58          294.11    280.29    187.37    224.42    103.50    549.60    453.32    572.89    373.84    471.44 
   407    3510.33    408.67     90.24     57.56          294.13    280.21    187.41    224.41    103.52    549.45    453.28    572.81    373.77    471.35 
   408    3510.62    408.38     90.24     57.56          294.13    280.25    187.49    224.39    103.46    549.48    453.22    572.88    373.94    471.38 
   409    3510.88    408.12     90.25     57.59          294.12    280.33    187.47    224.39    103.49    549.54    453.29    572.96    373.86    471.44 
   410    3511.01    407.99     90.25     57.61          294.15    280.37    187.48    224.39    103.50    549.55    453.27    573.04    373.85    471.41 
   411    3510.72    408.28     90.24     57.58          294.14    280.30    187.51    224.39    103.48    549.56    453.24    573.04    373.77    471.30 
   412    3510.52    408.48     90.24     57.55          294.12    280.32    187.51    224.27    103.50    549.40    453.32    573.00    373.79    471.29 
   413    3510.30    408.70     90.23     57.51          294.11    280.25    187.42    224.27    103.48    549.42    453.30    573.01    373.73    471.31 
   414    3510.43    408.57     90.23     57.52          294.19    280.21    187.40    224.28    103.49    549.41    453.29    573.08    373.82    471.25 
   415    3510.40    408.60     90.23     57.51          294.21    280.26    187.39    224.29    103.47    549.27    453.28    573.07    373.94    471.23 
