constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    46    3559.91    359.09     90.69     58.23          292.61    273.76    187.15    220.11    101.24    569.70    470.00    599.67    377.91    467.76 
    47    3558.68    360.32     90.69     58.30          292.64    274.15    187.60    220.13    101.26    569.98    469.57    598.34    377.34    467.68 
    48    3559.31    359.69     90.70     58.45          292.81    274.19    187.58    220.62    101.25    569.81    469.79    599.35    376.79    467.10 
    49    3557.33    361.67     90.67     58.39          292.98    274.29    187.24    220.55    101.49    569.49    468.98    599.27    376.55    466.49 
    50    3559.92    359.08     90.74     58.56          292.62    274.26    187.44    220.40    101.66    569.78    468.86    599.32    377.92    467.66 
    51    3559.71    359.29     90.78     58.88          292.45    274.37    187.37    220.65    102.27    569.39    469.33    598.57    378.41    466.88 
    52    3560.81    358.19     90.78     58.85          292.40    274.88    187.15    220.50    102.13    569.56    469.38    599.19    377.92    467.67 
    53    3559.68    359.32     90.75     58.69          292.04    274.57    186.92    220.23    102.19    570.09    469.92    598.30    378.40    467.02 
    54    3560.35    358.65     90.77     58.82          292.13    274.31    186.85    220.19    102.35    570.33    470.72    597.87    378.76    466.83 
    55    3558.69    360.31     90.72     58.53          291.60    273.87    186.71    219.87    102.38    570.31    470.82    598.33    379.15    465.65 
    56    3557.91    361.09     90.70     58.53          291.52    273.73    186.45    219.87    102.64    569.98    470.25    598.55    378.36    466.55 
    57    3557.82    361.18     90.71     58.64          291.51    274.18    186.33    220.18    102.65    570.35    470.37    597.95    378.28    466.04 
    58    3558.28    360.72     90.72     58.70          291.64    274.38    186.10    220.41    102.55    570.98    470.64    597.66    378.78    465.14 
    59    3560.12    358.88     90.78     59.02          292.29    274.71    186.32    220.53    102.63    571.34    470.76    598.17    378.83    464.54 
    60    3558.18    360.82     90.70     58.60          292.12    274.68    186.28    219.97    102.32    571.48    470.02    598.28    378.38    464.65 
    61    3556.79    362.21     90.69     58.67          292.26    274.43    186.16    220.39    102.54    570.79    469.74    598.43    377.61    464.44 
    62    3559.19    359.81     90.76     59.01          292.29    274.39    186.53    220.79    102.69    570.60    470.26    599.50    377.44    464.71 
    63    3559.62    359.38     90.77     59.01          292.10    274.56    186.40    220.71    102.75    571.11    469.86    599.56    378.27    464.32 
    64    3560.59    358.41     90.78     59.01          292.36    274.75    186.20    220.77    102.61    571.11    469.67    600.14    378.72    464.27 
    65    3560.35    358.65     90.78     59.09          292.40    274.31    186.05    220.89    102.83    571.00    469.48    600.02    378.11    465.28 
